chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.settings.__current_case__,parameters.settings.blockSize,parameters.settings.itemsPerSlot,parameters.settings.settingsType,parameters.settings.unc,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-01-08 18:28:53.868830,rodeo_normal,1420741767.0,0.0,,1.0,main_w2_handler1,1987327,8517236,False,,183099705,bed,2437204.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",16187277,,,0,,,preset,,32.0,,19958128.0,1420741751.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-08 18:29:30.619271,50494.0,16.0
,,2015-01-06 21:40:45.949994,rodeo_normal,1420580465.0,0.0,,1.0,main_w1_handler1,2149693,8506765,False,,36237,bed,704488.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142433,,,0,,,preset,,2.0,,20292634.0,1420580462.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:41:08.476702,48070.0,3.0
,,2015-01-06 23:24:02.142937,rodeo_normal,1420586657.0,0.0,,1.0,main_w1_handler1,2149693,8507066,False,,242,bed,705037.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18142866,,,0,,,preset,,2.0,,20292634.0,1420586655.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 23:24:19.941774,48070.0,2.0
,,2015-01-06 23:24:02.524556,rodeo_normal,1420586659.0,0.0,,1.0,main_w1_handler0,2149693,8507067,False,,37029,bed,2425685.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18142867,,,0,,,preset,,32.0,,20292634.0,1420586656.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-06 23:24:21.551356,48070.0,3.0
,,2015-01-06 23:27:45.626588,rodeo_normal,1420586905.0,0.0,,1.0,main_w1_handler0,2149693,8507077,False,,684731,bed,2425699.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18142878,,,0,,,preset,,32.0,,20292634.0,1420586902.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-06 23:28:27.551939,48070.0,3.0
,,2015-01-08 23:44:45.918734,rodeo_normal,1420761004.0,0.0,,1.0,main_w1_handler0,2168264,8518640,False,,292094384,bed,723028.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/main/files/010/126/dataset_10126223.dat""","""rn6""",18163214,,,0,,,preset,,2.0,,20345828.0,1420760973.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-08 23:50:07.584590,53117.0,31.0
,,2015-01-08 23:44:34.088278,rodeo_normal,1420760991.0,0.0,,1.0,main_w2_handler0,2168264,8518637,False,,289649293,bed,723024.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/main/files/010/126/dataset_10126223.dat""","""rn6""",18163211,,,1,256,512,full,False,2.0,,20345828.0,1420760959.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-08 23:49:54.723290,53117.0,32.0
,,2014-09-29 07:07:21.636806,roundup_single,1411974494.0,0.0,,1.0,main_w2_handler1,2062862,7891396,False,,26244424,bed,1872190,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",17080284,,,0,,,preset,,32.0,,17150051.0,1411974490.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2014-09-29 07:08:16.645769,,4.0
,,2014-09-29 07:11:19.403803,roundup_single,1411974697.0,0.0,,1.0,main_w1_handler1,2062862,7891408,False,,26244424,bed,1872208,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",17080284,,,0,,,preset,,32.0,,17150051.0,1411974692.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2014-09-29 07:11:38.567138,,5.0
,,2014-09-29 11:11:19.116380,roundup_single,1411989094.0,0.0,,1.0,main_w2_handler1,2069636,7893141,False,,30839097,bed,1873415,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",17083013,,,0,,,preset,,32.0,,17280176.0,1411989089.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2014-09-29 11:11:35.969408,53619.0,5.0
