bed_infile,bed_infile_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed_infile,parameters.bed_infile.values,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3488215,bed,2016-09-25 07:22:17.054524,slurm_normal,1474789075.0,0,1.0,main_w4_handler0,2807142,13935074,False,2088919476,bam,,8157623.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474788255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-25 07:37:56.496564,62135.0,820.0
3488215,bed,2016-09-25 08:11:41.444084,slurm_normal,1474791964.0,0,1.0,main_w4_handler1,2807142,13935165,False,2088919476,bam,,8157707.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""50""",32.0,,33035132,1474791179.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-25 08:26:05.714972,62135.0,785.0
3891975,bed,2016-09-24 09:20:26.027418,slurm_normal,1474710565.0,0,1.0,main_w3_handler0,2807142,13930929,False,1895909441,bam,,8153361.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e40d5ee6345a71e2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be21e19722308ac3'}]","""200""",32.0,,33035132,1474708889.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 09:49:29.264194,62135.0,1676.0
3488215,bed,2016-09-24 12:27:11.365225,slurm_normal,1474720887.0,0,1.0,main_w4_handler1,2807142,13931545,False,2088919476,bam,,8154024.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""50""",32.0,,33035132,1474720102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 12:41:29.156006,62135.0,785.0
3488215,bed,2016-09-24 12:26:42.801462,slurm_normal,1474720931.0,0,1.0,main_w4_handler1,2807142,13931542,False,2088919476,bam,,8154021.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afa400a92f4229dc'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550e77c3b60355ab7'}]","""200""",32.0,,33035132,1474720066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-24 12:42:13.364504,62135.0,865.0
40268,bed,2016-06-14 17:53:15.045256,slurm_normal,1465926938.0,0,1.0,main_w2_handler0,1104862,13161979,False,532941923,bam,,7346018.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3e3fc8536942225'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""200""",32.0,,30757500,1465926824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-14 17:55:40.946618,25699.0,114.0
178610,bed,2016-06-16 16:56:26.265261,slurm_normal,1466096343.0,0,1.0,main_w2_handler1,1104862,13185939,False,532941923,bam,,7370483.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f23be7ead06b3553'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""100""",32.0,,30757500,1466096201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-16 16:59:05.030207,25699.0,142.0
178610,bed,2016-06-16 16:50:50.628982,slurm_normal,1466096035.0,0,1.0,main_w1_handler1,1104862,13185825,False,532941923,bam,,7370335.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f23be7ead06b3553'}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f92af23521f5181'}]","""200""",32.0,,30757500,1466095898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-16 16:53:58.563024,25699.0,137.0
496942,bed,2016-08-25 14:35:15.530073,slurm_normal,1472135955.0,0,1.0,main_w3_handler1,2794346,13718046,False,956929956,bam,,7935045.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5444fd2770f3400bf'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""5.0""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc4d1511b309e8ee'}]","""200""",32.0,,31656448,1472135731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-08-25 14:39:16.849726,83068.0,224.0
47244,bed,2016-08-30 23:33:03.335295,slurm_normal,1472606682.0,0,1.0,main_w3_handler0,2806470,13751639,False,62985613,bam,,7972382.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e38a046e38b64115'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55383b0e3e99fc12c'}]","""200""",32.0,,32088976,1472600041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-08-31 01:24:43.570264,67966.0,6641.0
2199870,bed,2016-09-30 20:43:07.102634,slurm_normal,1475269433.0,0,1.0,main_w4_handler0,2807142,13985149,False,1796901341,bam,,8204677.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d51916983a5fee07'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58044d06ad4f9208c'}]","""50""",32.0,,33035132,1475268238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-30 21:03:56.034770,62135.0,1195.0
2199870,bed,2016-09-30 20:42:48.365049,slurm_normal,1475270482.0,0,1.0,main_w4_handler1,2807142,13985146,False,1796901341,bam,,8204675.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d51916983a5fee07'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58044d06ad4f9208c'}]","""200""",32.0,,33035132,1475268236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-09-30 21:21:31.951595,62135.0,2246.0
4280495,bed,2016-10-02 13:28:48.196914,slurm_normal,1475415369.0,0,1.0,main_w3_handler1,2835334,13990560,False,1558617492,bed,,8210018.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac3b76cd7ae03bf3'}]","""/galaxy-repl/localdata/chrom/danRer10.len""","""5.0""","""danRer10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5289691534c808035'}]","""200""",32.0,,33400245,1475415052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-02 13:36:10.842330,90250.0,317.0
2792277,bed,2017-01-11 18:44:05.385075,slurm_normal,1484160633.0,0,1.0,main_w3_handler0,2804823,14742554,False,1842951844,bam,,8907322.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 26815121}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35324709,1484160250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 18:50:37.249785,89184.0,383.0
887808,bed,2016-10-03 13:40:31.665736,slurm_normal,1475503809.0,0,1.0,main_w4_handler1,2807142,13996245,False,1059575007,bam,,8215624.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bb4f21c3cd9c6c5b'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5603373e0b84187eb'}]","""200""",32.0,,33035132,1475503140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-03 14:10:13.028081,62135.0,669.0
56009,bed,2017-01-11 21:40:06.077275,slurm_normal,1484171138.0,0,1.0,main_w3_handler0,2804823,14744115,False,1842951844,bam,,8908803.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27897511}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35331076,1484170835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 21:45:40.662119,89184.0,303.0
72100,bed,2017-01-11 21:43:51.923429,slurm_normal,1484171436.0,0,1.0,main_w3_handler1,2804823,14744136,False,1842951844,bam,,8908827.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27897426}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35331076,1484171037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-11 21:50:39.818561,89184.0,399.0
1705952,bed,2016-10-04 13:19:24.374814,slurm_normal,1475588408.0,0,1.0,main_w3_handler0,2837396,14004456,False,3234642789,bam,,8223175.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594612c0181c155a3'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6d65c36d4bd3b97'}]","""200""",32.0,,33121136,1475587323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-04 13:40:15.890065,16545.0,1085.0
683629,bed,2016-11-01 16:25:55.048552,slurm_normal,1478018341.0,0,1.0,main_w4_handler1,2837396,14225932,False,3266253959,bam,,8435974.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5649cf759bbb4c986'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52076f13236e84c97'}]","""200""",32.0,,33874643,1478017562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-01 16:39:04.323235,16545.0,779.0
151143,bed,2017-01-13 12:42:29.924215,slurm_normal,1484311485.0,0,1.0,main_w4_handler0,2952241,14758526,False,523612237,bam,,8922958.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27918925}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 27917698}]","""200""",32.0,,35345483,1484311360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 12:44:48.994609,88896.0,125.0
151143,bed,2017-01-13 12:45:41.188553,slurm_normal,1484311662.0,0,1.0,main_w4_handler1,2952241,14758546,False,523612237,bam,,8922980.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27918934}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 27917698}]","""200""",32.0,,35345483,1484311544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 12:47:45.365480,88896.0,118.0
151143,bed,2017-01-13 14:12:45.401887,slurm_normal,1484317032.0,0,1.0,main_w3_handler0,2804823,14759119,False,1842951844,bam,,8923539.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27919724}]","""/galaxy-repl/localdata/chrom/hg19.len""","""2.0""","""hg19""",,"[{'src': 'hda', 'id': 26298322}]","""200""",32.0,,35365559,1484316770.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 14:17:14.565678,89184.0,262.0
361299210,bed,2016-11-10 09:11:05.845634,slurm_normal,1478790628.0,0,1.0,main_w3_handler0,2882205,14304046,False,361299210,bed,,8512108.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50dc9408ca32de97d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50dc9408ca32de97d'}]","""200""",32.0,,34182873,1478769428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2016-11-10 15:10:34.691701,77685.0,21200.0
151143,bed,2017-01-13 14:27:26.859564,slurm_normal,1484318198.0,0,1.0,main_w3_handler0,2802843,14759237,False,4198683436,bam,,8923656.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27919923}]","""/galaxy-repl/localdata/chrom/hg19.len""","""3.0""","""hg19""",,"[{'src': 'hda', 'id': 26277882}]","""200""",32.0,,35365814,1484317650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 14:36:39.876106,89095.0,548.0
151143,bed,2017-01-13 14:50:22.252335,slurm_normal,1484319564.0,0,1.0,main_w4_handler0,2802843,14759408,False,4146010795,bam,,8923831.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27919923}]","""/galaxy-repl/localdata/chrom/hg19.len""","""3.0""","""hg19""",,"[{'src': 'hda', 'id': 26277883}]","""200""",32.0,,35365814,1484319025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 14:59:25.882070,89095.0,539.0
151143,bed,2017-01-13 15:14:35.239871,slurm_normal,1484320969.0,0,1.0,main_w4_handler0,2802843,14759623,False,3894318548,bam,,8924039.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27919923}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""",,"[{'src': 'hda', 'id': 26277884}]","""200""",32.0,,35365814,1484320483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-01-13 15:22:51.760444,89095.0,486.0
