bed_infile,bed_infile_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed_infile.values,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile.values,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
541309,bed,2017-10-03 20:32:01.495533,slurm_normal,1507064354.0,0,,1.0,main_w3_handler1,3270952,17015127,False,4454466671,bam,,11070142.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31542307}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488300}]","""500""",32.0,,40965215,1507062734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 20:59:18.927497,97544.0,1620.0
541309,bed,2017-10-03 20:32:01.926419,slurm_normal,1507064682.0,0,,1.0,main_w3_handler1,3270952,17015128,False,5619241509,bam,,11070143.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31542307}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488302}]","""500""",32.0,,40965215,1507062736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 21:04:50.130937,97544.0,1946.0
1563750,bed,2017-10-03 20:42:11.458552,slurm_normal,1507064833.0,0,,1.0,main_w4_handler1,3270952,17015483,False,4454466671,bam,,11070275.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31543939}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488300}]","""500""",32.0,,40965215,1507063343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 21:07:18.548090,97544.0,1490.0
1563750,bed,2017-10-03 20:42:12.174784,slurm_normal,1507066101.0,0,,1.0,main_w3_handler1,3270952,17015484,False,5619241509,bam,,11070496.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31543939}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488302}]","""500""",32.0,,40965215,1507064382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 21:28:26.468802,97544.0,1719.0
5048291,bed,2017-10-04 15:47:37.363648,slurm_normal,1507133228.0,0,,1.0,main_w3_handler1,3270952,17024652,False,4454466671,bam,,11080057.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31552196}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488300}]","""250""",32.0,,40965215,1507132072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-04 16:07:09.841951,97544.0,1156.0
5048291,bed,2017-10-04 15:47:38.079676,slurm_normal,1507133478.0,0,,1.0,main_w3_handler1,3270952,17024653,False,5619241509,bam,,11080059.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31552196}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488302}]","""250""",32.0,,40965215,1507132073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-04 16:11:24.813562,97544.0,1405.0
2456150,bed,2017-10-06 21:54:57.217385,slurm_normal,1507327834.0,0,,1.0,main_w3_handler1,3270952,17043824,False,4454466671,bam,,11101181.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31579553}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488300}]","""200""",32.0,,40965215,1507326901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-06 22:10:37.283306,97544.0,933.0
2456150,bed,2017-10-06 21:54:57.792799,slurm_normal,1507328099.0,0,,1.0,main_w4_handler1,3270952,17043825,False,5619241509,bam,,11101182.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31579553}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488302}]","""200""",32.0,,40965215,1507326901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-06 22:15:01.113397,97544.0,1198.0
862948,bed,2017-12-20 10:50:39.995436,slurm_normal,1513767137.0,0,,1.0,main_w4_handler0,3012042,17857811,False,382815863,bam,,11930519,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 33017346}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""5.0""","""?""","[{'src': 'hda', 'id': 33017335}]","""200""",32.0,,42629848,1513767051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-12-20 10:52:18.963377,99362.0,86.0
200039,bed,2017-12-23 04:12:30.898179,slurm_normal,1514002912.0,0,,1.0,main_w3_handler1,3364914,17883727,False,3570429441,bam,,11957668,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 33059305}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""5.0""","""?""","[{'src': 'hda', 'id': 33059281}]","""200""",32.0,,42830578,1514002354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-12-23 04:21:54.172203,111447.0,558.0
799386,bed,2018-01-03 23:47:35.861747,slurm_normal,1515023390.0,0,,1.0,main_w4_handler0,2943501,17940306,False,788584331,bam,,12016392,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 33132735}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""5.0""","""?""","[{'src': 'hda', 'id': 33123044}]","""200""",32.0,,42936989,1515023258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-03 23:49:52.501338,97520.0,132.0
1010810,bed,2017-11-15 23:50:02.064468,slurm_normal,1510790041.0,0,,1.0,main_w4_handler1,3232404,17476123,False,1370875828,bam,,11533302,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 32343399}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""5.0""","""hg19""","[{'src': 'hda', 'id': 32343299}]","""200""",32.0,,41871204,1510789823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-15 23:54:08.253500,110533.0,218.0
344384,bed,2018-03-08 12:40:44.217372,slurm_normal,1520512888.0,0,7680.0,1.0,main_w4_handler1,3454360,18656789,False,1451006,bed,,12752697,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34280325}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""5.0""","""?""","[{'src': 'hda', 'id': 34292960}]","""200""",32.0,,44283394,1520512868.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2018-03-08 12:41:30.503692,82104.0,20.0
755813,bed,2018-02-20 05:29:12.902682,slurm_normal,1519104715.0,0,7680.0,1.0,main_w3_handler1,3435430,18443557,False,1376,bed,,12538546,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 33952578}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""5.0""","""hg38""","[{'src': 'hda', 'id': 33952728}]","""200""",32.0,,44021263,1519104560.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2018-02-20 05:31:56.386429,122338.0,155.0
