create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_database,input_database_filetype,input_motifs,input_motifs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta_type.__current_case__,parameters.fasta_type.fasta_type_selector,parameters.fasta_type.input_database,parameters.fasta_type.input_database.values,parameters.input_motifs,parameters.input_motifs.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.alpha,parameters.options_type.bgfile_type.__current_case__,parameters.options_type.bgfile_type.bgfile_type_selector,parameters.options_type.max_stored_scores,parameters.options_type.max_strand,parameters.options_type.motif_pseudo,parameters.options_type.motifs_cond.__current_case__,parameters.options_type.motifs_cond.motifs_selector,parameters.options_type.no_qvalue,parameters.options_type.norc,parameters.options_type.options_type_selector,parameters.options_type.parse_genomic_coord,parameters.options_type.prior_dist_cond.__current_case__,parameters.options_type.prior_dist_cond.prior_dist_selector,parameters.options_type.psp_cond.__current_case__,parameters.options_type.psp_cond.psp_selector,parameters.options_type.qv_thresh,parameters.options_type.thresh,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-20 08:15:40.788376,slurm_normal,1455956169.0,0,1.0,main_w1_handler2,2564476,11883365,False,,1710,fasta,1843,memexml,6123320.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455956164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:16:13.570915,76755,5.0
2016-02-20 08:12:26.160066,slurm_normal,1455956000.0,0,1.0,main_w1_handler0,2564476,11883363,False,,1710,fasta,1843,memexml,6123310.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,27412803,1455955992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:13:24.306337,76755,8.0
2016-02-20 08:24:03.091812,slurm_normal,1455956676.0,0,1.0,main_w1_handler1,2564476,11883381,False,,1710,fasta,883,memexml,6123350.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431566,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.1,32.0,,27412803,1455956672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:24:41.129479,76755,4.0
2016-02-20 08:59:29.834124,slurm_normal,1455958817.0,0,1.0,main_w1_handler1,2564476,11883419,False,,1710,fasta,1843,memexml,6123402.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431637,,"""True""",1,1.0,0.0,motif_file,100000,False,0.01,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.001,32.0,,27412803,1455958801.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 09:00:19.629891,76755,16.0
2016-02-20 08:35:54.207096,slurm_normal,1455957490.0,0,1.0,main_w1_handler1,2564476,11883396,False,,1710,fasta,883,memexml,6123371.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431605,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,27412803,1455957471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:38:12.928282,76755,19.0
2016-02-20 08:28:11.498247,slurm_normal,1455957119.0,0,1.0,main_w1_handler1,2564476,11883386,False,,1710,fasta,883,memexml,6123360.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431566,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455956934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:32:03.250523,76755,185.0
2016-02-20 08:36:17.049910,slurm_normal,1455957423.0,0,1.0,main_w1_handler2,2564476,11883398,False,,1710,fasta,883,memexml,6123373.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431605,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455957418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:37:07.608207,76755,5.0
2016-02-20 08:42:02.047947,slurm_normal,1455957760.0,0,1.0,main_w1_handler0,2564476,11883401,False,,1710,fasta,1843,memexml,6123383.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,27412803,1455957757.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:42:43.480600,76755,3.0
2016-02-20 09:14:31.706881,slurm_normal,1455959717.0,0,1.0,main_w1_handler0,2564476,11883475,False,,1710,fasta,4701,memexml,6123457.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431745,,"""True""",1,1.0,0.0,motif_file,100000,False,0.01,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.001,32.0,,27412803,1455959711.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 09:15:22.062723,76755,6.0
2016-02-20 08:50:02.394998,slurm_normal,1455958244.0,0,1.0,main_w1_handler2,2564476,11883408,False,,1710,fasta,1843,memexml,6123391.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431637,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,27412803,1455958240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:50:47.665358,76755,4.0
2016-02-20 08:51:40.826544,slurm_normal,1455958351.0,0,1.0,main_w1_handler0,2564476,11883410,False,,1710,fasta,1843,memexml,6123393.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431637,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455958348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:52:35.658252,76755,3.0
2016-02-20 08:59:57.057576,slurm_normal,1455958912.0,0,1.0,main_w1_handler0,2564476,11883420,False,,1710,fasta,1843,memexml,6123403.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431637,,"""True""",1,1.0,0.0,motif_file,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455958846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 09:01:54.207909,76755,66.0
2016-02-20 09:21:36.487305,slurm_normal,1455960156.0,0,1.0,main_w1_handler1,2564476,11883579,False,,1710,fasta,4701,memexml,6123512.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431745,,"""True""",1,1.0,0.0,motif_file,100000,False,0.01,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.001,32.0,,27412803,1455960152.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 09:22:40.294263,76755,4.0
2016-02-20 09:51:36.592566,slurm_normal,1455961927.0,0,1.0,main_w1_handler2,2564476,11883604,False,,1710,fasta,10098,memexml,6123583.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431889,,"""True""",1,1.0,1.0,default,100000,False,0.01,0.0,yes,False,True,advanced,False,0.0,no,0.0,no,False,0.001,32.0,,27412803,1455961923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 09:52:11.362371,76755,4.0
2016-02-22 10:11:12.922119,slurm_normal,1456135928.0,0,1.0,main_w1_handler0,2564476,11897793,False,,1710,fasta,10098,memexml,6136748.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431889,,"""True""",1,1.0,1.0,default,100000,False,0.01,0.0,yes,True,True,advanced,False,0.0,no,0.0,no,False,0.0001,32.0,,27407964,1456135921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-22 10:12:13.251650,76755,7.0
2016-02-22 10:11:39.716696,slurm_normal,1456135959.0,0,1.0,main_w1_handler0,2564476,11897795,False,,1710,fasta,10098,memexml,6136752.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431957,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,27407964,1456135954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-22 10:12:43.244354,76755,5.0
2016-02-22 10:14:32.799996,slurm_normal,1456136121.0,0,1.0,main_w1_handler1,2564476,11897813,False,,1710,fasta,10098,memexml,6136774.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431889,,"""True""",1,1.0,0.0,motif_file,100000,False,0.01,0.0,yes,False,True,advanced,False,0.0,no,0.0,no,False,0.0001,32.0,,27407964,1456136116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-22 10:15:27.401201,76755,5.0
2016-03-14 15:11:37.421610,slurm_normal,1457968339.0,0,1.0,main_w1_handler1,2633069,12128012,False,,36368,fasta,136153,memexml,6347908.roundup,slurm,,132112168.0,corral-repl,,"""0b4c5198e9f711e59b95005056a52a46""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",1,history,23759420.0,,23758074,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28419268,1457968326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-14 15:12:22.444833,78723,13.0
2016-03-09 13:27:04.680732,slurm_normal,1457530073.0,0,1.0,main_w2_handler1,2627223,12082834,False,,36368,fasta,136153,memexml,6307923.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",1,history,23758076.0,,23758074,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28419268,1457530060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-09 13:27:58.704264,78723,13.0
2016-03-09 14:21:30.087115,slurm_normal,1457533326.0,0,1.0,main_w2_handler0,2627223,12083432,False,,36019,fasta,136153,memexml,6308481.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",1,history,23759217.0,,23758074,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,True,advanced,False,0.0,no,0.0,no,False,0.0001,32.0,,28419268,1457533317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-09 14:22:15.384989,78723,9.0
