chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minlen,parameters.minoe,parameters.minpc,parameters.shift,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
172514.0,len,2015-03-25 19:38:59.065997,rodeo_normal,1427312436.0,0.0,,1.0,main_w2_handler0,2104786,9038421,False,,17359000,fasta,3323496.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995201,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312374.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:40:41.752735,52881.0,62.0
172514.0,len,2015-03-25 19:39:10.835744,rodeo_normal,1427312469.0,0.0,,1.0,main_w1_handler1,2104786,9038430,False,,18259314,fasta,3323532.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995279,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:41:13.978905,52881.0,13.0
172514.0,len,2015-03-25 19:38:37.962525,rodeo_normal,1427312342.0,0.0,,1.0,main_w1_handler1,2104786,9038411,False,,19572419,fasta,3323481.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995115,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:04.609460,52881.0,7.0
172514.0,len,2015-03-25 19:38:54.459005,rodeo_normal,1427312358.0,0.0,,1.0,main_w2_handler0,2104786,9038418,False,,15903572,fasta,3323487.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995170,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:22.287173,52881.0,6.0
172514.0,len,2015-03-25 19:39:01.995653,rodeo_normal,1427312434.0,0.0,,1.0,main_w1_handler1,2104786,9038424,False,,21044984,fasta,3323520.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995221,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:40:42.748658,52881.0,9.0
172514.0,len,2015-03-25 19:39:11.666646,rodeo_normal,1427312391.0,0.0,,1.0,main_w1_handler0,2104786,9038431,False,,15209008,fasta,3323502.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995289,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:58.123172,52881.0,7.0
172514.0,len,2015-03-25 19:39:00.295001,rodeo_normal,1427312367.0,0.0,,1.0,main_w2_handler1,2104786,9038422,False,,13739493,fasta,3323491.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995209,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:35.547923,52881.0,7.0
172514.0,len,2015-03-25 19:38:48.528467,rodeo_normal,1427312360.0,0.0,,1.0,main_w2_handler1,2104786,9038415,False,,22696971,fasta,3323485.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995143,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:27.154584,52881.0,19.0
,,2015-03-30 14:26:36.548130,rodeo_normal,1427725616.0,0.0,,1.0,main_w2_handler1,2166549,9086448,False,,76902,fasta,3371999.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19063563,,"""200""","""0.6""","""30.0""","""1""","""100""",32.0,,20370892.0,1427725613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-30 14:27:00.491667,,3.0
1607154.0,len,2015-04-01 20:00:39.049412,slurm_normal,1427920419.0,0.0,,1.0,main_w2_handler0,2058962,9117711,False,,1910144189,fasta,3403517.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/707/dataset_10707651.dat""","""?""",18888381,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,21542966.0,1427918454.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-04-01 20:33:43.653431,3490.0,1965.0
,,2015-04-13 07:28:00.737325,slurm_normal,1428910099.0,0.0,,1.0,main_w2_handler0,2268237,9213595,False,,389762,bed,3495426.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19261463,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,22413339.0,1428910097.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-04-13 07:28:23.897109,,2.0
,,2015-04-18 09:52:57.791182,slurm_normal,1429350797.0,0.0,,1.0,main_w2_handler0,2263198,9262054,False,,767762,fasta,3549881.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19345452,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,22517770.0,1429350793.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-04-18 09:53:20.816956,62407.0,4.0
,,2015-04-30 10:26:44.097897,slurm_normal,1430389680.0,0.0,,1.0,main_w1_handler0,2263198,9367661,False,,1066349,fasta,3703770.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19523044,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,22517770.0,1430389622.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-04-30 10:28:04.179703,62407.0,58.0
,,2015-07-04 12:09:56.477806,slurm_normal,1436011824.0,0.0,,1.0,main_w1_handler0,2350049,9790162,False,,1661193,fasta,4092214.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20228180,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,23026810.0,1436011816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-07-04 12:10:27.838261,62515.0,8.0
,,2015-10-24 14:34:31.313452,slurm_normal,1445697300.0,0.0,,1.0,main_w1_handler0,2470355,10714811,False,,59455099,fasta,4977389.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21719386,,"""200""","""0.6""","""50.0""","""100""","""100""",32.0,,25396873.0,1445697284.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-24 14:35:02.300016,,16.0
,,2015-10-24 20:54:34.345257,slurm_normal,1445720148.0,0.0,,1.0,main_w1_handler2,2483815,10716949,False,,59455099,fasta,4979333.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21722682,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,25872719.0,1445720093.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-24 20:55:50.559894,,55.0
27872.0,len,2015-08-08 08:02:39.668227,slurm_normal,1439021184.0,0.0,,1.0,main_w1_handler1,1959680,10082867,False,,135017062,fasta,4359792.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/115/dataset_12115193.dat""","""?""",20664269,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,24344154.0,1439020986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-08-08 08:06:26.547460,50669.0,198.0
,,2015-10-25 09:43:56.078245,slurm_normal,1445766313.0,0.0,,1.0,main_w1_handler2,2484281,10722866,False,,59455099,fasta,4984710.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21731846,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,25878485.0,1445766252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-25 09:45:15.625556,,61.0
,,2015-10-25 17:08:15.767527,slurm_normal,1445793134.0,0.0,,1.0,main_w1_handler2,2484544,10725157,False,,59455099,fasta,4986872.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21735160,,"""200""","""0.6""","""50.0""","""1000""","""1000""",32.0,,25881231.0,1445793122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-25 17:12:18.736938,,12.0
,,2015-10-25 12:46:36.923167,slurm_normal,1445777227.0,0.0,,1.0,main_w1_handler0,2464695,10723693,False,,59455099,fasta,4985509.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21733166,,"""200""","""0.6""","""50.0""","""100000""","""100000""",32.0,,25571641.0,1445777214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-25 12:47:09.878601,70777.0,13.0
,,2015-10-25 17:05:11.304310,slurm_normal,1445792746.0,0.0,,1.0,main_w2_handler1,2484544,10725138,False,,59455099,fasta,4986845.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21735160,,"""200""","""0.6""","""50.0""","""10000""","""10000""",32.0,,25881231.0,1445792734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-25 17:05:50.389840,,12.0
,,2015-12-10 03:38:05.387292,slurm_normal,1449718735.0,0.0,,1.0,main_w1_handler1,673123,11136186,False,,4857514,fasta,5403774.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22383179,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,25537149.0,1449718724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-12-10 03:38:59.083337,15114.0,11.0
,,2015-08-21 07:59:26.830780,slurm_normal,1440144016.0,0.0,,1.0,main_w1_handler1,2401204,10162834,False,,21425260,fasta,4432077.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20843562,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,24499150.0,1440143991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-08-21 08:00:19.774714,,25.0
,,2015-08-27 09:08:19.650292,slurm_normal,1440666529.0,0.0,,1.0,main_w2_handler1,2401204,10209076,False,,490374,fasta,4478973.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20924251,,"""300""","""0.6""","""50.0""","""1""","""100""",32.0,,24499150.0,1440666522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-08-27 09:08:51.801506,,7.0
,,2015-09-01 14:39:34.543159,slurm_normal,1441118408.0,0.0,,1.0,main_w1_handler2,2335483,10237038,False,,47265,fasta,4516953.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20973372,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,23548611.0,1441118399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-09-01 14:40:14.908822,53736.0,9.0
,,2015-09-24 08:19:05.202357,slurm_normal,1443082780.0,0.0,,1.0,main_w2_handler1,2448537,10405104,False,,59455099,fasta,4684347.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21222094,,"""200""","""0.6""","""50.0""","""100""","""100""",32.0,,25110895.0,1443082765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-09-24 08:19:44.440749,,15.0
,,2015-09-24 08:44:16.253047,slurm_normal,1443084408.0,0.0,,1.0,main_w1_handler2,2448537,10405278,False,,59455099,fasta,4684591.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21222094,,"""500""","""0.6""","""50.0""","""1000""","""1000""",32.0,,25110895.0,1443084383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-09-24 08:46:51.398886,,25.0
,,2015-10-27 12:34:50.888014,slurm_normal,1445949331.0,0.0,,1.0,main_w1_handler2,2464717,10743406,False,,59455099,fasta,5003188.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21764893,,"""200""","""0.6""","""50.0""","""100""","""100""",32.0,,25916871.0,1445949312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-27 12:35:34.247218,70780.0,19.0
,,2015-10-27 18:08:28.127730,slurm_normal,1445969353.0,0.0,,1.0,main_w2_handler0,2487074,10746457,False,,59455099,fasta,5005986.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21769118,,"""200""","""0.6""","""50.0""","""100""","""100""",32.0,,25924320.0,1445969332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-27 18:09:20.239409,,21.0
,,2015-10-27 18:08:38.381014,slurm_normal,1445969489.0,0.0,,1.0,main_w1_handler1,2486888,10746458,False,,59455099,fasta,5005987.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21767520,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,25872719.0,1445969340.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-27 18:11:32.035917,,149.0
,,2015-09-29 10:00:49.367243,slurm_normal,1443520870.0,0.0,,1.0,main_w1_handler0,2451365,10457776,False,,173833,fasta,4735004.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21320122,,"""200""","""0.6""","""50.0""","""1""","""100""",32.0,,25416519.0,1443520866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-09-29 10:01:14.342059,53413.0,4.0
,,2015-10-27 18:56:38.628879,slurm_normal,1445972243.0,0.0,,1.0,main_w2_handler1,2487098,10746878,False,,59455099,fasta,5006447.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21769449,,"""200""","""0.6""","""50.0""","""100""","""100""",32.0,,25925172.0,1445972226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-10-27 18:57:26.628605,,17.0
,,2016-03-10 05:47:47.881106,slurm_normal,1457588889.0,0.0,,1.0,main_w2_handler1,2626948,12092480,False,,9345,fasta,6317006.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",23755822,,"""50""","""0.6""","""50.0""","""1""","""100""",32.0,,28893635.0,1457588883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2016-03-10 05:48:11.785620,,6.0
