chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.vcf_samples,parameters.vcf_samples.__class__,parameters.vcf_samples.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-25 11:11:27.074248,slurm_normal,1437822714.0,0,,1.0,main_w1_handler0,2389414,9978191,False,,895200,vcf,4262046.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Father2""]",,,32.0,,24126784.0,1437822709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:11:56.811863,65999.0,5.0
,,2015-07-25 11:11:34.591544,slurm_normal,1437822723.0,0,,1.0,main_w1_handler0,2389414,9978193,False,,895200,vcf,4262047.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Mother1""]",,,32.0,,24126784.0,1437822720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:12:05.592104,65999.0,3.0
,,2015-07-25 11:13:17.776771,slurm_normal,1437822820.0,0,,1.0,main_w1_handler0,2389414,9978200,False,,895200,vcf,4262055.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Daughter1""]",,,32.0,,24126784.0,1437822816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:13:41.774875,65999.0,4.0
,,2015-07-25 11:13:11.027047,slurm_normal,1437822819.0,0,,1.0,main_w1_handler0,2389414,9978199,False,,895200,vcf,4262054.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Mother2""]",,,32.0,,24126784.0,1437822815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:13:40.305775,65999.0,4.0
,,2015-07-25 11:13:26.099788,slurm_normal,1437822830.0,0,,1.0,main_w1_handler2,2389414,9978202,False,,895200,vcf,4262056.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Daughter2""]",,,32.0,,24126784.0,1437822827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:13:52.255974,65999.0,3.0
,,2015-07-25 11:34:37.047082,slurm_normal,1437824099.0,0,,1.0,main_w1_handler1,2389402,9978319,False,,449546,vcf,4262164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534599,,,"[""sam-na12878""]",,,32.0,,24137079.0,1437824095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:35:02.266568,66136.0,4.0
,,2015-07-25 11:55:34.617841,slurm_normal,1437825358.0,0,,1.0,main_w2_handler1,2388756,9978449,False,,756594,vcf,4262290.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Mother2""]",,,32.0,,24126784.0,1437825354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:55:59.952309,65999.0,4.0
,,2015-07-25 11:55:13.740379,slurm_normal,1437825334.0,0,,1.0,main_w2_handler1,2388756,9978447,False,,756594,vcf,4262284.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Father2""]",,,32.0,,24126784.0,1437825329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:55:35.246211,65999.0,5.0
,,2015-07-25 12:08:13.713727,slurm_normal,1437826114.0,0,,1.0,main_w2_handler1,2388751,9978521,False,,895200,vcf,4262358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Mother2""]",,,32.0,,24126784.0,1437826110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:08:35.889258,65999.0,4.0
,,2015-07-25 11:56:12.214337,slurm_normal,1437825394.0,0,,1.0,main_w1_handler1,2388756,9978453,False,,756594,vcf,4262294.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Daughter1""]",,,32.0,,24126784.0,1437825390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:56:37.247615,65999.0,4.0
