chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.column_end,parameters.adv_opts.column_start,parameters.chromInfo,parameters.dbkey,parameters.ignore_case,parameters.infile.values,parameters.is_numeric,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-04 17:31:05.162751,slurm_normal,1515087086.0,0,,1.0,main_w3_handler1,3381992,17945905,False,32864921,tabular,,12022013,slurm,,132112168.0,corral-repl,,,1,advanced,1,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 33174273}]","""false""",32.0,,42985970.0,1515087068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-04 17:31:28.233212,4594.0,18.0
,,2018-01-19 14:19:40.336623,slurm_normal,1516371592.0,0,,1.0,main_w3_handler1,3128114,18084235,False,74147,tabular,,12163418,slurm,,132112168.0,corral-repl,,,1,advanced,1,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33391646}]","""false""",32.0,,41808057.0,1516371587.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-19 14:19:53.232281,102541.0,5.0
,,2018-01-19 14:21:32.039737,slurm_normal,1516371701.0,0,,1.0,main_w3_handler0,3128114,18084251,False,754029,tabular,,12163444,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33391182}]","""false""",32.0,,41808057.0,1516371697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-19 14:21:42.747601,102541.0,4.0
,,2018-01-04 21:19:27.261742,slurm_normal,1515100779.0,0,,1.0,main_w4_handler1,3363222,17948915,False,901139,bed,,12025003,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""false""","[{'src': 'hda', 'id': 33178810}]","""false""",32.0,,42618656.0,1515100774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-04 21:19:41.350383,118524.0,5.0
,,2018-01-05 03:32:38.832733,slurm_normal,1515123170.0,0,,1.0,main_w4_handler1,3381992,17950623,False,32864921,tabular,,12027054,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 33181657}]","""false""",32.0,,42993315.0,1515123161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 03:32:51.938570,4594.0,9.0
,,2018-01-23 11:58:11.666223,slurm_normal,1516708703.0,0,,1.0,main_w3_handler0,916931,18131146,False,111696,tabular,,12210904,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33459161}]","""false""",32.0,,43371220.0,1516708699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-23 11:58:24.839952,13069.0,4.0
,,2018-01-08 10:22:55.838360,slurm_normal,1515406985.0,0,,1.0,main_w3_handler1,2739523,17970966,False,275519,tabular,,12047529,slurm,,132112168.0,corral-repl,,,1,advanced,4,4,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 30966294}]","""false""",32.0,,42977466.0,1515406980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-08 10:23:07.094525,36650.0,5.0
,,2018-01-08 01:28:12.355712,slurm_normal,1515374899.0,0,,1.0,main_w4_handler1,3384121,17968684,False,740441,tabular,,12045284,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33209343}]","""false""",32.0,,43025024.0,1515374894.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-08 01:28:21.465707,119464.0,5.0
,,2018-01-09 05:14:16.031836,slurm_normal,1515474864.0,0,,1.0,main_w4_handler1,2977195,17978572,False,1619263,tabular,,12055371,slurm,,132112168.0,corral-repl,,,1,advanced,4,3,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 33225054}]","""false""",32.0,,43069342.0,1515474859.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-09 05:14:25.981633,50959.0,5.0
,,2018-01-09 05:34:40.073871,slurm_normal,1515476087.0,0,,1.0,main_w4_handler1,2977195,17978643,False,817789,tabular,,12055440,slurm,,132112168.0,corral-repl,,,1,advanced,4,3,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 33225153}]","""false""",32.0,,43069342.0,1515476082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-09 05:34:48.403962,50959.0,5.0
