create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.infile.values,parameters.report,parameters.tfam,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-20 06:43:33.306984,slurm_normal,1497941248.0,0,,1.0,main_w3_handler1,3164372,16139710,False,2700510208,gemini.sqlite,,10219434.roundup,slurm,,132112168.0,corral-repl,,"""b922f1ac558311e78f08005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30067881}]","""--variants""","""false""",32.0,,,1497941098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-20 06:47:32.123726,42102,150.0
2017-06-20 06:44:09.091142,slurm_normal,1497941595.0,0,,1.0,main_w4_handler0,3164373,16139723,False,2548345856,gemini.sqlite,,10219452.roundup,slurm,,132112168.0,corral-repl,,"""d97901d0558311e7935a005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30067994}]","""--variants""","""false""",32.0,,,1497941450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-20 06:53:16.670319,42102,145.0
2017-06-16 01:59:39.889331,slurm_normal,1497579312.0,0,,1.0,main_w3_handler0,3157679,16113245,False,16577393664,gemini.sqlite,,10195701.roundup,slurm,,132112168.0,corral-repl,,"""64d46d1e523711e780b3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30048784}]","""--variants""","""false""",32.0,,,1497578679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-16 02:16:46.770633,42102,633.0
2017-06-16 06:54:48.822776,slurm_normal,1497597780.0,0,,1.0,main_w4_handler0,3157936,16114061,False,14620344320,gemini.sqlite,,10196291.roundup,slurm,,132112168.0,corral-repl,,"""a46451fa526011e7bde5005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30050144}]","""--variants""","""false""",32.0,,,1497597234.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-16 07:23:03.278008,42102,546.0
2017-05-23 00:25:01.097303,slurm_normal,1495499584.0,0,,1.0,main_w3_handler1,3121386,15911100,False,4586409984,gemini.sqlite,,10009121.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29715235}]","""--variants""","""false""",32.0,,38127120.0,1495499114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-05-23 00:33:06.324031,42102,470.0
2017-05-23 07:10:49.927610,slurm_normal,1495538576.0,0,,1.0,main_w3_handler1,3123121,15913955,False,2528231424,gemini.sqlite,,10013940.roundup,slurm,,132112168.0,corral-repl,,"""e9fbb4d43f8611e7809a005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29728120}]","""--variants""","""false""",32.0,,,1495538424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-05-23 11:22:59.778254,42102,152.0
2017-05-23 07:04:37.233060,slurm_normal,1495538606.0,0,,1.0,main_w4_handler0,3121386,15913897,False,2528231424,gemini.sqlite,,10013942.roundup,slurm,,132112168.0,corral-repl,,"""0e7e135c3f8611e7816e005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29728062}]","""--variants""","""false""",32.0,,,1495538465.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-05-23 11:23:28.368182,42102,141.0
2017-06-17 02:45:01.532541,slurm_normal,1497667734.0,0,,1.0,main_w3_handler0,3159255,16120896,False,2512643072,gemini.sqlite,,10202450.roundup,slurm,,132112168.0,corral-repl,,"""f28591cc530611e7adbd005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30061302}]","""--variants""","""false""",32.0,,,1497667592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-17 02:48:59.123887,42102,142.0
2017-06-18 07:53:45.795841,slurm_normal,1497772610.0,0,,1.0,main_w4_handler1,3160844,16124905,False,2512643072,gemini.sqlite,,10205877.roundup,slurm,,132112168.0,corral-repl,,"""37d832c653fb11e79ca9005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30061302}]","""--variants""","""false""",32.0,,,1497772457.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-18 07:56:52.731634,42102,153.0
2017-06-18 07:56:05.319237,slurm_normal,1497772791.0,0,,1.0,main_w4_handler0,3160845,16124919,False,2548345856,gemini.sqlite,,10205891.roundup,slurm,,132112168.0,corral-repl,,"""918c355653fb11e7a3f4005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30066711}]","""--variants""","""false""",32.0,,,1497772643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-18 07:59:54.057170,42102,148.0
2017-06-18 08:01:04.359110,slurm_normal,1497773155.0,0,,1.0,main_w4_handler0,3160847,16124944,False,2700510208,gemini.sqlite,,10205910.roundup,slurm,,132112168.0,corral-repl,,"""4443a79c53fc11e7b4ca005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30067881}]","""--variants""","""false""",32.0,,,1497773004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-18 08:05:56.658161,42102,151.0
2017-08-01 03:21:56.523318,slurm_normal,1501557886.0,0,,1.0,main_w4_handler1,3208468,16474551,False,2527497216,gemini.sqlite,,10542912.roundup,slurm,,132112168.0,corral-repl,,"""8fdb7db8766811e79318005056ba55fb""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30068654}]","""--variants""","""false""",32.0,,,1501557744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-08-01 03:24:48.097277,42102,142.0
2018-02-28 18:31:30.861802,slurm_normal,1519842712.0,0,7680.0,1.0,main_w3_handler1,3445906,18552485,False,186554368,gemini.sqlite,,12648860,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""true""","[{'src': 'hda', 'id': 34123064}]","""--variants""","""false""",32.0,,44168111.0,1519842698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2018-02-28 18:31:53.656481,45389,14.0
