create_time,destination_id,end_epoch,exit_code,fastq,fastq1,fastq1_filetype,fastq2,fastq2_filetype,fastq_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.fastq2|__identifier__,parameters.fastq|__identifier__,parameters.input_type.__current_case__,parameters.input_type.fastq.values,parameters.input_type.fastq2.values,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-13 08:05:35.215465,slurm_normal,1518509569.0,0,3692633790.0,,,,,fastq,7680.0,1.0,main_w3_handler0,2352037,18362377,False,,12447279,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33824659}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,42784465,1518509197.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-13 08:12:50.543365,65162.0,372.0
2018-02-13 21:08:49.658761,slurm_normal,1518556214.0,0,860695033.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3318604,18373593,False,,12458077,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33840247}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43895619,1518556139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-13 21:10:18.607978,115798.0,75.0
2018-02-14 01:09:21.371089,slurm_normal,1518570603.0,0,89170573.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler1,3412588,18377052,False,,12461642,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33845097}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43594039,1518570572.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-14 01:10:06.081320,121060.0,31.0
2018-02-14 13:41:34.947220,slurm_normal,1518616016.0,0,4364141707.0,,,,,fastqsanger.gz,7680.0,1.0,main_w3_handler0,2352037,18382455,False,,12467431,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33852862}]",,se,"""""","""93""","""0""","""GAIIX""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,42784465,1518615703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-14 13:46:58.478284,65162.0,313.0
2018-02-19 02:55:18.499032,slurm_normal,1519008948.0,0,89170573.0,,,,,fastq,7680.0,1.0,main_w4_handler0,3433989,18430538,False,,12524762,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33931281}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43996287,1519008929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-19 02:55:51.100130,,19.0
2018-02-20 04:02:21.406852,slurm_normal,1519100060.0,0,10360626695.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3434769,18443210,False,,12538158,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33941584}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""SAM_1a""","""""","""false""","""LENIENT""",32.0,,44005735,1519099350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-20 04:14:21.000633,122248.0,710.0
2018-02-21 18:10:10.357155,slurm_normal,1519236833.0,0,1238423616.0,,,1238423616.0,fastqsanger,fastqsanger,7680.0,1.0,main_w3_handler1,3429597,18471111,False,,12565374,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,1,"[{'src': 'hda', 'id': 33986187}]","[{'src': 'hda', 'id': 33986187}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519236635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 18:13:56.290014,122054.0,198.0
2018-02-21 18:13:27.211020,slurm_normal,1519236935.0,0,1216361180.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18471132,False,,12565462,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985804}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519236813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 18:15:36.867512,122054.0,122.0
2018-02-21 22:18:25.403200,slurm_normal,1519251962.0,0,1752379876.0,,,,,fastqsanger,7680.0,1.0,main_w4_handler0,3429597,18474342,False,,12568872,slurm,,132112168.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33968754}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519251797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 22:26:05.370641,122054.0,165.0
2018-02-21 20:13:59.611041,slurm_normal,1519244214.0,0,1216361180.0,,,,,fastqsanger,7680.0,1.0,main_w3_handler0,3429597,18472935,False,,12567368,slurm,,132111800.0,corral-repl,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""",,,0,"[{'src': 'hda', 'id': 33985804}]",,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,43940124,1519244097.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/2.7.1.0,2.7.1.0,,2018-02-21 20:16:56.699433,122054.0,117.0
