chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-05 04:41:04.194757,slurm_normal,1515127278.0,1,,1.0,main_w3_handler0,3382489,17950862,False,,16887173,vcf,12027301,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 33181981}]",hg19,,cached,32.0,,,,42993488,1515127273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-05 04:41:21.006860,119402.0,5.0
,,2018-01-05 04:41:04.644478,slurm_normal,1515127280.0,1,,1.0,main_w3_handler0,3382489,17950865,False,,17577915,vcf,12027302,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 33181991}]",hg19,,cached,32.0,,,,42993488,1515127275.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-05 04:41:25.771085,119402.0,5.0
,,2018-01-05 04:41:04.492908,slurm_normal,1515127271.0,1,,1.0,main_w4_handler1,3382489,17950864,False,,15351864,vcf,12027299,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 33181988}]",hg19,,cached,32.0,,,,42993488,1515127267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-05 04:41:13.646208,119402.0,4.0
,,2017-10-30 11:34:43.842365,slurm_normal,1509363330.0,0,,1.0,main_w4_handler1,3304239,17263539,False,,41388327,vcf,11322577,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,"[{'src': 'hda', 'id': 31963280}]",hg19,,cached,32.0,,,,41616640,1509363311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-30 11:35:40.376450,109071.0,19.0
,,2017-10-30 11:36:09.507943,slurm_normal,1509363426.0,0,,1.0,main_w4_handler1,3304239,17263544,False,,41388327,vcf,11322582,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,"[{'src': 'hda', 'id': 31963280}]",hg19,,cached,32.0,,,,41616640,1509363407.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-30 11:37:15.081155,109071.0,19.0
,,2017-10-30 15:26:12.519014,slurm_normal,1509377217.0,0,,1.0,main_w3_handler0,3304491,17265600,False,,28007231,vcf,11324767,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 31966237}]",hg19,,cached,32.0,,,,41620605,1509377200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-30 15:27:04.372364,83750.0,17.0
,,2017-10-31 14:41:53.927161,slurm_normal,1509461015.0,1,,1.0,main_w4_handler1,3304491,17276449,False,,3664325,vcf,11337243,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 31986636}]",Araly1,,cached,32.0,,,,41620605,1509461010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-31 14:45:23.954834,83750.0,5.0
,,2018-01-08 12:32:14.678323,slurm_normal,1515414740.0,1,,1.0,main_w4_handler1,3210509,17971985,False,,1807059769,vcf,12048572,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 33215240}]",hg19,,cached,32.0,,,,42637878,1515414736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-08 12:32:22.484097,8488.0,4.0
,,2018-01-08 15:39:56.698049,slurm_normal,1515426051.0,0,,1.0,main_w3_handler1,3339864,17973683,False,,131820902,vcf,12050242,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 33214435}]",,"[{'src': 'hda', 'id': 32536061}]",history,32.0,19144739.0,fasta,,42171384,1515426005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-08 15:40:53.321874,108465.0,46.0
,,2018-01-08 15:39:58.785356,slurm_normal,1515426048.0,0,,1.0,main_w4_handler0,3339864,17973686,False,,125256469,vcf,12050241,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 33217020}]",,"[{'src': 'hda', 'id': 32536061}]",history,32.0,19144739.0,fasta,,42171384,1515426002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-08 15:40:52.551660,108465.0,46.0
,,2018-01-08 15:39:58.247241,slurm_normal,1515426052.0,0,,1.0,main_w3_handler1,3339864,17973685,False,,131820902,vcf,12050246,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 33217019}]",,"[{'src': 'hda', 'id': 32536061}]",history,32.0,19144739.0,fasta,,42171384,1515426005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-08 15:40:54.717139,108465.0,47.0
,,2018-01-08 15:39:57.679415,slurm_normal,1515426054.0,0,,1.0,main_w3_handler1,3339864,17973684,False,,125256469,vcf,12050244,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 33214457}]",,"[{'src': 'hda', 'id': 32536061}]",history,32.0,19144739.0,fasta,,42171384,1515426005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-08 15:40:56.022281,108465.0,49.0
,,2017-11-02 16:04:42.630359,slurm_normal,1509638813.0,0,,1.0,main_w4_handler1,3304491,17304219,False,,18024964,vcf,11364045,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 32024837}]",hg19,,cached,32.0,,,,41620605,1509638797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-02 16:07:10.004864,83750.0,16.0
,,2017-11-03 19:56:14.420980,slurm_normal,1509739004.0,0,,1.0,main_w3_handler0,3290304,17322203,False,,103625,vcf,11382206,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 32057171}]",,"[{'src': 'hda', 'id': 32056515}]",history,32.0,156006.0,fasta,,41347020,1509739000.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-03 19:56:50.208453,113815.0,4.0
,,2018-02-06 02:11:10.397029,slurm_normal,1517883080.0,1,7680.0,1.0,main_w4_handler0,3050133,18264742,False,,3034396081,vcf,12346428,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""hg38Patch11""","""-x""",0,"[{'src': 'hda', 'id': 33684701}]",hg38,,cached,32.0,,,,43698290,1517883077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-02-06 02:11:21.011101,7019.0,3.0
,,2017-11-07 10:46:39.865574,slurm_normal,1510051623.0,1,,1.0,main_w4_handler0,3314749,17360067,False,,18639,vcf,11420984,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 32114858}]",Araly1,,cached,32.0,,,,41809905,1510051618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-07 10:47:05.951537,,5.0
,,2018-01-10 05:55:54.192752,slurm_normal,1515564470.0,0,,1.0,main_w3_handler0,3385404,17988880,False,,3328682565,vcf,12065529,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 33240973}]",hg_g1k_v37,,cached,32.0,,,,43070949,1515563776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-10 06:07:51.786988,119517.0,694.0
,,2017-11-09 04:38:37.460471,slurm_normal,1510202333.0,1,,1.0,main_w3_handler1,3300360,17392094,False,,1460820293,vcf,11453212,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 32180563}]",,"[{'src': 'hda', 'id': 32178325}]",history,32.0,2124.0,fasta,,41531738,1510202329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-09 04:38:54.538293,,4.0
,,2018-01-22 19:17:24.591995,slurm_normal,1516652414.0,0,,1.0,main_w3_handler1,3399319,18124753,False,,17143999186,vcf,12202829,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""-x""",0,"[{'src': 'hda', 'id': 33417515}]",Arabidopsis_thaliana_TAIR10,,cached,32.0,,,,43356100,1516648656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-22 20:20:16.371737,109550.0,3758.0
,,2017-11-18 22:25:17.975123,slurm_normal,1511044053.0,0,,1.0,main_w3_handler1,3326891,17504645,False,,1016449160,vcf,11565143,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 32391208}]",,"[{'src': 'hda', 'id': 32391195}]",history,32.0,841878399.0,fasta,,42037952,1511043922.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-18 22:27:34.834072,115783.0,131.0
,,2017-11-20 13:51:05.684360,slurm_normal,1511185877.0,0,,1.0,main_w4_handler0,3332054,17518434,False,,608439,vcf,11578309,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""-x""",0,"[{'src': 'hda', 'id': 32416156}]",hg19,,cached,32.0,,,,41784388,1511185872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-20 13:51:18.635167,115408.0,5.0
,,2017-11-20 13:51:05.412420,slurm_normal,1511185874.0,0,,1.0,main_w3_handler1,3332054,17518433,False,,665295,vcf,11578306,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""-x""",0,"[{'src': 'hda', 'id': 32416153}]",hg19,,cached,32.0,,,,41784388,1511185869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-20 13:51:15.386753,115408.0,5.0
,,2017-11-20 13:51:05.171600,slurm_normal,1511185874.0,0,,1.0,main_w3_handler0,3332054,17518432,False,,592699,vcf,11578307,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""-x""",0,"[{'src': 'hda', 'id': 32416151}]",hg19,,cached,32.0,,,,41784388,1511185869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-20 13:51:15.297511,115408.0,5.0
,,2017-11-21 02:53:31.427489,slurm_normal,1511232843.0,0,,1.0,main_w3_handler0,3333131,17529635,False,,24833226,vcf,11588750,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 32439282}]",hg19,,cached,32.0,,,,42136665,1511232815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 02:54:07.326866,116759.0,28.0
,,2017-11-21 07:51:29.362804,slurm_normal,1511250697.0,0,,1.0,main_w3_handler0,3333385,17531649,False,,156097,vcf,11590909,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 32442086}]",hg19,,cached,32.0,,,,41904677,1511250692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 07:51:39.400343,115898.0,5.0
,,2017-11-21 07:58:28.287643,slurm_normal,1511251130.0,0,,1.0,main_w3_handler1,3333131,17531696,False,,130577736,vcf,11590953,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 32442350}]",,"[{'src': 'hda', 'id': 32441218}]",history,32.0,11790798.0,fasta,,42136665,1511251112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 07:58:51.654709,116759.0,18.0
,,2017-11-21 13:07:53.786556,slurm_normal,1511269693.0,1,,1.0,main_w3_handler1,3333131,17534637,False,,28995239,vcf,11593753,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448797}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:08:18.043929,116759.0,7.0
,,2017-11-21 13:04:58.966815,slurm_normal,1511269508.0,1,,1.0,main_w4_handler0,3333131,17534611,False,,29052058,vcf,11593715,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448393}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:05:09.928395,116759.0,5.0
,,2017-11-21 13:05:29.307695,slurm_normal,1511269540.0,1,,1.0,main_w4_handler0,3333131,17534613,False,,18833237,vcf,11593724,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448778}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:05:42.583553,116759.0,7.0
,,2017-11-21 13:06:31.532904,slurm_normal,1511269605.0,1,,1.0,main_w3_handler1,3333131,17534625,False,,20602732,vcf,11593734,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448781}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:06:49.175978,116759.0,7.0
,,2017-11-21 13:05:12.246467,slurm_normal,1511269525.0,1,,1.0,main_w4_handler0,3333131,17534612,False,,32146285,vcf,11593722,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448575}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:05:27.034261,116759.0,6.0
,,2017-11-21 13:07:36.279157,slurm_normal,1511269669.0,1,,1.0,main_w4_handler0,3333131,17534635,False,,26477964,vcf,11593750,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448791}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:07:54.006282,116759.0,5.0
,,2017-11-21 13:06:43.685125,slurm_normal,1511269617.0,1,,1.0,main_w4_handler1,3333131,17534628,False,,28036009,vcf,11593740,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/.len""","""""","""-x""",1,"[{'src': 'hda', 'id': 32448782}]",,"[{'src': 'hda', 'id': 32446802}]",history,32.0,11790798.0,fasta,,42136665,1511269609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-21 13:06:59.819037,116759.0,8.0
,,2017-11-25 13:01:40.511214,slurm_normal,1511614978.0,0,,1.0,main_w4_handler1,3339354,17578109,False,,221977802,vcf,11640659,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 32524672}]",,"[{'src': 'hda', 'id': 32524320}]",history,32.0,4062090.0,fasta,,42250274,1511614903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-25 13:03:00.602333,64758.0,75.0
,,2017-11-26 17:36:03.604901,slurm_normal,1511722291.0,0,,1.0,main_w4_handler0,3338106,17590508,False,,25097552930,vcf,11649088,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""-x""",0,"[{'src': 'hda', 'id': 32542011}]",hg19,,cached,32.0,,,,42253639,1511717767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-11-26 18:51:33.624299,117129.0,4524.0
