chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf,parameters.reference_source.input_vcf.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-16 15:16:19.428841,slurm_normal,1434467820.0,1,,1.0,main_w1_handler2,2344776,9665035,False,,39175,vcf,3974457.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-k""",1,20024723.0,,20024635,,,,history,32.0,3249452375.0,fasta,,23653856,1434467814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 15:17:02.237008,64927.0,6.0
,,2015-06-16 15:13:41.241901,slurm_normal,1434467666.0,1,,1.0,main_w1_handler2,2344776,9665002,False,,39175,vcf,3974420.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",1,20024723.0,,20024635,,,,history,32.0,3249452375.0,fasta,,23653856,1434467647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 15:14:28.817634,64927.0,19.0
,,2015-07-12 14:29:01.324584,slurm_normal,1436711395.0,0,,1.0,main_w1_handler2,2371050,9843437,False,,138337382,vcf,4139382.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20317103.0,,hg19,,,,cached,32.0,,,,24105916,1436711360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-12 14:29:57.255533,64131.0,35.0
,,2015-07-11 15:14:37.971270,slurm_normal,1436627702.0,1,,1.0,main_w1_handler2,2372581,9839912,False,,158067315,vcf,4136420.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20311833.0,,hg19,,,,cached,32.0,,,,24098513,1436627697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-11 15:15:03.946990,,5.0
,,2015-10-25 06:03:15.006767,slurm_normal,1445753300.0,0,,1.0,main_w2_handler0,2483804,10721192,False,,1768244,vcf,4983055.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,21729359.0,,hg19,,,,cached,32.0,,,,25875990,1445753295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-10-25 06:08:23.378674,71522.0,5.0
,,2015-07-20 23:30:30.569321,slurm_normal,1437435085.0,0,,1.0,main_w1_handler0,2383201,9922041,False,,167605515,vcf,4209768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20442046.0,,hg19,,,,cached,32.0,,,,24097065,1437435049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-20 23:31:28.652361,65983.0,36.0
,,2015-10-25 06:57:07.881979,slurm_normal,1445756246.0,0,,1.0,main_w2_handler0,2483804,10722163,False,,1768244,vcf,4983791.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,21729359.0,,hg19,,,,cached,32.0,,,,25875990,1445756241.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-10-25 06:57:28.844952,71522.0,5.0
,,2015-07-24 22:33:42.713137,slurm_normal,1437777254.0,0,,1.0,main_w1_handler0,2388951,9973307,False,,896896,vcf,4257081.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20526559.0,,hg19,,,,cached,32.0,,,,24282885,1437777249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-24 22:34:21.491145,66780.0,5.0
,,2015-07-24 23:48:34.419777,slurm_normal,1437781738.0,1,,1.0,main_w1_handler0,2388791,9974199,False,,440766,vcf,4258065.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20526927.0,,Araly1,,,,cached,32.0,,,,24006977,1437781734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-24 23:49:00.915329,65663.0,4.0
,,2015-07-25 07:35:26.916882,slurm_normal,1437809751.0,0,,1.0,main_w1_handler1,2388879,9977242,False,,286332,vcf,4261132.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20527332.0,,hg19,,,,cached,32.0,,,,24274153,1437809746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-25 07:35:53.436000,66285.0,5.0
