chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,first_input,first_input_filetype,galaxy_slots,handler,history_id,id,imported,info,input_files_0|additional_input,input_files_0|additional_input_filetype,input_files_10|additional_input,input_files_10|additional_input_filetype,input_files_11|additional_input,input_files_11|additional_input_filetype,input_files_12|additional_input,input_files_12|additional_input_filetype,input_files_13|additional_input,input_files_13|additional_input_filetype,input_files_14|additional_input,input_files_14|additional_input_filetype,input_files_15|additional_input,input_files_15|additional_input_filetype,input_files_16|additional_input,input_files_16|additional_input_filetype,input_files_17|additional_input,input_files_17|additional_input_filetype,input_files_18|additional_input,input_files_18|additional_input_filetype,input_files_19|additional_input,input_files_19|additional_input_filetype,input_files_1|additional_input,input_files_1|additional_input_filetype,input_files_2|additional_input,input_files_2|additional_input_filetype,input_files_3|additional_input,input_files_3|additional_input_filetype,input_files_4|additional_input,input_files_4|additional_input_filetype,input_files_5|additional_input,input_files_5|additional_input_filetype,input_files_6|additional_input,input_files_6|additional_input_filetype,input_files_7|additional_input,input_files_7|additional_input_filetype,input_files_8|additional_input,input_files_8|additional_input_filetype,input_files_9|additional_input,input_files_9|additional_input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotation.__current_case__,parameters.annotation.ignore_nonoverlapping_reference,parameters.annotation.reference_annotation,parameters.annotation.reference_annotation.values,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.first_input,parameters.first_input.values,parameters.first_input|__identifier__,parameters.input_files,parameters.input_files_0|additional_input|__identifier__,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index,parameters.seq_data.seq_source.index.__class__,parameters.seq_data.seq_source.index.value,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file,parameters.seq_data.seq_source.ref_file.values,parameters.seq_data.use_seq_data,processor_count,ref_file,ref_file_filetype,reference_annotation,reference_annotation_filetype,runner_name,seq_data|ref_file,seq_data|ref_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-28 16:50:36.928432,slurm_normal,1430239938.0,0,2646953,gtf,1.0,main_w2_handler1,2286054,9352956,False,,2662451.0,gtf,,,,,,,,,,,,,,,,,,,,,2654360.0,gtf,2661643.0,gtf,,,,,,,,,,,,,,,3689989.roundup,slurm,,132112168.0,corral-repl,,,0,False,19495764.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19497010,,,"[{""__index__"": 0, ""additional_input"": 19496996}, {""__index__"": 1, ""additional_input"": 19496987}, {""__index__"": 2, ""additional_input"": 19496982}]",,1,1.0,,,,history,19495758.0,,Yes,32.0,9233088.0,fasta,518459.0,gtf,,,,22758332.0,1430239888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-28 16:52:47.768817,48100.0,50.0
,,2015-04-28 17:03:32.633509,slurm_normal,1430240655.0,0,2646939,gtf,1.0,main_w2_handler0,2286054,9353051,False,,2662451.0,gtf,,,,,,,,,,,,,,,,,,,,,2654360.0,gtf,2661643.0,gtf,,,,,,,,,,,,,,,3690099.roundup,slurm,,16334408.0,corral-repl,,,0,False,19495764.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19497273,,,"[{""__index__"": 0, ""additional_input"": 19497265}, {""__index__"": 1, ""additional_input"": 19497257}, {""__index__"": 2, ""additional_input"": 19497250}]",,1,1.0,,,,history,19495758.0,,Yes,2.0,9233088.0,fasta,518459.0,gtf,,,,22758332.0,1430240644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-28 17:04:43.129542,48100.0,11.0
,,2015-04-28 11:00:35.055766,slurm_normal,1430276161.0,0,63737729,gtf,1.0,main_w1_handler0,2285804,9349298,False,,63640770.0,gtf,,,,,,,,,,,,,,,,,,,,,63527099.0,gtf,,,,,,,,,,,,,,,,,3694011.roundup,slurm,,132112168.0,corral-repl,,"""83d64d1ced9511e4be18005056a51846""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19492204,,,"[{""__index__"": 0, ""additional_input"": 19492208}, {""__index__"": 1, ""additional_input"": 19492212}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,20747631.0,1430276045.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-29 02:56:06.636199,47982.0,116.0
1109196.0,len,2015-05-03 22:37:39.678634,slurm_normal,1430692751.0,0,81443196,gtf,1.0,main_w2_handler1,2139787,9384240,False,,81435907.0,gtf,,,,,,,,,,,,,,,,,,,,,81359453.0,gtf,81411719.0,gtf,,,,,,,,,,,,,,,3718241.roundup,slurm,,132112168.0,corral-repl,,,0,False,18024126.0,,Yes,"""/galaxy-repl/main/files/010/028/dataset_10028256.dat""","""?""",19550459,,,"[{""__index__"": 0, ""additional_input"": 19550463}, {""__index__"": 1, ""additional_input"": 19550467}, {""__index__"": 2, ""additional_input"": 19550474}]",,1,1.0,,,,history,18031900.0,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,22847802.0,1430692679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-05-03 22:39:15.704641,56900.0,72.0
1109196.0,len,2015-05-16 23:13:16.690413,slurm_normal,1431818072.0,0,45308361,gtf,1.0,main_w2_handler0,2139787,9484614,False,,41102552.0,gtf,,,,,,,,,,,,,,,,,,,,,46064128.0,gtf,46442546.0,gtf,,,,,,,,,,,,,,,3808348.roundup,slurm,,132112168.0,corral-repl,,,0,False,18024126.0,,Yes,"""/galaxy-repl/main/files/010/028/dataset_10028256.dat""","""?""",19551912,,,"[{""__index__"": 0, ""additional_input"": 19551908}, {""__index__"": 1, ""additional_input"": 19551903}, {""__index__"": 2, ""additional_input"": 19551896}]",,1,1.0,,,,history,18031900.0,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,23130727.0,1431818026.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-05-16 23:14:37.774821,56900.0,46.0
,,2015-06-26 19:06:05.189452,slurm_normal,1435347601.0,0,70729598,gtf,1.0,main_w1_handler2,2355864,9746087,False,,70742041.0,gtf,,,,,,,,,,,,,,,,,,,,,70738182.0,gtf,,,,,,,,,,,,,,,,,4048533,slurm,,132112168.0,corral-repl,,"""4cc75f261c3611e58467005056a51846""",0,False,20154708.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20155394,,,"[{""__index__"": 0, ""additional_input"": 20155398}, {""__index__"": 1, ""additional_input"": 20155402}]",,0,,,,,,,,No,32.0,,,92441739.0,gtf,,,,23853173.0,1435347558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-06-26 19:40:07.548827,65209.0,43.0
,,2015-05-23 08:46:28.384052,slurm_normal,1432370875.0,0,81713103,gtf,1.0,main_w1_handler1,2151964,9523708,False,,81673508.0,gtf,,,,,,,,,,,,,,,,,,,,,81535036.0,gtf,81553609.0,gtf,,,,,,,,,,,,,,,3842242.roundup,slurm,,132112168.0,corral-repl,,,0,False,18059536.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19402907,,,"[{""__index__"": 0, ""additional_input"": 19402919}, {""__index__"": 1, ""additional_input"": 19402926}, {""__index__"": 2, ""additional_input"": 19402934}]",,1,1.0,,,,history,19402986.0,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,23138816.0,1432370804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-05-23 08:47:58.830048,56900.0,71.0
,,2015-07-13 02:20:52.260286,slurm_normal,1436754150.0,0,70914000,gtf,1.0,main_w1_handler1,2355864,9848474,False,,70868082.0,gtf,,,,,,,,,,,,,,,,,,,,,70955745.0,gtf,70975269.0,gtf,70992958.0,gtf,70903286.0,gtf,70892272.0,gtf,70903787.0,gtf,,,,,,,4143059.roundup,slurm,,132112168.0,corral-repl,,"""c252a54e290511e5bd16005056a52a46""",0,False,20181445.0,,Yes,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20327336,,,"[{""__index__"": 0, ""additional_input"": 20327326}, {""__index__"": 1, ""additional_input"": 20327355}, {""__index__"": 2, ""additional_input"": 20327367}, {""__index__"": 3, ""additional_input"": 20327376}, {""__index__"": 4, ""additional_input"": 20281915}, {""__index__"": 5, ""additional_input"": 20281974}, {""__index__"": 6, ""additional_input"": 20294748}]",,0,,,,,,,,No,32.0,,,92441739.0,gtf,,,,23853173.0,1436754099.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-07-13 02:22:35.287196,65209.0,51.0
,,2015-08-25 13:57:12.835754,slurm_normal,1440511273.0,0,50308268,gtf,1.0,main_w1_handler2,2180257,10196467,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4466962.roundup,slurm,,132112168.0,corral-repl,,,0,True,18475776.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20893212,,,[],,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,24759596.0,1440511057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-08-25 14:01:19.532878,57467.0,216.0
,,2015-09-02 15:44:36.754909,slurm_normal,1441208781.0,0,52407105,gtf,1.0,main_w2_handler1,2180257,10245531,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529973.roundup,slurm,,132112168.0,corral-repl,,,0,True,18475776.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20987206,,,[],,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,24759596.0,1441208743.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-09-02 15:46:30.286875,57467.0,38.0
,,2015-09-02 15:41:12.978693,slurm_normal,1441208574.0,0,49072546,gtf,1.0,main_w2_handler0,2180257,10245478,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529926.roundup,slurm,,132112168.0,corral-repl,,,0,True,18475776.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20987173,,,[],,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,24759596.0,1441208498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-09-02 15:45:43.515164,57467.0,76.0
,,2015-09-02 17:46:32.393332,slurm_normal,1441216136.0,0,52407105,gtf,1.0,main_w1_handler2,2180257,10246340,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531227.roundup,slurm,,132112168.0,corral-repl,,,0,True,18475776.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20988311,,,[],,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,24759596.0,1441216026.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-09-02 17:49:03.735894,57467.0,110.0
,,2015-09-02 17:45:57.786117,slurm_normal,1441216119.0,0,49072573,gtf,1.0,main_w2_handler1,2180257,10246332,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531220.roundup,slurm,,132112168.0,corral-repl,,,0,True,18475776.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20988303,,,[],,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,24759596.0,1441215986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-09-02 17:48:45.037418,57467.0,133.0
,,2015-10-01 14:02:06.437321,slurm_normal,1443831223.0,0,90500773,gtf,1.0,main_w1_handler2,2457745,10480688,False,,90506592.0,gtf,,,,,,,,,,,,,,,,,,,,,90507688.0,gtf,90515633.0,gtf,90495400.0,gtf,90500507.0,gtf,,,,,,,,,,,4769067.roundup,slurm,,132112168.0,corral-repl,,"""bdc30c02684411e58e2c005056a52a46""",0,False,21255785.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21360269,,,"[{""__index__"": 0, ""additional_input"": 21360286}, {""__index__"": 1, ""additional_input"": 21360304}, {""__index__"": 2, ""additional_input"": 21360316}, {""__index__"": 3, ""additional_input"": 21360330}, {""__index__"": 4, ""additional_input"": 21360340}]",,0,,,,,,,,No,32.0,,,116963244.0,gtf,,,,25308957.0,1443831168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-10-03 00:13:50.002966,52910.0,55.0
,,2015-10-02 17:57:39.334059,slurm_normal,1443840886.0,0,90500773,gtf,1.0,main_w2_handler0,2459129,10491419,False,,90506592.0,gtf,,,,,,,,,,,,,,,,,,,,,90507688.0,gtf,90515633.0,gtf,90495400.0,gtf,90500507.0,gtf,,,,,,,,,,,4769622.roundup,slurm,,132112168.0,corral-repl,,"""d9f5a368692e11e58208005056a52a46""",0,False,21255785.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21376960,,,"[{""__index__"": 0, ""additional_input"": 21376965}, {""__index__"": 1, ""additional_input"": 21376972}, {""__index__"": 2, ""additional_input"": 21376976}, {""__index__"": 3, ""additional_input"": 21376980}, {""__index__"": 4, ""additional_input"": 21376984}]",,0,,,,,,,,No,32.0,,,116963244.0,gtf,,,,25308957.0,1443840826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-10-03 02:54:51.518617,52910.0,60.0
,,2015-12-11 03:00:05.341034,slurm_normal,1449802885.0,0,55145904,gtf,1.0,main_w1_handler0,2197761,11146546,False,,53919340.0,gtf,,,,,,,,,,,,,,,,,,,,,49364077.0,gtf,49586171.0,gtf,,,,,,,,,,,,,,,5416845.roundup,slurm,,132112168.0,corral-repl,,,0,False,18476905.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22391472,,,"[{""__index__"": 0, ""additional_input"": 22391495}, {""__index__"": 1, ""additional_input"": 22391557}, {""__index__"": 2, ""additional_input"": 22391578}]",,1,1.0,,,,history,18476177.0,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,26741110.0,1449802830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-12-11 03:01:28.596710,56900.0,55.0
,,2015-11-21 14:18:29.700713,slurm_normal,1448115597.0,0,62996325,gtf,1.0,main_w1_handler2,2514612,10977031,False,,62996422.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238455.roundup,slurm,,132112168.0,corral-repl,,,0,False,22112620.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",22112660,,,"[{""__index__"": 0, ""additional_input"": 22112644}]",,1,0.0,mm9,,,cached,,,Yes,32.0,,,84207474.0,gtf,,,,26381043.0,1448115529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-11-21 14:20:00.681037,25931.0,68.0
,,2015-11-24 19:06:42.835725,slurm_normal,1448392051.0,0,981210,gtf,1.0,main_w1_handler1,2492753,10998131,False,,981480.0,gtf,,,,,,,,,,,,,,,,,,,,,981136.0,gtf,980910.0,gtf,,,,,,,,,,,,,,,5257354.roundup,slurm,,132112168.0,corral-repl,,,0,False,21999274.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22099440,,,"[{""__index__"": 0, ""additional_input"": 22144246}, {""__index__"": 1, ""additional_input"": 22144308}, {""__index__"": 2, ""additional_input"": 22145923}]",,0,,,,,,,,No,32.0,,,1157121.0,gff3,,,,26242201.0,1448392030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-11-24 19:07:38.136524,50372.0,21.0
,,2015-11-24 18:35:18.644364,slurm_normal,1448390153.0,0,981210,gtf,1.0,main_w2_handler1,2492753,10997901,False,,981480.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5257104.roundup,slurm,,132112168.0,corral-repl,,,1,,,,No,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22099440,,,"[{""__index__"": 0, ""additional_input"": 22144246}]",,0,,,,,,,,No,32.0,,,,,,,,26242201.0,1448390147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-11-24 18:36:00.158151,50372.0,6.0
