create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.detail,parameters.inputA.values,parameters.inputB.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-21 17:40:48.970776,slurm_normal,1477071666.0,0,1.0,main_w4_handler1,2863925,14143080,False,,1611896,bed,1697402,bed,8356292.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54623760a56c62562'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5533b8d460e4e1db3'}]",32.0,,33845406,1477071663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 17:41:09.709488,,3.0
2016-10-21 18:22:30.136853,slurm_normal,1477074163.0,0,1.0,main_w4_handler1,2863925,14143200,False,,15833,bed,1697402,bed,8356430.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5229e0b347a32f01a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5533b8d460e4e1db3'}]",32.0,,33845406,1477074159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 18:22:46.575402,,4.0
2016-10-21 18:19:43.476593,slurm_normal,1477074005.0,0,1.0,main_w3_handler1,2863925,14143194,False,,9971,bed,1697402,bed,8356424.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b47a4db133d7b18e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5533b8d460e4e1db3'}]",32.0,,33845406,1477074002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 18:20:07.508862,,3.0
2016-10-21 18:19:31.111288,slurm_normal,1477073993.0,0,1.0,main_w4_handler0,2863925,14143193,False,,15833,bed,1697402,bed,8356422.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5229e0b347a32f01a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5533b8d460e4e1db3'}]",32.0,,33845406,1477073989.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 18:19:54.500841,,4.0
2016-10-21 18:26:23.801323,slurm_normal,1477074406.0,0,1.0,main_w4_handler0,2863925,14143228,False,,16573,bed,1603838,bed,8356449.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eac55fc18beccfb9'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5437bb4ff361275d6'}]",32.0,,33845406,1477074401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 18:26:47.764016,,5.0
2016-10-21 19:04:05.569912,slurm_normal,1477076665.0,0,1.0,main_w3_handler1,2863925,14143451,False,,5997,bed,1033432,bed,8356660.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5091a389d4c8ee02a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5839ed83f14153ace'}]",32.0,,33845406,1477076662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 19:04:27.050849,,3.0
2016-10-21 19:10:30.541742,slurm_normal,1477077042.0,0,1.0,main_w4_handler1,2863925,14143477,False,,5997,bed,1033432,bed,8356684.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5293fd3fa612c8a03'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5839ed83f14153ace'}]",32.0,,33845406,1477077039.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 19:10:45.401316,,3.0
2016-10-21 19:39:15.793945,slurm_normal,1477078812.0,0,1.0,main_w3_handler1,2864048,14143618,False,,1278006,bed,1209450,bed,8356827.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b544f9d37426f79f70'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54689a15fc03dbfcd'}]",32.0,,33845406,1477078808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 19:40:13.295872,,4.0
2017-01-11 03:24:06.519758,slurm_normal,1484105055.0,0,1.0,main_w3_handler1,2952044,14736622,False,,232626,bed,232626,bed,8901848.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 27885974}]","[{'src': 'hda', 'id': 27885974}]",32.0,,35294613,1484105050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2017-01-11 03:24:18.031231,97882.0,5.0
2016-10-24 22:18:10.255123,slurm_normal,1477347507.0,0,1.0,main_w3_handler1,2867450,14162818,False,,214051,bed,1209450,bed,8375221.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c9c621fab6b26d9f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bfddf9a40ece4b4b'}]",32.0,,33845406,1477347503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-24 22:18:30.623363,,4.0
