chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file_list|__identifier__,parameters.file|__identifier__,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-30 18:39:02.073805,slurm_normal,1496170986.0,0,,,,,,1.0,main_w4_handler0,3133286,15972142,False,,10068973.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1977926,,,accession_number,"""fastqsanger""",32.0,,38316087.0,1496170963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 00:00:28.171553,,23.0
,,2017-05-30 19:13:40.534607,slurm_normal,1496172072.0,0,,,,,,1.0,main_w4_handler1,3109904,15972434,False,,10069164.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR5139793,,,accession_number,"""fastqsanger.gz""",32.0,,37953612.0,1496171733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 19:25:07.485690,,339.0
,,2017-05-30 21:25:16.255589,slurm_normal,1496179539.0,0,11534366.0,sra,,,,1.0,main_w3_handler1,3133496,15973451,False,,10069596.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29824887}]",,file,"""fastqsanger.gz""",32.0,,37817291.0,1496179526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 21:25:40.761508,89436.0,13.0
,,2017-05-30 21:19:58.150516,slurm_normal,1496179439.0,0,,,,,,1.0,main_w3_handler1,3133428,15973412,False,,10069580.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR5616342,,,accession_number,"""fastqsanger.gz""",32.0,,38318014.0,1496179209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 21:24:02.966581,,230.0
,,2017-05-30 22:57:58.229657,slurm_normal,1496185350.0,0,,,,,,1.0,main_w3_handler0,3109904,15973951,False,,10069792.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR5139786,,,accession_number,"""fastqsanger.gz""",32.0,,37953612.0,1496185092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 23:02:33.707628,,258.0
,,2017-05-31 01:03:19.789828,slurm_normal,1496192873.0,0,,,,,,1.0,main_w3_handler1,3132873,15974365,False,,10070015.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR5616342,,,accession_number,"""fastqsanger.gz""",32.0,,38307993.0,1496192619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 01:07:56.067199,,254.0
,,2017-05-31 03:40:01.091263,slurm_normal,1496202088.0,0,,,,,,1.0,main_w3_handler1,3133831,15974824,False,,10070272.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1801372,,,accession_number,"""fastqsanger.gz""",32.0,,38328363.0,1496202024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 03:41:29.894263,106898.0,64.0
,,2017-05-29 12:24:48.673241,slurm_normal,1496170073.0,0,,,110.0,txt,,1.0,main_w4_handler0,3004597,15960352,False,,10057462.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,2,,,"[{'src': 'hda', 'id': 29805252}]",file_list,"""fastqsanger.gz""",32.0,,38183997.0,1496060702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 04:40:08.989383,100624.0,109371.0
,,2017-05-31 09:00:58.399102,slurm_normal,1496221526.0,0,3868554822.0,sra,,,,1.0,main_w3_handler0,3124786,15976273,False,,10072242.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29829098}]",,file,"""fastqsanger.gz""",32.0,,38179787.0,1496221268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-31 09:05:28.287699,106520.0,258.0
,,2017-06-20 00:15:14.516906,slurm_normal,1497917740.0,0,,,,,,1.0,main_w3_handler0,3164077,16137779,False,,10217614.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527565,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497917728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 00:15:43.295290,31580.0,12.0
