chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-21 20:44:56.186305,slurm_normal,1442868386.0,0.0,1.0,main_w1_handler0,2446664,10376355,False,,5918721,fasta,4657396.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21198544,,32.0,,25240859,1442868341.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-09-21 20:46:31.822708,69572.0,45.0
,,2015-09-03 12:00:47.689913,slurm_normal,1441281693.0,0.0,1.0,main_w1_handler2,2427220,10250452,False,,12390365,fasta,4538257.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",20995457,,32.0,,24997560,1441281671.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-09-03 12:01:36.381220,,22.0
,,2015-09-10 08:18:41.865804,slurm_normal,1441873145.0,0.0,1.0,main_w1_handler0,2433579,10292316,False,,2193,fasta,4577571.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21067057,,32.0,,25103483,1441873140.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-09-10 08:19:07.446244,38468.0,5.0
,,2017-05-09 13:56:04.502966,slurm_normal,1494338294.0,0.0,1.0,main_w3_handler1,3103919,15793992,False,,84645123,fasta,9899585.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29536774}]",32.0,,37851787,1494338170.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2017-05-09 13:58:20.251171,,124.0
,,2015-10-08 10:50:02.095646,slurm_normal,1444302319.0,0.0,1.0,main_w1_handler1,2464557,10527026,False,,498893572,fasta,4801482.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21440118,,32.0,,25565261,1444301420.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-10-08 11:05:51.665774,70417.0,899.0
,,2015-10-15 20:41:25.385526,slurm_normal,1444941801.0,0.0,1.0,main_w1_handler0,2469920,10588368,False,,4687520,fasta,4858025.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21543676,,32.0,,25665297,1444941729.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-10-15 20:43:27.780188,71132.0,72.0
,,2015-10-16 11:27:01.104287,slurm_normal,1444994840.0,0.0,1.0,main_w2_handler1,2465633,10596600,False,,3637,fasta,4864735.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21556312,,32.0,,25588211,1444994834.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-10-16 11:27:24.872346,,6.0
,,2015-10-16 11:29:42.650418,slurm_normal,1444995002.0,0.0,1.0,main_w2_handler0,2465633,10596610,False,,3637,fasta,4864769.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21556312,,32.0,,25588211,1444994992.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-10-16 11:30:08.272429,,10.0
,,2015-10-30 18:51:55.845832,slurm_normal,1446234583.0,0.0,1.0,main_w2_handler1,2490257,10775934,False,,2945442200,fasta,5034159.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/nemVec1.len""","""nemVec1""",21815578,,32.0,,25869923,1446231132.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-10-30 19:52:56.456416,70414.0,3451.0
,,2015-11-02 07:34:25.069176,slurm_normal,1446449718.0,0.0,1.0,main_w1_handler1,2492236,10792162,False,,37825299,fasta,5048045.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21838861,,32.0,,26028038,1446449672.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-11-02 07:35:20.765365,72440.0,46.0
