create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_database,input_database_filetype,input_motifs,input_motifs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,options_type|bgfile,options_type|bgfile_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_type.__current_case__,parameters.fasta_type.fasta_type_selector,parameters.fasta_type.input_database,parameters.fasta_type.input_database.values,parameters.input_motifs.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.alpha,parameters.options_type.bgfile_type.__current_case__,parameters.options_type.bgfile_type.bgfile.values,parameters.options_type.bgfile_type.bgfile_type_selector,parameters.options_type.max_stored_scores,parameters.options_type.max_strand,parameters.options_type.motif_pseudo,parameters.options_type.motifs_cond.__current_case__,parameters.options_type.motifs_cond.motifs_selector,parameters.options_type.no_qvalue,parameters.options_type.norc,parameters.options_type.options_type_selector,parameters.options_type.output_separate_motifs,parameters.options_type.parse_genomic_coord_cond.__current_case__,parameters.options_type.parse_genomic_coord_cond.parse_genomic_coord,parameters.options_type.parse_genomic_coord_cond.remove_duplicate_coords,parameters.options_type.prior_dist_cond.__current_case__,parameters.options_type.prior_dist_cond.prior_dist_selector,parameters.options_type.psp_cond.__current_case__,parameters.options_type.psp_cond.psp_selector,parameters.options_type.qv_thresh,parameters.options_type.thresh,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-13 15:56:00.054848,slurm_normal,1473782207.0,0,1.0,main_w3_handler1,2217144,13842875,False,,1140130.0,fasta,1606,memexml,8065615.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca9dfa725c4ae302'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,true,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,1.0,32.0,,32849584,1473782182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-13 15:56:57.624212,59767.0,25.0
2016-09-13 16:11:41.761245,slurm_normal,1473783144.0,0,1.0,main_w4_handler0,2217144,13843039,False,,1140130.0,fasta,1606,memexml,8065764.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca9dfa725c4ae302'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,true,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.99,32.0,,32849584,1473783119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-13 16:12:27.693425,59767.0,25.0
2016-09-14 07:32:08.719275,slurm_normal,1473838365.0,0,1.0,main_w3_handler1,2217144,13847066,False,,1140130.0,fasta,1606,memexml,8070144.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca9dfa725c4ae302'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,true,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.9,32.0,,32952251,1473838347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-14 07:32:47.900927,59767.0,18.0
2017-03-19 17:35:46.817447,slurm_normal,1489944960.0,0,1.0,main_w4_handler0,2998468,15336991,False,,57111.0,fasta,110094,memexml,9476919.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 28814467}]","[{'src': 'hda', 'id': 28827203}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,35698865,1489944952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2017-03-19 17:36:04.117001,99128.0,8.0
2016-07-10 16:10:59.159792,slurm_normal,1468167095.0,0,1.0,main_w2_handler0,2217144,13370390,False,,29085.0,fasta,1603,memexml,7580756.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54eadff20c750b453'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5619432e5a4bf01'}]","""true""",1,1.0,0.0,,motif_file,100000,false,0.1,0.0,yes,true,true,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.001,32.0,,30318979,1468167092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-10 16:11:37.779137,59767.0,3.0
2016-07-10 15:55:51.404224,slurm_normal,1468166193.0,0,1.0,main_w1_handler1,2217144,13370345,False,,29085.0,fasta,1603,memexml,7580700.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54eadff20c750b453'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5619432e5a4bf01'}]","""true""",1,1.0,0.0,,motif_file,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.001,32.0,,30318979,1468166189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-10 15:56:36.141577,59767.0,4.0
2016-07-12 08:32:04.329186,slurm_normal,1468312365.0,0,1.0,main_w1_handler0,2763776,13383192,False,,7477197.0,fasta,1936,memexml,7594608.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56828386895ae4c7b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b511f2fe271a2530f6'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,31414015,1468312354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-12 08:32:48.331557,,11.0
2016-10-18 15:31:35.307318,slurm_normal,1476805560.0,0,1.0,main_w3_handler0,2778243,14110007,False,,698218.0,fasta,709472,memexml,8323938.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b513e83a5e6cce5bb5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eaf02511ee6f4377'}]","""true""",1,1.0,1.0,,default,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.0001,32.0,,31780600,1476804762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-10-18 15:46:05.529272,,798.0
2016-07-14 15:55:15.337392,slurm_normal,1468511792.0,0,1.0,main_w1_handler0,2217144,13411503,False,,29085.0,fasta,512,memexml,7623431.roundup,slurm,,132112168.0,corral-repl,45.0,memexml,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54eadff20c750b453'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fdd378b07637f81e'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cfeeb01b11c8af7'}]",bgfile,100000,false,0.1,0.0,yes,true,true,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.001,32.0,,30318979,1468511787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-14 15:56:44.201481,59767.0,5.0
2016-07-14 16:23:39.274615,slurm_normal,1468513452.0,0,1.0,main_w1_handler1,2217144,13411734,False,,29085.0,fasta,657,memexml,7623653.roundup,slurm,,132112168.0,corral-repl,45.0,memexml,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54eadff20c750b453'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54f621055d4e45ad8'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cfeeb01b11c8af7'}]",bgfile,100000,false,0.1,0.0,yes,true,true,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.001,32.0,,30318979,1468513449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-14 16:24:16.846680,59767.0,3.0
2016-07-15 19:30:51.195422,slurm_normal,1468611293.0,0,1.0,main_w1_handler0,2746302,13421451,False,,626461.0,fasta,529452,memexml,7633476.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574d01d1c3a5a3a64'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468611075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-15 19:35:17.345118,7078.0,218.0
2016-07-15 19:31:04.175242,slurm_normal,1468611369.0,0,1.0,main_w1_handler1,2746302,13421452,False,,711951.0,fasta,529452,memexml,7633477.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51739cf29ba0488c2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468611089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-15 19:36:31.888490,7078.0,280.0
2016-07-15 19:50:34.205706,slurm_normal,1468770705.0,0,1.0,main_w2_handler1,2746302,13421531,False,,181868.0,fasta,529452,memexml,7635912.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54befc7159feebc73'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468770577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:51:55.050276,7078.0,128.0
2016-07-15 19:50:00.104215,slurm_normal,1468771003.0,0,1.0,main_w2_handler1,2746302,13421529,False,,138208.0,fasta,529452,memexml,7635902.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b537533be4fe84c34a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468770550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:56:58.629778,7078.0,453.0
2016-07-15 19:49:46.622183,slurm_normal,1468771066.0,0,1.0,main_w2_handler0,2746302,13421528,False,,209288.0,fasta,529452,memexml,7636076.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57e3fc61de1854e66'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468770948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:58:01.085889,7078.0,118.0
2016-07-15 19:50:20.781902,slurm_normal,1468771068.0,0,1.0,main_w1_handler1,2746302,13421530,False,,160038.0,fasta,529452,memexml,7636059.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b58c447f42a71898'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468770914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:58:31.268243,7078.0,154.0
2016-07-15 19:49:33.027777,slurm_normal,1468771132.0,0,1.0,main_w2_handler1,2746302,13421526,False,,159048.0,fasta,529452,memexml,7636123.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b522a6b56fde5702cc'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468771066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:59:07.555667,7078.0,66.0
2016-07-15 19:49:20.647066,slurm_normal,1468771208.0,0,1.0,main_w2_handler1,2746302,13421525,False,,159048.0,fasta,529452,memexml,7636122.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b522a6b56fde5702cc'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468771070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 16:00:23.855161,7078.0,138.0
2016-07-15 19:31:25.909829,slurm_normal,1468769757.0,0,1.0,main_w2_handler0,2746302,13421453,False,,536780.0,fasta,529452,memexml,7635315.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5db2d2d37327b16d6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468769200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:37:46.871848,7078.0,557.0
2016-07-15 19:32:08.773080,slurm_normal,1468769932.0,0,1.0,main_w2_handler0,2746302,13421457,False,,627675.0,fasta,529452,memexml,7635318.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca3342ebe18932e7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468769200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:40:31.174122,7078.0,732.0
2016-07-15 19:31:47.281882,slurm_normal,1468769830.0,0,1.0,main_w2_handler1,2746302,13421454,False,,621620.0,fasta,529452,memexml,7635311.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b511eddc0c7479e9e1'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468769194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:38:58.061595,7078.0,636.0
2016-07-15 19:30:39.956963,slurm_normal,1468770319.0,0,1.0,main_w2_handler1,2746302,13421450,False,,540971.0,fasta,529452,memexml,7635308.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8c94388abce7fb4'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5be124143ff7f8'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,30142319,1468769191.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-07-17 15:46:09.433918,7078.0,1128.0
