chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.score,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-09-29 14:25:33.927404,slurm_normal,1475159240.0,0.0,,1.0,main_w3_handler1,2837400,13974468,False,,59455099,fasta,8193709.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5606e32e3827eaace'}]","""70""",32.0,,33327899.0,1475159229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:27:23.257111,,11.0
,,2016-09-29 14:24:36.316363,slurm_normal,1475159242.0,0.0,,1.0,main_w4_handler0,2837405,13974441,False,,59455099,fasta,8193694.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a351d0b1a40c93be'}]","""30""",32.0,,33327990.0,1475159183.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:27:28.239780,,59.0
,,2016-09-29 14:26:14.660096,slurm_normal,1475159280.0,0.0,,1.0,main_w3_handler0,2837401,13974481,False,,59455099,fasta,8193718.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b362fcaf8f4017d4'}]","""45""",32.0,,33327935.0,1475159269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:28:06.577460,,11.0
,,2016-09-29 14:37:16.889247,slurm_normal,1475159948.0,0.0,,1.0,main_w4_handler1,2837426,13974617,False,,59455099,fasta,8193894.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51eb03069cd8885a4'}]","""17""",32.0,,33328346.0,1475159921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:39:12.038819,,27.0
,,2016-09-29 15:16:10.069613,slurm_normal,1475162393.0,0.0,,1.0,main_w4_handler1,2837433,13975082,False,,32537678,fasta,8194483.roundup,slurm,,132112168.0,corral-repl,,"""a34f99a8865711e68e08005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe389ecc4ad44a2c'}]","""20""",32.0,,33332806.0,1475162363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:20:03.642814,91216.0,30.0
,,2016-09-29 15:21:38.975152,slurm_normal,1475162680.0,0.0,,1.0,main_w4_handler0,2837611,13975156,False,,30862428,fasta,8194544.roundup,slurm,,132112168.0,corral-repl,,"""66fc9ac2865811e692f0005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5234440090d3ce598'}]","""17""",32.0,,33332660.0,1475162663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:24:42.420789,91212.0,17.0
,,2016-09-29 15:37:02.998808,slurm_normal,1475163534.0,0.0,,1.0,main_w3_handler1,2837635,13975314,False,,32537678,fasta,8194694.roundup,slurm,,132112168.0,corral-repl,,"""8e6c5366865a11e6948c005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5aab5813058d0f6d1'}]","""17""",32.0,,33333525.0,1475163474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:38:59.041381,91225.0,60.0
,,2016-10-24 19:34:24.725893,slurm_normal,1477337680.0,0.0,,1.0,main_w3_handler1,2867236,14161344,False,,59455081,fasta,8373723.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5001bf85c32e51590'}]","""170""",32.0,,33878714.0,1477337669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-10-24 19:34:42.298208,,11.0
,,2016-10-25 21:23:09.031228,slurm_normal,1477430605.0,0.0,,1.0,main_w4_handler1,2868810,14173650,False,,59455081,fasta,8386246.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5998a233e55b2f971'}]","""100""",32.0,,33901464.0,1477430593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-10-25 21:23:30.489753,,12.0
,,2016-10-25 21:13:31.494105,slurm_normal,1477430031.0,0.0,,1.0,main_w3_handler1,2864686,14173490,False,,59455081,fasta,8386121.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56eea129f0c035c51'}]","""28""",32.0,,33852921.0,1477430016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-10-25 21:14:00.391958,92800.0,15.0
