create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.intervals,parameters.length,parameters.seed.__current_case__,parameters.seed.seed,parameters.seed.seed_choose,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-29 08:24:41.224248,slurm_normal,1475137552.0,0,1.0,148240832,vcf,main_w4_handler0,2835708,13971798,False,,8191228.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55f199c319b27da88'}]","""1000000""","""100""",1,,False,32.0,,32992190,1475137537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-29 08:25:55.435725,90340.0,15.0
2016-08-24 17:48:21.998888,slurm_normal,1472060925.0,0,1.0,465,gg,main_w3_handler0,2006311,13712942,False,,7929647.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a55f062b172925c1'}]","""1000""","""500""",1,,False,32.0,,31621697,1472060921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-24 17:48:48.268261,42372.0,4.0
2016-09-29 14:19:00.017509,slurm_normal,1475158824.0,0,1.0,376,gg,main_w4_handler1,2834791,13974382,False,,8193601.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58a38d19f79bf812f'}]","""30139""","""2600""",1,,False,32.0,,32957331,1475158810.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-29 14:20:27.616293,58109.0,14.0
2016-10-25 09:30:38.915850,slurm_normal,1477387844.0,0,1.0,2710,bed,main_w3_handler0,2038247,14166032,False,,8378550.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50ac5117cc7f3222e'}]","""250""","""3972282""",1,,False,32.0,,32958211,1477387841.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-25 09:30:47.151179,20918.0,3.0
2016-10-25 10:00:19.981428,slurm_normal,1477389625.0,0,1.0,2710,bed,main_w3_handler0,2038247,14166492,False,,8378987.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50ac5117cc7f3222e'}]","""1000""","""3972282""",1,,False,32.0,,32958211,1477389622.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-25 10:00:26.627746,20918.0,3.0
2016-10-25 11:06:52.236444,slurm_normal,1477393622.0,0,1.0,2710,bed,main_w4_handler0,2038247,14167492,False,,8379941.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50ac5117cc7f3222e'}]","""10000""","""3972282""",1,,False,32.0,,32958211,1477393617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-25 11:07:07.578278,20918.0,5.0
2016-09-05 14:46:53.988999,slurm_normal,1473086830.0,0,1.0,3907867,bed,main_w3_handler0,2638750,13782916,False,,8004471.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b565f69c4b9a722d45'}]","""10000""","""200""",1,,False,32.0,,31310405,1473086826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-05 14:47:12.061438,12752.0,4.0
2016-10-26 22:43:24.712365,slurm_normal,1477521823.0,0,1.0,22051876,bed,main_w4_handler0,2233271,14184490,False,,8397220.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b511944d2b3c81389d'}]","""1000000""","""5000""",1,,False,32.0,,33837577,1477521808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-26 22:43:45.927779,60746.0,15.0
2016-11-03 18:37:00.875051,slurm_normal,1478198265.0,0,1.0,16578,interval,main_w4_handler1,2109762,14244568,False,,8453535.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b531a19408027f6ea6'}]","""100000""","""1000""",1,,False,32.0,,33218153,1478198230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-03 18:37:47.834733,1420.0,35.0
2016-11-03 19:15:35.479199,slurm_normal,1478200549.0,0,1.0,32637,interval,main_w4_handler0,2109762,14244859,False,,8453814.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5858f1d485294cb79'}]","""1000""","""65000""",1,,False,32.0,,33218153,1478200539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-03 19:15:53.413276,1420.0,10.0
2016-11-03 18:39:37.460462,slurm_normal,1478198406.0,0,1.0,30530655,bed,main_w3_handler0,2109762,14244592,False,,8453559.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5adcb9c061ab81cbf'}]","""1000""","""100000""",1,,False,32.0,,33218153,1478198383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-03 18:40:07.833524,1420.0,23.0
2016-10-08 10:31:21.988459,slurm_normal,1475922724.0,0,1.0,23829132,bed,main_w3_handler1,2782429,14035160,False,,8252677.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b63d274eb1f1d657'}]","""1000000""","""1000""",1,,False,32.0,,31904803,1475922709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-08 10:32:06.255511,25804.0,15.0
2016-11-07 03:39:39.752154,slurm_normal,1478489987.0,0,1.0,465,gg,main_w3_handler0,2006311,14268553,False,,8477113.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a55f062b172925c1'}]","""50000""","""1000""",1,,False,32.0,,33855379,1478489983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-07 03:39:49.695736,42372.0,4.0
2016-11-08 21:15:15.463085,slurm_normal,1478640390.0,0,1.0,1559054,interval,main_w4_handler0,2867414,14288699,False,,8496674.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5443a5546fbf1db2e'}]","""100""","""38819""",0,12345,True,32.0,,33897696,1478640316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-08 21:26:39.488947,93020.0,74.0
2016-11-08 20:42:36.685597,slurm_normal,1478639276.0,0,1.0,1559054,interval,main_w4_handler1,2867414,14288553,False,,8496456.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2990cc1f71f7719'}]","""100""","""38819""",1,,False,32.0,,33897696,1478639214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-08 21:08:01.606565,93020.0,62.0
2016-11-08 19:07:48.358107,slurm_normal,1478635961.0,0,1.0,16234,interval,main_w3_handler0,2867414,14287923,False,,8495790.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53a3b3b38bd691f87'}]","""100""","""38819""",1,,False,32.0,,33897696,1478635955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-08 20:12:45.023686,93020.0,6.0
2016-11-17 17:34:03.028412,slurm_normal,1479404179.0,0,1.0,3599689,bed,main_w3_handler1,2739523,14369342,False,,8575003.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57a3b2f783f9d124f'}]","""3260""","""770""",1,,False,32.0,,32940287,1479404049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-11-17 17:36:29.213868,36650.0,130.0
2017-01-16 23:50:58.672247,slurm_normal,1484610692.0,0,1.0,24773516,bed,main_w3_handler1,2911133,14783352,False,,8946002.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27432738}]","""5000""","""247""",1,,False,32.0,,35167253,1484610688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-16 23:51:34.946797,72800.0,4.0
2017-01-17 09:33:48.039456,slurm_normal,1484645640.0,0,1.0,12852918,bed,main_w3_handler1,2652603,14786316,False,,8948826.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27876810}]","""5000""","""247""",1,,False,32.0,,34863871,1484645633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-17 09:34:03.241756,64006.0,7.0
2017-01-17 09:43:23.928195,slurm_normal,1484646213.0,0,1.0,12852918,bed,main_w4_handler0,2652603,14786428,False,,8948893.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27876810}]","""3435""","""609""",1,,False,32.0,,34863871,1484646208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-17 09:43:35.556526,64006.0,5.0
2017-01-17 09:44:16.265747,slurm_normal,1484646266.0,0,1.0,12852918,bed,main_w4_handler0,2652603,14786437,False,,8948906.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27876810}]","""5000""","""897""",1,,False,32.0,,34863871,1484646261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-17 09:44:29.003911,64006.0,5.0
2017-01-17 10:08:25.081205,slurm_normal,1484647712.0,0,1.0,24773516,bed,main_w3_handler0,2911133,14786580,False,,8949102.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27432738}]","""5000""","""247""",0,12345,True,32.0,,35167253,1484647708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-17 10:08:35.898480,72800.0,4.0
2017-01-18 00:21:46.215253,slurm_normal,1484698914.0,0,1.0,365,gg,main_w3_handler1,2840571,14794833,False,,8957509.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27970289}]","""8261""","""1""",1,,False,32.0,,35246820,1484698909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-01-18 00:21:57.095436,48605.0,5.0
2017-03-23 16:16:00.227391,slurm_normal,1490285810.0,0,1.0,1122227,bed,main_w4_handler1,3042712,15377397,False,,9515325.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28895185}]","""560000""","""1""",0,12345,True,32.0,,36609668,1490285787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-03-23 16:17:31.703782,5424.0,23.0
2017-03-23 16:11:56.320414,slurm_normal,1490285699.0,0,1.0,1122227,bed,main_w4_handler1,3042712,15377367,False,,9515278.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28895185}]","""560000""","""2""",0,12345,True,32.0,,36609668,1490285529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-03-23 16:15:07.333494,5424.0,170.0
2016-12-21 15:31:04.918491,slurm_normal,1482334274.0,0,1.0,12058080,bed,main_w4_handler1,2936523,14625677,False,,8802337.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27708984}]","""1000000""","""300""",1,,False,32.0,,35000816,1482334267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-12-21 15:31:16.724403,66683.0,7.0
2017-02-01 05:13:34.058154,slurm_normal,1485926021.0,0,1.0,2009615,bed,main_w3_handler1,2975809,14920297,False,,9076003.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28149500}]","""10000""","""1000""",1,,False,32.0,,35560116,1485926017.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-01 05:13:43.357271,65191.0,4.0
2017-03-29 19:05:30.127314,slurm_normal,1490814443.0,0,1.0,1095499,bed,main_w4_handler0,3044698,15427240,False,,9559273.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28974021}]","""1348""","""400""",1,,False,32.0,,36845353,1490814338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-03-29 19:07:28.655506,,105.0
2017-02-26 14:30:29.227905,slurm_normal,1488119438.0,0,1.0,1079834,bed,main_w3_handler0,3010698,15146985,False,,9299384.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28522519}]","""1119""","""200000""",1,,False,32.0,,35826722,1488119432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-26 14:30:40.859320,65191.0,6.0
2017-02-28 02:55:02.127728,slurm_normal,1488250512.0,0,1.0,7847590,bed,main_w3_handler0,2652459,15161412,False,,9312903.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 24089614}]","""1000000""","""1000000""",1,,False,32.0,,36211348,1488250504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-28 02:55:14.543760,81710.0,8.0
2017-02-28 05:32:33.575517,slurm_normal,1488259960.0,0,1.0,1079834,bed,main_w3_handler0,3008840,15162289,False,,9313749.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28544891}]","""1714""","""1000000""",1,,False,32.0,,35826722,1488259957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-28 05:32:42.019951,65191.0,3.0
2017-02-28 07:15:32.585851,slurm_normal,1488266142.0,0,1.0,7847590,bed,main_w4_handler1,2652459,15162650,False,,9314077.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 24089614}]","""150000""","""515""",1,,False,32.0,,36211348,1488266136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-28 07:15:44.347319,81710.0,6.0
2017-02-28 07:40:41.769038,slurm_normal,1488267652.0,0,1.0,7847590,bed,main_w3_handler1,2652459,15162717,False,,9314162.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 24089614}]","""43270""","""641""",1,,False,32.0,,36211348,1488267645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-28 07:40:54.893121,81710.0,7.0
2017-02-28 07:58:34.717874,slurm_normal,1488268725.0,0,1.0,1403866,bed,main_w4_handler1,2652459,15162784,False,,9314229.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 28545593}]","""112021""","""482""",1,,False,32.0,,36211348,1488268718.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2017-02-28 07:58:47.109003,81710.0,7.0
