create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.aligner,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.phone,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-23 12:55:00.699585,slurm_multi,1516716110.0,0,,6.0,main_w4_handler2,3402118,18131981,False,,7325604192,tabular,12211747,slurm,,132112168.0,corral-repl,,0,no,"""9cc386fc003c11e89ff9005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33460332}]","""true""",32.0,,,1516712612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-23 14:01:52.082206,84316,3498.0
2018-01-25 09:38:04.495354,slurm_multi,1516923473.0,0,,6.0,main_w3_handler2,3404805,18152628,False,,7325604192,tabular,12233865,slurm,,132112168.0,corral-repl,,0,no,"""5857a55201b311e88af4005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33493607}]","""true""",32.0,,,1516875051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-25 23:37:57.528737,84316,48422.0
2018-01-26 06:43:53.860585,slurm_multi,1516949080.0,0,,6.0,main_w4_handler2,3405945,18162065,False,,1021166223,bedgraph,12243567,slurm,,132112168.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 33509062}]","""false""",32.0,,43448927.0,1516949047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-26 06:44:41.701504,120687,33.0
2018-01-26 06:43:14.387649,slurm_multi,1516949043.0,0,,6.0,main_w4_handler2,3405945,18162064,False,,801274899,bedgraph,12243564,slurm,,132111800.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33509282}]","""false""",32.0,,43448927.0,1516949006.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-26 06:44:04.723181,120687,37.0
2018-02-02 02:46:15.243853,slurm_multi,1517544061.0,0,,6.0,main_w4_handler2,3412122,18231559,False,,137031265,tabular,12311783,slurm,,132112168.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 33625068}]","""false""",32.0,,43587560.0,1517544046.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-02 04:01:02.870474,121039,15.0
2018-02-06 11:06:52.903763,slurm_multi,1517915253.0,0,30720.0,6.0,main_w4_handler2,3319449,18268869,False,,104718346,tabular,12350648,slurm,,132111800.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33691396}]","""false""",32.0,,43705994.0,1517915241.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-06 11:07:35.825395,88606,12.0
2018-03-08 09:01:53.864495,slurm_multi,1520588014.0,0,30720.0,6.0,main_w4_handler2,3456467,18653753,False,,8389708768,tabular,12750252,slurm,,132112168.0,corral-repl,,0,no,"""567e0ad822af11e89197005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34288455}]","""true""",32.0,,,1520502357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-09 09:33:37.853370,84316,85657.0
2018-02-08 12:22:31.880961,slurm_multi,1518142350.0,0,30720.0,6.0,main_w4_handler2,3422008,18313269,False,,7325604192,tabular,12397323,slurm,,132112168.0,corral-repl,,0,no,"""b6a712ba0cca11e8b731005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33750581}]","""true""",32.0,,,1518094806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-09 02:12:31.910649,84316,47544.0
2018-02-09 08:47:16.320795,slurm_multi,1518224943.0,0,30720.0,6.0,main_w4_handler2,3423289,18326085,False,,7325604192,tabular,12410546,slurm,,132112168.0,corral-repl,,0,no,"""d0a13c260d7511e880c0005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33769588}]","""true""",32.0,,,1518168472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-10 01:09:06.292679,84316,56471.0
2018-02-14 17:22:58.214230,slurm_multi,1518662572.0,0,30720.0,6.0,main_w4_handler2,3429238,18384946,False,,4452274296,tabular,12470203,slurm,,132112168.0,corral-repl,,0,no,"""af541ef011ab11e8a610005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33857475}]","""true""",32.0,,,1518630352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-15 02:42:55.574336,84316,32220.0
