chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.input1,parameters.input1.values,parameters.minregions,parameters.returntype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-25 06:36:52.741045,slurm_normal,1456382643.0,0,,1.0,main_w2_handler1,2611979,11935746,False,,3125,interval,6165770.roundup,slurm,,132112168.0,corral-repl,,"""1c89e162db8a11e58cec005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""50000""",23507567,,"""1""","""1""",32.0,,27511107.0,1456382639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 06:44:07.556312,32945.0,4.0
,,2016-02-25 06:53:28.833724,slurm_normal,1456383298.0,0,,1.0,main_w1_handler1,2611989,11935919,False,,3125,interval,6165871.roundup,slurm,,132112168.0,corral-repl,,"""6e7267fedb8c11e5a1a9005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""50000""",23507782,,"""1""","""1""",32.0,,27511107.0,1456383295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 06:55:02.328144,32945.0,3.0
,,2016-09-09 04:19:01.609071,slurm_normal,1473394759.0,0,,1.0,main_w3_handler0,2801289,13812872,False,,2346344,interval,8034175.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""100""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598eed21bd903b86c'}]","""1""","""3""",32.0,,32398444.0,1473394753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-09-09 04:19:21.768381,3556.0,6.0
,,2016-02-25 08:58:45.647652,slurm_normal,1456390842.0,0,,1.0,main_w1_handler2,2609270,11937035,False,,610,interval,6167109.roundup,slurm,,132112168.0,corral-repl,,"""f7f6f4f2db9d11e5a3c7005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509290,,"""2""","""3""",32.0,,28606573.0,1456390838.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:00:49.665881,38665.0,4.0
,,2016-02-25 09:18:32.429317,slurm_normal,1456392002.0,0,,1.0,main_w1_handler2,2609270,11937235,False,,2530,interval,6167322.roundup,slurm,,132112168.0,corral-repl,,"""b83e5956dba011e59b5e005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509540,,"""2""","""3""",32.0,,28606573.0,1456391998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:20:05.397478,38665.0,4.0
,,2016-02-25 09:11:23.633336,slurm_normal,1456391578.0,0,,1.0,main_w2_handler1,2609270,11937118,False,,366,interval,6167227.roundup,slurm,,132112168.0,corral-repl,,"""b96b7152db9f11e5acd0005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509418,,"""2""","""3""",32.0,,28606573.0,1456391574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:13:07.078543,38665.0,4.0
,,2016-02-25 09:13:27.280634,slurm_normal,1456392603.0,0,,1.0,main_w1_handler0,2612175,11937178,False,,358090,interval,6167460.roundup,slurm,,132112168.0,corral-repl,,"""02aedf34dba011e5b08b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""",23509481,,"""1""","""1""",32.0,,27861015.0,1456392600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:30:08.259993,2108.0,3.0
,,2016-02-25 09:13:26.321170,slurm_normal,1456392566.0,0,,1.0,main_w2_handler0,2612175,11937177,False,,1539908,interval,6167450.roundup,slurm,,132112168.0,corral-repl,,"""02aedf34dba011e5b08b005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""100""",23509480,,"""2""","""1""",32.0,,27861015.0,1456392560.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:29:29.413180,2108.0,6.0
,,2016-02-25 09:36:54.242768,slurm_normal,1456393100.0,0,,1.0,main_w2_handler0,2609270,11937360,False,,3161,interval,6167557.roundup,slurm,,132112168.0,corral-repl,,"""473bfb84dba311e5b1a9005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509860,,"""2""","""3""",32.0,,28606573.0,1456393096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:38:23.849850,38665.0,4.0
,,2016-02-25 09:16:09.301710,slurm_normal,1456393181.0,0,,1.0,main_w2_handler0,2612175,11937212,False,,1718847,interval,6167577.roundup,slurm,,132112168.0,corral-repl,,"""59fa22a8dba011e5b430005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""100""",23509516,,"""2""","""1""",32.0,,27861015.0,1456393175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:39:45.669889,2108.0,6.0
,,2016-02-25 09:16:10.011433,slurm_normal,1456393269.0,0,,1.0,main_w1_handler1,2612175,11937213,False,,395204,interval,6167597.roundup,slurm,,132112168.0,corral-repl,,"""59fa22a8dba011e5b430005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""",23509517,,"""1""","""1""",32.0,,27861015.0,1456393264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:41:13.682696,2108.0,5.0
,,2016-02-25 09:49:11.274615,slurm_normal,1456393861.0,0,,1.0,main_w1_handler2,2609270,11937434,False,,620,interval,6167687.roundup,slurm,,132112168.0,corral-repl,,"""fc89e8d8dba411e5acd0005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509940,,"""2""","""3""",32.0,,28606573.0,1456393857.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:51:05.911547,38665.0,4.0
,,2016-02-25 09:28:59.516500,slurm_normal,1456392633.0,0,,1.0,main_w1_handler1,2609270,11937321,False,,4257,interval,6167470.roundup,slurm,,132112168.0,corral-repl,,"""2f687092dba211e5b87e005056a51846""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509801,,"""2""","""3""",32.0,,28606573.0,1456392629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:30:36.454925,38665.0,4.0
,,2016-02-25 09:42:28.909787,slurm_normal,1456393477.0,0,,1.0,main_w1_handler0,2609270,11937388,False,,1299,interval,6167628.roundup,slurm,,132112168.0,corral-repl,,"""10c51c6adba411e5a130005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23509895,,"""2""","""3""",32.0,,28606573.0,1456393474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:44:40.688012,38665.0,3.0
,,2016-02-25 10:02:37.523310,slurm_normal,1456394653.0,0,,1.0,main_w2_handler1,2609270,11937619,False,,365,interval,6167827.roundup,slurm,,132112168.0,corral-repl,,"""df8c7618dba611e58cec005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510140,,"""2""","""3""",32.0,,28606573.0,1456394644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:04:21.499864,38665.0,9.0
,,2016-02-25 09:55:05.994917,slurm_normal,1456394277.0,0,,1.0,main_w1_handler1,2609270,11937584,False,,187,interval,6167764.roundup,slurm,,132112168.0,corral-repl,,"""d39d08f0dba511e590a3005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510103,,"""2""","""3""",32.0,,28606573.0,1456394274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 09:58:01.997579,38665.0,3.0
,,2016-02-29 10:15:29.014750,slurm_normal,1456741055.0,0,,1.0,main_w2_handler0,2615313,11965866,False,,1518,interval,6198731.roundup,slurm,,132112168.0,corral-repl,,"""50808d72decd11e5b516005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""100""",23551241,,"""2""","""3""",32.0,,28694377.0,1456741051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-29 10:17:39.399251,38665.0,4.0
,,2016-02-25 10:14:32.600624,slurm_normal,1456395379.0,0,,1.0,main_w2_handler1,2609270,11937685,False,,0,interval,6167941.roundup,slurm,,132112168.0,corral-repl,,"""8c7e3c5cdba811e58a1d005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510220,,"""2""","""3""",32.0,,28606573.0,1456395374.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:16:25.300445,38665.0,5.0
,,2016-02-25 10:21:55.150298,slurm_normal,1456395853.0,0,,1.0,main_w1_handler1,2609270,11937748,False,,275,interval,6168029.roundup,slurm,,132112168.0,corral-repl,,"""95b68f1cdba911e5a3f9005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510297,,"""2""","""3""",32.0,,28606573.0,1456395849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:24:15.824009,38665.0,4.0
,,2016-02-25 10:31:12.610083,slurm_normal,1456396366.0,0,,1.0,main_w2_handler0,2609270,11937796,False,,1245,interval,6168098.roundup,slurm,,132112168.0,corral-repl,,"""df2b59cedbaa11e592f4005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510356,,"""2""","""3""",32.0,,28606573.0,1456396361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:32:48.170114,38665.0,5.0
,,2016-02-25 10:37:17.056456,slurm_normal,1456396856.0,0,,1.0,main_w2_handler1,2609270,11937829,False,,2448,interval,6168161.roundup,slurm,,132112168.0,corral-repl,,"""ba41fdd8dbab11e5bff1005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23510404,,"""2""","""3""",32.0,,28606573.0,1456396851.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:41:01.121792,38665.0,5.0
,,2016-02-25 10:54:14.926029,slurm_normal,1456397909.0,0,,1.0,main_w1_handler1,2612175,11937962,False,,2948531,interval,6168342.roundup,slurm,,132112168.0,corral-repl,,"""134f306adbae11e5bd62005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""",23510605,,"""3""","""3""",32.0,,27861015.0,1456397902.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:58:34.195271,2108.0,7.0
,,2016-02-25 10:54:13.943303,slurm_normal,1456397884.0,0,,1.0,main_w1_handler1,2612175,11937961,False,,503508,interval,6168339.roundup,slurm,,132112168.0,corral-repl,,"""134f306adbae11e5bd62005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5000""",23510604,,"""3""","""3""",32.0,,27861015.0,1456397877.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 10:58:06.314868,2108.0,7.0
,,2016-02-23 10:48:40.206018,slurm_normal,1456225002.0,0,,1.0,main_w2_handler1,2609270,11909055,False,,1016,interval,6146623.roundup,slurm,,132112168.0,corral-repl,,"""f9326f24da1a11e5ba94005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23470880,,"""2""","""3""",32.0,,28557808.0,1456224980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-23 10:56:48.148202,38665.0,22.0
,,2016-02-23 11:08:01.789655,slurm_normal,1456225868.0,0,,1.0,main_w2_handler0,2609270,11909447,False,,2312,interval,6146898.roundup,slurm,,132112168.0,corral-repl,,"""ac9d2318da1d11e5be88005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23471380,,"""2""","""3""",32.0,,28557808.0,1456225838.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-23 11:11:15.322753,38665.0,30.0
,,2016-02-23 11:16:34.886189,slurm_normal,1456226329.0,0,,1.0,main_w1_handler1,2609270,11909479,False,,1262,interval,6147043.roundup,slurm,,132112168.0,corral-repl,,"""e2d03294da1e11e5be88005056a52a46""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""100""",23471420,,"""2""","""3""",32.0,,28557808.0,1456226307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-23 11:18:52.456999,38665.0,22.0
