create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.input2_dbkey,parameters.input2_species,parameters.maf_source_type.__current_case__,parameters.maf_source_type.input2,parameters.maf_source_type.input2.values,parameters.maf_source_type.mafType,parameters.maf_source_type.mafType.__class__,parameters.maf_source_type.mafType.value,parameters.maf_source_type.maf_source,parameters.summary,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-10-02 14:06:38.631654,roundup_single,1412258867.0,0.0,,1.0,main_w2_handler1,2073533,7918523,False,,6440,bed,,,1897689,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17123775,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",32.0,,17340201.0,1412258815.0,ok,1023992.0,maf_stats1,1.0.1,,2014-10-02 14:07:48.516191,53726.0,52.0
2014-10-04 20:05:40.223712,roundup_single,1412453183.0,0.0,,1.0,main_w2_handler1,2075443,7929642,False,,24,interval,,,1908665,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17144250,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",32.0,,17403290.0,1412453163.0,ok,1023992.0,maf_stats1,1.0.1,,2014-10-04 20:06:24.056320,37332.0,20.0
2014-10-04 20:07:31.208475,roundup_single,1412453281.0,0.0,,1.0,main_w1_handler1,2075443,7929645,False,,0,interval,,,1908669,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17144251,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""true""",32.0,,17403290.0,1412453265.0,ok,1023992.0,maf_stats1,1.0.1,,2014-10-04 20:08:01.997919,37332.0,16.0
2015-01-13 15:16:56.052934,rodeo_normal,1421162247.0,0.0,,1.0,main_w2_handler0,2172313,8539005,False,,33521,interval,,,2464561.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",18196905,,,,,,,,,,,,1,,,15_WAY_MULTIZ_dm3,,,cached,"""true""",32.0,,20473516.0,1421162233.0,ok,1023992.0,maf_stats1,1.0.1,,2015-01-13 15:17:30.102767,58185.0,14.0
2015-01-13 15:18:17.490561,rodeo_normal,1421162322.0,0.0,,1.0,main_w2_handler1,2172313,8539016,False,,33521,interval,1307516.0,maf,2464578.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",18196905,,,,,,,,,,,,0,18196884.0,,,,,user,"""true""",32.0,,20473516.0,1421162314.0,ok,1023992.0,maf_stats1,1.0.1,,2015-01-13 15:18:44.413236,58185.0,8.0
2015-01-13 15:04:36.003772,rodeo_normal,1421161526.0,0.0,,1.0,main_w2_handler0,2172313,8538924,False,,33521,interval,,,2464468.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",18196905,,,,,,,,,,,,1,,,15_WAY_MULTIZ_dm3,,,cached,"""false""",32.0,,20473516.0,1421161514.0,ok,1023992.0,maf_stats1,1.0.1,,2015-01-13 15:05:28.845579,58185.0,12.0
2014-10-16 04:53:58.914758,rodeo_normal,1413448922.0,0.0,,1.0,main_w1_handler0,1988461,7990083,False,,96586513,interval,168016879.0,maf,29834.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17189388,,,,,,,,,,,,0,17189448.0,,,,,user,"""true""",2.0,,17019895.0,1413440080.0,ok,0.0,maf_stats1,1.0.1,,2014-10-16 08:42:04.769685,51463.0,8842.0
2014-10-16 04:54:10.931330,rodeo_normal,1413449067.0,0.0,,1.0,main_w2_handler0,1988461,7990084,False,,96586513,interval,168016879.0,maf,29835.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17189388,,,,,,,,,,,,0,17189448.0,,,,,user,"""false""",2.0,,17019895.0,1413440081.0,ok,0.0,maf_stats1,1.0.1,,2014-10-16 08:44:31.324200,51463.0,8986.0
2014-10-21 08:59:20.496898,rodeo_normal,1413885524.0,0.0,,1.0,main_w2_handler0,1988461,8015329,False,,63775845,interval,121486705.0,maf,51182.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17253112,,,,,,,,,,,,0,17253130.0,,,,,user,"""false""",2.0,,17019895.0,1413881969.0,ok,0.0,maf_stats1,1.0.1,,2014-10-21 09:58:49.088800,51463.0,3555.0
2014-10-25 21:15:26.615293,rodeo_normal,1414271780.0,0.0,,1.0,main_w2_handler0,2097728,8043380,False,,143,bed,,,75978.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",17335422,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",2.0,,17345480.0,1414271736.0,ok,0.0,maf_stats1,1.0.1,,2014-10-25 21:16:24.376745,53736.0,44.0
2015-01-27 15:05:58.298611,rodeo_normal,1422371292.0,0.0,,1.0,main_w1_handler0,2165699,8613816,False,,24,interval,,,2577828.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/criGri1.len""","""criGri1""",18311314,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""true""",32.0,,20356574.0,1422371236.0,ok,1023992.0,maf_stats1,1.0.1,,2015-01-27 15:08:14.584569,,56.0
