create_time,destination_id,end_epoch,exit_code,file,file_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-26 15:22:21.338941,slurm_normal,1477496183.0,0,,,1.0,main_w4_handler0,2860007,14181358,False,,8394017.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR507836,,accession_number,"""fastqsanger""",32.0,,31939447.0,1477495387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 15:36:34.120124,4519.0,796.0
2016-10-26 15:24:48.683933,slurm_normal,1477496325.0,0,,,1.0,main_w3_handler0,2860007,14181378,False,,8394070.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR507864,,accession_number,"""fastqsanger""",32.0,,31939447.0,1477495658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 15:38:47.647565,4519.0,667.0
2016-10-26 18:14:41.246730,slurm_normal,1477506420.0,0,2870579731.0,sra,1.0,main_w3_handler1,2858834,14182926,False,,8395548.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51716b2f994e621a8'}]",file,"""fastqsanger""",32.0,,33776624.0,1477505775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 18:27:06.627853,92392.0,645.0
2016-10-26 18:14:25.269429,slurm_normal,1477506282.0,0,2599939618.0,sra,1.0,main_w4_handler1,2858834,14182922,False,,8395544.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5670fa1c5ae7d4dce'}]",file,"""fastqsanger""",32.0,,33776624.0,1477505730.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 18:24:46.130032,92392.0,552.0
2016-10-26 18:58:28.017906,slurm_normal,1477508394.0,0,,,1.0,main_w4_handler1,2870035,14183241,False,,8395896.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR191463,,accession_number,"""fastqsanger""",32.0,,33257177.0,1477508341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 18:59:59.989394,86153.0,53.0
2016-10-26 19:44:36.856685,slurm_normal,1477511163.0,0,,,1.0,main_w3_handler0,2870354,14183480,False,,8396150.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR191492,,accession_number,"""fastqsanger""",32.0,,33257177.0,1477511127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:47:42.591618,86153.0,36.0
2016-10-27 17:05:50.232285,slurm_normal,1477589869.0,0,,,1.0,main_w4_handler0,2871619,14192865,False,,8405178.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647673,,accession_number,"""fastqsanger""",32.0,,33948928.0,1477587977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-27 17:37:51.382120,7936.0,1892.0
2016-10-26 21:11:30.307062,slurm_normal,1477517768.0,0,,,1.0,main_w4_handler1,2860007,14183921,False,,8396642.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR507837,,accession_number,"""fastqsanger""",32.0,,31939447.0,1477516348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 21:36:12.854149,4519.0,1420.0
2016-10-26 21:34:15.910228,slurm_normal,1477517869.0,0,,,1.0,main_w4_handler0,2870493,14184085,False,,8396803.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR4240062,,accession_number,"""fastqsanger""",32.0,,33928500.0,1477517690.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 21:37:52.439950,,179.0
2016-10-27 20:03:26.890955,slurm_normal,1477600073.0,0,,,1.0,main_w3_handler0,2871619,14194219,False,,8406400.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647675,,accession_number,"""fastqsanger""",32.0,,33948928.0,1477598699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-27 20:27:56.209795,7936.0,1374.0
