bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
553053846,bam,,,2016-11-01 02:39:38.833939,slurm_multi,1477989147.0,0,6.0,main_w4_handler2,2876093,14221852,False,,,,8432829,slurm,,132112168.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5277d8ea51c3a0410'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,2730871774,specific,"""300""","""png""","""""",0,,mm10,cached,32.0,,33019862,1477983982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-01 08:32:29.259264,29303,5165.0
1366250684,bam,,,2016-11-03 20:50:54.199032,slurm_multi,1478216890.0,0,6.0,main_w3_handler2,2381436,14245817,False,,,,8454777,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e117804174a9842'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""200""","""png""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,33937414,1478208421.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-03 23:48:51.024128,66502,8469.0
4519557824,bam,,,2016-11-04 04:28:35.620567,slurm_multi,1478243597.0,0,6.0,main_w4_handler2,2804768,14247960,False,,,,8457124,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e12489b5c77dca4a'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""eps""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,34080729,1478234413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-04 07:13:19.558038,89181,9184.0
308657276,bam,320.0,len,2017-03-20 19:28:22.109983,slurm_multi,1490049462.0,0,6.0,main_w3_handler2,2910771,15346925,False,,3595453.0,twobit,9487354,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28845447}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1490045509.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-20 22:37:43.075815,95902,3953.0
7458953,bam,,,2016-11-04 18:23:21.546598,slurm_multi,1478304536.0,0,6.0,main_w4_handler2,2880205,14255139,False,,,,8465181,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5787695ec2fef7e31'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,,2150570000,"""300""","""png""","""""",0,,mm10,cached,32.0,,34069974,1478296960.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-05 00:08:59.176380,4519,7576.0
3075993907,bam,,,2016-11-04 04:36:52.856899,slurm_multi,1478253232.0,0,6.0,main_w3_handler2,2804768,14247980,False,,,,8457661,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55dae22992e6e166d'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""eps""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,34080729,1478246023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-04 09:53:58.876776,89181,7209.0
3563401817,bam,,,2016-11-04 05:11:49.635386,slurm_multi,1478263907.0,0,6.0,main_w4_handler2,2804768,14248080,False,,,,8459191,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b559f2b1fd9e3eeeb1'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""eps""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,34080729,1478256704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-04 12:51:52.663821,89181,7203.0
3369639342,bam,,,2016-11-04 05:11:18.117570,slurm_multi,1478276339.0,0,6.0,main_w3_handler2,2804768,14248078,False,,,,8461391,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7352547e0dbbed2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""eps""","""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,34080729,1478268781.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-04 16:21:05.064574,89181,7558.0
514267894,bam,,,2017-01-13 06:08:48.985849,slurm_multi,1484287981.0,0,6.0,main_w4_handler2,2954932,14756193,False,,,,8920780,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27914441}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,Araly1,cached,32.0,,35359664,1484287972.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-13 06:13:03.404984,98092,9.0
131220797,bam,,,2017-01-13 06:08:48.762235,slurm_multi,1484287888.0,0,6.0,main_w4_handler2,2954932,14756192,False,,,,8920777,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27914415}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""300""","""png""","""""",0,,Araly1,cached,32.0,,35359664,1484287878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-13 06:11:28.952798,98092,10.0
2602840131,bam,,,2017-01-19 10:01:48.135413,slurm_multi,1484890799.0,0,6.0,main_w4_handler2,2945241,14810016,False,Job output deleted by user before job completed.,,,8981922,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27990527}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""126""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,35169727,1484839559.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-20 05:40:13.419127,81351,51240.0
33699754,bam,,,2017-01-21 21:37:58.276701,slurm_multi,1485035185.0,0,6.0,main_w3_handler2,1578492,14837310,False,,,,8997685,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27865612}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""300""","""png""","""""",0,,Araly1,cached,32.0,,35515816,1485035162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-21 21:46:26.982952,30453,23.0
4318968190,bam,,,2017-01-22 03:02:11.158294,slurm_multi,1485126935.0,0,6.0,main_w4_handler2,2955340,14838324,False,,,,8998743,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27926559}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",2,,2451960000,"""175""","""png""","""""",0,,mm10,cached,32.0,,35421683,1485054927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-22 23:15:36.974732,73725,72008.0
1695402551,bam,,,2017-03-23 03:00:41.926965,slurm_multi,1490290945.0,0,6.0,main_w3_handler2,2676334,15372150,False,,,,9510639,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 24419751}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,35538995,1490239611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-23 17:42:26.941054,47842,51334.0
1528462741,bam,,,2017-03-23 03:00:39.954412,slurm_multi,1490345381.0,0,6.0,main_w4_handler2,2676334,15372148,False,,,,9516922,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 24419744}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,2150570000,"""300""","""png""","""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,35538995,1490296671.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-24 08:54:38.409475,47842,48710.0
510260939,bam,,,2017-01-03 09:48:15.317899,slurm_multi,1483446200.0,0,6.0,main_w3_handler2,2911214,14679520,False,,1597935.0,twobit,8849841,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27797269}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,6338405,specific,"""150""","""png""","""""",1,"[{'src': 'hda', 'id': 27797409}]",,history,32.0,,33756292,1483437048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-03 12:23:21.633477,75878,9152.0
510260939,bam,,,2017-01-04 10:51:54.826410,slurm_multi,1483536893.0,0,6.0,main_w4_handler2,2911214,14687869,False,,1597935.0,twobit,8857885,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27797269}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,6338405,specific,"""150""","""png""","""""",1,"[{'src': 'hda', 'id': 27797409}]",,history,32.0,,33756292,1483527234.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-04 13:34:54.083388,75878,9659.0
