chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-02 07:21:21.871066,slurm_normal,1459594590.0,0,,1.0,main_w1_handler1,2634693,12319366,False,,88170,vcf,6526677.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24114342,,,32.0,,29010542.0,1459594585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-02 10:56:33.167305,80683.0,5.0
,,2016-04-02 07:21:21.151015,slurm_normal,1459594848.0,0,,1.0,main_w1_handler1,2634693,12319364,False,,77380,vcf,6526683.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24114341,,,32.0,,29010542.0,1459594843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-02 11:00:50.732273,80683.0,5.0
,,2016-04-03 04:32:05.312494,slurm_normal,1459657944.0,0,,1.0,main_w2_handler0,2634693,12323397,False,,112738,vcf,6530147.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120885,,,32.0,,29010542.0,1459657936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 04:32:28.742222,80683.0,8.0
,,2016-04-03 04:32:04.956388,slurm_normal,1459657948.0,0,,1.0,main_w1_handler0,2634693,12323396,False,,77380,vcf,6530150.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120884,,,32.0,,29010542.0,1459657942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 04:32:31.692994,80683.0,6.0
,,2016-04-03 04:32:04.601692,slurm_normal,1459657942.0,0,,1.0,main_w1_handler2,2634693,12323395,False,,88170,vcf,6530149.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120883,,,32.0,,29010542.0,1459657936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 04:32:23.355474,80683.0,6.0
,,2016-04-03 04:27:48.201965,slurm_normal,1459657682.0,0,,1.0,main_w1_handler2,2634693,12323381,False,,1351666,vcf,6530120.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120803,,,32.0,,29010542.0,1459657678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 04:28:03.488963,80683.0,4.0
,,2016-04-03 04:48:35.529545,slurm_normal,1459659451.0,0,,1.0,main_w2_handler0,2634693,12323445,False,,562983,vcf,6530275.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120951,,,32.0,,29010542.0,1459659445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 04:57:35.151652,80683.0,6.0
,,2016-04-03 04:48:37.487344,slurm_normal,1459659833.0,0,,1.0,main_w2_handler1,2634693,12323447,False,,581493,vcf,6530314.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120959,,,32.0,,29010542.0,1459659828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 05:03:55.899289,80683.0,5.0
,,2016-04-07 21:14:18.725305,slurm_normal,1460063682.0,0,,1.0,main_w1_handler0,2661620,12376056,False,,1108641,vcf,6573144.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24197042,,,32.0,,29243642.0,1460063677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-07 21:14:43.469316,80601.0,5.0
,,2016-09-20 14:28:17.979999,slurm_normal,1474382851.0,0,,1.0,main_w3_handler0,2738833,13893741,False,,4782992972,vcf,8117286.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50e1ce73b903a151c'}]",,32.0,,32341823.0,1474381710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-09-20 14:47:35.116953,86111.0,1141.0
,,2016-04-08 16:04:55.538081,slurm_normal,1460131511.0,0,,1.0,main_w2_handler1,2661987,12392589,False,,842262,vcf,6588645.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24217232,,,32.0,,29496644.0,1460131506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-08 16:05:16.863646,73410.0,5.0
,,2016-04-11 05:45:53.755258,slurm_normal,1460353603.0,0,,1.0,main_w2_handler0,2664860,12414312,False,,1544409,vcf,6614723.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24249936,,,32.0,,29016467.0,1460353597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-11 05:46:44.982432,80726.0,6.0
,,2016-04-11 12:38:35.019415,slurm_normal,1460378372.0,0,,1.0,main_w2_handler0,2660683,12417077,False,,359641608,vcf,6618144.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24253647,,,32.0,,29542739.0,1460378344.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-11 12:39:35.660784,81111.0,28.0
,,2016-04-11 12:13:01.535181,slurm_normal,1460378317.0,0,,1.0,main_w1_handler1,2665287,12416821,False,,1553846,vcf,6618133.roundup,slurm,,132112168.0,corral-repl,,"""adeb88b8ffde11e59e0b005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24253345,,,32.0,,29542512.0,1460378313.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-11 12:38:41.445264,81111.0,4.0
,,2016-04-08 22:26:24.372257,slurm_normal,1460154704.0,0,,1.0,main_w1_handler0,2662894,12396731,False,,481132,vcf,6593922.roundup,slurm,,132112168.0,corral-repl,,"""e05820b6fdd811e5a1c6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24223875,,,32.0,,29170533.0,1460154697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-08 22:31:50.051639,81307.0,7.0
,,2016-04-08 22:26:23.643098,slurm_normal,1460154757.0,0,,1.0,main_w1_handler0,2662894,12396730,False,,534469,vcf,6593928.roundup,slurm,,132112168.0,corral-repl,,"""e05820b6fdd811e5a1c6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24223874,,,32.0,,29170533.0,1460154753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-08 22:32:42.575008,81307.0,4.0
,,2016-04-09 08:48:20.870886,slurm_normal,1460191753.0,0,,1.0,main_w2_handler1,2663351,12398798,False,,668172264,vcf,6598587.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24227802,,,32.0,,29519027.0,1460191710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-09 08:49:15.263178,81111.0,43.0
,,2016-04-09 08:31:37.550902,slurm_normal,1460190725.0,0,,1.0,main_w2_handler1,2660683,12398749,False,,120162353,vcf,6598486.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24217685,,,32.0,,29519027.0,1460190710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-09 08:32:07.936801,81111.0,15.0
,,2016-04-09 16:43:25.969700,slurm_normal,1460224153.0,0,,1.0,main_w1_handler2,2663612,12401270,False,,1606522,vcf,6601566.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24231531,,,32.0,,29521532.0,1460224150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-09 17:49:17.111744,81111.0,3.0
,,2016-04-10 01:58:02.065429,slurm_normal,1460253508.0,0,,1.0,main_w1_handler1,2663723,12405168,False,Job output deleted by user before job completed.,534469,vcf,6605450.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24236969,,,32.0,,29490056.0,1460253504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 01:58:32.479851,77209.0,4.0
,,2016-04-10 01:58:02.647950,slurm_normal,1460253515.0,0,,1.0,main_w1_handler2,2663723,12405170,False,Job output deleted by user before job completed.,443240,vcf,6605452.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24236971,,,32.0,,29490056.0,1460253510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 01:58:38.340099,77209.0,5.0
,,2016-04-10 01:58:02.415492,slurm_normal,1460253512.0,0,,1.0,main_w2_handler1,2663723,12405169,False,Job output deleted by user before job completed.,481132,vcf,6605451.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24236970,,,32.0,,29490056.0,1460253507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 01:58:34.109911,77209.0,5.0
,,2016-04-10 08:45:55.691218,slurm_normal,1460277992.0,0,,1.0,main_w1_handler2,2664034,12406228,False,,1179024,vcf,6606772.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24238023,,,32.0,,29529420.0,1460277987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 08:46:34.084657,82029.0,5.0
,,2016-04-11 19:54:34.081663,slurm_normal,1460404520.0,0,,1.0,main_w2_handler0,2650545,12421300,False,,91299,vcf,6622417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24254381,,,32.0,,29162435.0,1460404513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-11 19:55:23.400791,81239.0,7.0
,,2016-04-10 12:40:21.266442,slurm_normal,1460295770.0,0,,1.0,main_w1_handler2,2664255,12407066,False,,312140158,vcf,6608077.roundup,slurm,,132112168.0,corral-repl,,"""49ed335eff1911e5bcab005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24240092,,,32.0,,29530799.0,1460295749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 13:42:54.409502,81111.0,21.0
,,2016-04-10 13:50:57.631179,slurm_normal,1460296286.0,0,,1.0,main_w2_handler1,2663736,12407391,False,,1553846,vcf,6608134.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24240283,,,32.0,,29523497.0,1460296282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 13:51:28.927530,81434.0,4.0
,,2016-04-10 14:54:24.276350,slurm_normal,1460300098.0,0,,1.0,main_w2_handler0,2661730,12408501,False,,428838,vcf,6608433.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24241791,,,32.0,,29183914.0,1460300094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-10 14:54:59.773451,81158.0,4.0
,,2016-04-11 19:54:33.231417,slurm_normal,1460404516.0,0,,1.0,main_w1_handler0,2650545,12421299,False,,127990,vcf,6622415.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24254380,,,32.0,,29162435.0,1460404508.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-11 19:55:18.930605,81239.0,8.0
