chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,parameters.input_file|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-02 14:32:18.638568,slurm_normal,1520001193.0,0,7680.0,1.0,main_w4_handler1,3448911,18581304,False,,10209412,fastqsanger.gz,12676004,slurm,,132112168.0,corral-repl,,"""816c47421e2611e88ad4005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163319}]",,32.0,,,1520001156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-02 14:33:15.939628,92488.0,37.0
,,2017-12-16 20:38:31.213976,slurm_normal,1513507591.0,0,,1.0,main_w3_handler0,3367338,17826656,False,,12088428361,fastqsanger.gz,11900133,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32966788}]",,32.0,,42684950.0,1513456721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-17 10:46:42.519192,118720.0,50870.0
,,2017-12-18 11:54:29.569029,slurm_normal,1513598097.0,0,,1.0,main_w4_handler0,3369161,17836626,False,,6218201,fastqsanger,11910506,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32983722}]",,32.0,,42727890.0,1513598079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-18 11:54:59.882481,118807.0,18.0
,,2017-12-18 19:29:40.158331,slurm_normal,1513677946.0,0,,1.0,main_w4_handler0,3369422,17841015,False,,12088428361,fastqsanger.gz,11915297,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32992255}]",,32.0,,42735135.0,1513625392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-19 10:05:51.708869,118057.0,52554.0
,,2017-12-19 16:55:08.674904,slurm_normal,1513709534.0,0,,1.0,main_w3_handler0,3369640,17851108,False,,4047628281,fastqsanger,11924216,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33006739}]",,32.0,,42686420.0,1513702522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-19 18:52:15.915545,93144.0,7012.0
,,2017-12-20 08:03:38.763701,slurm_normal,1513757043.0,0,,1.0,main_w4_handler0,3356521,17856208,False,,5377201,fastqsanger,11928891,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/bosTau8.len""","""bosTau8""","[{'src': 'hda', 'id': 33014426}]",,32.0,,42508227.0,1513757027.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-20 08:04:06.537009,,16.0
,,2018-03-03 04:29:10.824334,slurm_normal,1520052710.0,0,7680.0,1.0,main_w4_handler0,3448929,18588843,False,,306794539,fastqsanger.gz,12683871,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163775}]",,32.0,,44283438.0,1520051362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-03 04:51:53.758124,,1348.0
,,2017-12-20 19:00:01.651928,slurm_normal,1513797082.0,0,,1.0,main_w4_handler0,3366090,17863252,False,,2617298944,fastqsanger,11935158,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33023039}]",,32.0,,42669547.0,1513796412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-20 19:11:27.948726,118664.0,670.0
,,2017-12-22 17:17:09.980367,slurm_normal,1513996931.0,0,,1.0,main_w4_handler1,3367135,17880860,False,,12976709186,fastqsanger.gz,11954601,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33042598}]",,32.0,,42681438.0,1513963042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-23 02:42:14.941428,118715.0,33889.0
,,2017-12-21 08:32:17.235564,slurm_normal,1513845159.0,0,,1.0,main_w3_handler1,3366090,17867565,False,,47056632,fastqsanger,11939891,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33032190}]",,32.0,,42792837.0,1513845142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-21 08:32:41.440405,118664.0,17.0
