create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB18,inputB18_filetype,inputB19,inputB19_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition,parameters.addition2.__current_case__,parameters.addition2.addition2_select,parameters.addition2.id,parameters.addition2.iu,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.io,parameters.mdb,parameters.strand,parameters.ties,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-14 05:15:15.727419,slurm_normal,1489468547.0,0,1.0,main_w4_handler0,2709324,15288078,False,,12101489,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9431934.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28746257}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,35204444.0,1489468538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-14 05:16:08.559069,65184.0,9.0
2017-04-06 17:27:18.793345,slurm_normal,1491499658.0,0,1.0,main_w3_handler1,1323885,15510123,False,,4206386,bed,5350585,5350585,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9636955.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 29093948}]",,"[{'src': 'hda', 'id': 29104229}]","""false""","""each""","""""","""all""",32.0,,36602417.0,1491499642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-06 17:27:42.241595,31552.0,16.0
2017-04-06 16:20:06.610322,slurm_normal,1491495626.0,0,1.0,main_w4_handler0,2788464,15509656,False,,1744058,bed,9441155,9441155,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9636452.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29103477}]",,"[{'src': 'hda', 'id': 28028200}]","""false""","""each""","""""","""all""",32.0,,36330861.0,1491495609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-06 16:20:31.164253,66832.0,17.0
2017-04-06 16:22:18.790084,slurm_normal,1491495754.0,0,1.0,main_w3_handler1,2788464,15509666,False,,1584778,bed,9441155,9441155,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9636473.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29103472}]",,"[{'src': 'hda', 'id': 28028200}]","""false""","""each""","""""","""all""",32.0,,36330861.0,1491495742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-04-06 16:22:36.686107,66832.0,12.0
2017-03-17 13:01:56.213019,slurm_normal,1489755726.0,0,1.0,main_w4_handler0,2923116,15324251,False,,1583,bed,11753267,11753267,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9464996.roundup,slurm,,132112168.0,corral-repl,,,"""false""",2,b,false,false,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28805150}]",,"[{'src': 'hda', 'id': 28805144}]","""false""","""each""","""""","""all""",32.0,,36266960.0,1489755721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-17 13:02:21.139067,33132.0,5.0
2017-10-23 13:01:06.853588,slurm_normal,1508763710.0,0,1.0,main_w3_handler1,3296356,17175491,False,,10031,bed,163750,163750,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,11235663,slurm,,132112168.0,corral-repl,,"""36ba7b50b7f211e7ad4d005056ba55fb""","""true""",3,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31816126}]",,"[{'src': 'hda', 'id': 31816124}]","""true""","""each""","""""","""all""",32.0,,,1508763707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-10-23 13:01:57.625563,81119.0,3.0
2017-10-27 15:18:32.774463,slurm_normal,1509117655.0,0,1.0,main_w4_handler1,3301374,17241125,False,,1334088,bed,228564,228564,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,11301872,slurm,,132112168.0,corral-repl,,"""162b5126bb2a11e7860b005056ba2773""","""true""",3,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31925647}]",,"[{'src': 'hda', 'id': 31925645}]","""true""","""each""","""""","""all""",32.0,,,1509117648.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-10-27 15:20:56.388768,81119.0,7.0
2017-10-27 15:25:17.995659,slurm_normal,1509118025.0,0,1.0,main_w4_handler0,3301374,17241174,False,,772070,bed,228564,228564,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,11301929,slurm,,132112168.0,corral-repl,,"""06197726bb2b11e7aaca005056ba2773""","""true""",3,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31925695}]",,"[{'src': 'hda', 'id': 31925693}]","""true""","""each""","""""","""all""",32.0,,,1509118019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-10-27 15:27:07.763654,81119.0,6.0
2017-10-27 15:44:57.821475,slurm_normal,1509119550.0,0,1.0,main_w4_handler0,3301374,17241339,False,,22518127,bed,228564,228564,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,11302146,slurm,,132112168.0,corral-repl,,"""c6f6b588bb2d11e7b803005056ba2773""","""true""",3,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31925895}]",,"[{'src': 'hda', 'id': 31925893}]","""true""","""each""","""""","""all""",32.0,,,1509119542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-10-27 15:52:31.715551,81119.0,8.0
2016-04-26 10:37:31.811492,slurm_normal,1461667066.0,0,1.0,main_w1_handler2,2645603,12622001,False,,50464,bed,3250279,3250279,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,6824715.roundup,slurm,,132112168.0,corral-repl,,,"""false""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5efe743100ea5bccc'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b530d3d7762841ccf0'}]","""false""","""each""","""""","""first""",32.0,,29829935.0,1461667063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2016-04-26 10:37:49.208691,29502.0,3.0
