bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data,parameters.bed_data.values,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9910,bed,,,2016-03-09 20:38:10.915604,slurm_normal,1457556090.0,0,1.0,main_w2_handler0,2627515,12088000,False,,25947,vcf,6312697.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764325,,"""8""","""BED-features""",32.0,,28352648.0,1457556084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:41:33.379906,77099.0,6.0
9910,bed,,,2016-03-09 20:38:11.610567,slurm_normal,1457556106.0,0,1.0,main_w2_handler0,2627515,12088001,False,,27543,vcf,6312700.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764326,,"""9""","""BED-features""",32.0,,28352648.0,1457556096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:41:50.542361,77099.0,10.0
9910,bed,,,2016-03-09 20:38:24.902171,slurm_normal,1457556119.0,0,1.0,main_w1_handler0,2627515,12088013,False,,28106,vcf,6312705.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764341,,"""21""","""BED-features""",32.0,,28352648.0,1457556114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:42:05.610202,77099.0,5.0
9910,bed,,,2016-03-09 20:39:54.543407,slurm_normal,1457556125.0,0,1.0,main_w1_handler1,2627515,12088089,False,,26786,vcf,6312691.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764416,,"""85""","""BED-features""",32.0,,28352648.0,1457556078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:42:06.701936,77099.0,47.0
9910,bed,,,2016-03-09 20:38:10.163408,slurm_normal,1457556138.0,0,1.0,main_w2_handler0,2627515,12087999,False,,27036,vcf,6312687.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764324,,"""7""","""BED-features""",32.0,,28352648.0,1457556066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:42:20.624989,77099.0,72.0
18514733,bed,,,2015-06-19 13:47:04.041256,slurm_normal,1434721714.0,0,1.0,main_w1_handler1,2349068,9692254,False,,12400009,vcf,4001187.roundup,slurm,,132112168.0,corral-repl,,"""aa27f34a168911e5a01e005056a51846""",20069388,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20069151,,,"""HumanGenome""",32.0,,23709056.0,1434721700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-06-19 13:48:37.647060,64892.0,14.0
9910,bed,,,2016-03-09 20:38:27.559333,slurm_normal,1457556171.0,0,1.0,main_w2_handler0,2627515,12088016,False,,23580,vcf,6312717.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764344,,"""24""","""BED-features""",32.0,,28352648.0,1457556146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:42:54.988900,77099.0,25.0
9910,bed,,,2016-03-09 20:38:33.702630,slurm_normal,1457556186.0,0,1.0,main_w2_handler0,2627515,12088020,False,,28330,vcf,6312720.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764348,,"""28""","""BED-features""",32.0,,28352648.0,1457556181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:43:11.753049,77099.0,5.0
9910,bed,,,2016-03-09 20:39:32.758733,slurm_normal,1457556200.0,0,1.0,main_w2_handler0,2627515,12088068,False,,29006,vcf,6312725.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764397,,"""68""","""BED-features""",32.0,,28352648.0,1457556194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:43:24.834267,77099.0,6.0
7880715,bed,,,2015-09-15 13:45:03.342301,slurm_normal,1442324728.0,0,1.0,main_w1_handler0,2439472,10323713,False,,174151,vcf,4607638.roundup,slurm,,132112168.0,corral-repl,,,21116892,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21116341,,,"""BED-features""",32.0,,24069201.0,1442324724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-09-15 13:45:30.660371,65803.0,4.0
