chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.giField,parameters.giField.__class__,parameters.giField.value,parameters.idField,parameters.idField.__class__,parameters.idField.value,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-20 14:20:38.416304,rodeo_normal,1426866533.0,0,1.0,main_w2_handler1,2243653,8996466,False,,85711982,tabular,3257196.roundup,slurm,,132112168.0,corral-repl,,"""4722e440cf0c11e494e6005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18933245,,32.0,,21456993.0,1426865441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 15:48:58.921043,48848.0,1092.0
,,2015-03-20 19:09:09.356924,rodeo_normal,1426879304.0,0,1.0,main_w2_handler1,2243814,8998981,False,,330413,tabular,3261373.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18935463,,32.0,,21927631.0,1426878561.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 19:21:47.140290,61225.0,743.0
,,2015-03-20 19:46:08.473818,rodeo_normal,1426881587.0,0,1.0,main_w2_handler0,2243849,8999466,False,,184983859,tabular,3261983.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18935512,,32.0,,21929338.0,1426880792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 19:59:51.018812,61230.0,795.0
,,2015-03-20 21:44:42.234299,rodeo_normal,1426888604.0,0,1.0,main_w1_handler0,2243871,9000415,False,,330413,tabular,3263748.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18936743,,32.0,,21930127.0,1426887897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 21:56:45.771386,61234.0,707.0
,,2015-03-24 15:17:59.121484,rodeo_normal,1427212187.0,0,1.0,main_w1_handler0,2247375,9024557,False,,8391577,tabular,3309700.roundup,slurm,,132112168.0,corral-repl,,"""f33ddba2d23811e4a5bd005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18976083,,32.0,,21996742.0,1427211353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-24 15:49:53.551487,54379.0,834.0
,,2015-03-21 16:09:14.761676,rodeo_normal,1426954904.0,0,1.0,main_w2_handler0,2243878,9003102,False,,184983859,tabular,3269358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18935639,,32.0,,21930157.0,1426954171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-21 16:21:47.309085,57763.0,733.0
,,2015-03-25 10:46:26.276918,rodeo_normal,1427281118.0,0,1.0,main_w2_handler0,2247407,9032031,False,,31791046,tabular,3317427.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18989186,,32.0,,21428455.0,1427280399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-25 10:58:41.110649,3342.0,719.0
,,2015-03-27 20:44:13.858955,rodeo_normal,1427490668.0,0,1.0,main_w1_handler0,2252300,9069812,False,,2615,tabular,3354205.roundup,slurm,,132112168.0,corral-repl,,"""06f28680d4c211e491b3005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19039696,,32.0,,20983985.0,1427489749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-27 21:11:09.812906,38229.0,919.0
,,2015-03-25 18:21:12.567739,rodeo_normal,1427308607.0,0,1.0,main_w1_handler0,2243877,9037380,False,,184983859,tabular,3322091.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18950028,,32.0,,21930175.0,1427307692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-25 18:36:51.150302,,915.0
,,2015-03-25 14:51:13.142563,rodeo_normal,1427356820.0,0,1.0,main_w1_handler0,2248669,9033772,False,,327149324,tabular,3328633.roundup,slurm,,132112168.0,corral-repl,,"""610f3a8ed2fe11e48b96005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18991706,,32.0,,21197127.0,1427355882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 08:00:22.034525,16257.0,938.0
,,2015-03-27 20:42:33.173042,rodeo_normal,1427490104.0,0,1.0,main_w2_handler1,2252300,9069796,False,,5403,tabular,3354049.roundup,slurm,,132112168.0,corral-repl,,"""caca7956d4c111e4a6aa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19039688,,32.0,,20983985.0,1427488969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-27 21:01:49.618698,38229.0,1135.0
,,2015-03-26 14:48:17.761470,rodeo_normal,1427384058.0,0,1.0,main_w2_handler1,2249935,9048374,False,,8921715,tabular,3334018.roundup,slurm,,132112168.0,corral-repl,,"""22a6d29cd3c711e4a5bd005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,19010549,,32.0,,21996742.0,1427382284.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 15:34:24.524452,54379.0,1774.0
,,2015-03-27 20:45:58.202967,rodeo_normal,1427491043.0,0,1.0,main_w2_handler0,2252300,9069865,False,,5270,tabular,3354204.roundup,slurm,,132112168.0,corral-repl,,"""44d58e7ad4c211e48b96005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19039693,,32.0,,20983985.0,1427489744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-27 21:17:29.128473,38229.0,1299.0
,,2015-03-26 16:17:47.169107,rodeo_normal,1427388244.0,0,1.0,main_w1_handler1,2250087,9050585,False,,8799891,tabular,3335984.roundup,slurm,,132112168.0,corral-repl,,"""a35c9e74d3d311e484c7005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,19013366,,32.0,,21996742.0,1427387136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 16:44:10.042802,54379.0,1108.0
,,2015-03-26 16:50:34.568488,rodeo_normal,1427390537.0,0,1.0,main_w1_handler1,2247912,9051043,False,,634425244,tabular,3336456.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013924,,32.0,,22021164.0,1427388657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:22:23.669817,61359.0,1880.0
,,2015-03-26 16:50:47.590915,rodeo_normal,1427388908.0,0,1.0,main_w1_handler0,2247914,9051054,False,,683428916,tabular,3336470.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013942,,32.0,,22006658.0,1427388668.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 16:56:01.308589,61375.0,240.0
,,2015-03-26 16:50:46.924204,rodeo_normal,1427390537.0,0,1.0,main_w1_handler1,2247929,9051049,False,,634425244,tabular,3336460.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013945,,32.0,,22039067.0,1427388659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:22:24.050723,61370.0,1878.0
,,2015-03-26 16:50:47.504404,rodeo_normal,1427390308.0,0,1.0,main_w2_handler1,2247891,9051053,False,,634425244,tabular,3336465.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013947,,32.0,,22039236.0,1427388665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:18:33.874374,61372.0,1643.0
,,2015-03-26 16:51:03.084559,rodeo_normal,1427391021.0,0,1.0,main_w2_handler0,2247880,9051066,False,,634425244,tabular,3336480.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013931,,32.0,,22039145.0,1427388678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:30:25.087611,61364.0,2343.0
,,2015-03-26 16:50:53.104280,rodeo_normal,1427389766.0,0,1.0,main_w2_handler1,2247883,9051062,False,,634425244,tabular,3336477.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013943,,32.0,,22006581.0,1427388677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:09:34.083482,61366.0,1089.0
,,2015-03-26 16:50:45.975965,rodeo_normal,1427390307.0,0,1.0,main_w2_handler1,2247907,9051047,False,,634425244,tabular,3336463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013963,,32.0,,22006364.0,1427388662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:18:33.573132,61360.0,1645.0
,,2015-03-26 16:50:36.414215,rodeo_normal,1427391718.0,0,1.0,main_w2_handler0,2190231,9051045,False,,683428916,tabular,3336459.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19013940,,32.0,,22006361.0,1427388659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:42:00.272996,58992.0,3059.0
,,2015-03-26 16:51:23.555714,rodeo_normal,1427390537.0,0,1.0,main_w1_handler0,2247935,9051082,False,,480614589,tabular,3336489.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19014073,,32.0,,22039039.0,1427388701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 17:22:22.804132,61371.0,1836.0
