chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.distance_method,parameters.cond_flavour.flavourType,parameters.cond_flavour.iterations,parameters.cond_flavour.retree,parameters.datatype,parameters.dbkey,parameters.ep,parameters.getTree,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.matrix_condition.BLOSUM,parameters.matrix_condition.PAM,parameters.matrix_condition.__current_case__,parameters.matrix_condition.matrix,parameters.op,parameters.outputFormat,parameters.reorder,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-12 17:27:06.254615,slurm_normal,1476293244.0,0,,1.0,main_w4_handler1,2846825,14065929,False,,11177,fasta,8282831.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b534bb516070f36d7c'}]",,,,0,,"""1.53""","""""","""false""",32.0,,33528235.0,1476293235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 17:27:28.842652,52895.0,9.0
,,2016-09-08 16:26:26.369993,slurm_normal,1473352011.0,0,,1.0,main_w4_handler1,2814287,13808548,False,,7616,fasta,8029494.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f2802eb0f1da0499'}]",,,,0,,"""1.53""","""""","""false""",32.0,,32780127.0,1473351999.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-09-08 16:26:54.473353,,12.0
,,2017-01-09 21:36:30.472759,slurm_normal,1483998312.0,0,,1.0,main_w4_handler1,2882823,14719731,False,,106446,fasta,8888654.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27859415}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1483997799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 21:45:17.098207,93822.0,513.0
,,2017-01-09 23:02:46.398058,slurm_normal,1484002984.0,0,,1.0,main_w3_handler1,2882823,14720378,False,,12245,fasta,8889232.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27859677}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1484002973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 23:03:10.534258,93822.0,11.0
,,2017-01-09 23:08:30.180680,slurm_normal,1484003341.0,0,,1.0,main_w3_handler1,2882823,14720409,False,,11351,fasta,8889288.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27860615}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1484003317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 23:09:06.051295,93822.0,24.0
,,2016-09-08 14:46:47.890697,slurm_normal,1473414499.0,0,,1.0,main_w3_handler0,2814088,13807368,False,,11251727,fasta,8028150.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b591557ecdd585da13'}]",,,,0,,"""1.53""","""""","""false""",32.0,,32838430.0,1473346022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-09-09 09:48:21.975047,,68477.0
,,2016-06-21 06:53:58.881430,slurm_normal,1466492058.0,0,,1.0,main_w1_handler0,2745378,13220330,False,,82072,fasta,7404825.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b522ed932f24b25d09'}]",,,,0,,"""1.53""","""""","""false""",32.0,,30983580.0,1466492052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-06-21 06:54:20.281099,,6.0
,,2016-06-21 11:22:00.341715,slurm_normal,1466508141.0,0,,1.0,main_w1_handler0,2745378,13223477,False,,111113,fasta,7407889.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b1e1a2723a42e5be'}]",,,,0,,"""1.53""","""""","""false""",32.0,,30983580.0,1466508136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-06-21 11:22:25.097957,,5.0
,,2016-06-21 11:33:56.568587,slurm_normal,1466508862.0,0,,1.0,main_w2_handler1,2745378,13223556,False,,219554,fasta,7407953.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58b56961f04e23a92'}]",,,,0,,"""1.53""","""""","""false""",32.0,,30983580.0,1466508854.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-06-21 11:34:24.004656,,8.0
,,2016-06-21 11:38:57.354671,slurm_normal,1466509157.0,0,,1.0,main_w1_handler1,2745378,13223582,False,,232028,fasta,7407977.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5895d4f9b59880453'}]",,,,0,,"""1.53""","""""","""false""",32.0,,30983580.0,1466509149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-06-21 11:39:19.436256,,8.0
