create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputs_0|fasta,inputs_0|fasta_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.inputs,parameters.soft,parameters.trump,parameters.vertical,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-04 10:01:27.347734,slurm_normal,1509789714.0,0,212836744,mothur.align,,1.0,main_w3_handler1,3310785,17325930,False,,,,11386840,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32062247}]",,[],"""0""",""".""","""true""",32.0,,40381825.0,1509789695.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-04 10:01:56.175209,94887.0,19.0
2017-11-04 14:31:35.656943,slurm_normal,1509805949.0,0,219559028,mothur.align,,1.0,main_w4_handler0,3310785,17327393,False,,,,11388938,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32064645}]",,[],"""0""",""".""","""true""",32.0,,40381825.0,1509805930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-04 14:32:37.765618,94887.0,19.0
2017-11-06 21:09:25.329509,slurm_normal,1510002753.0,0,1786746172,mothur.align,,1.0,main_w4_handler1,3308920,17350706,False,,,,11413845,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32098245}]",,[],"""0""",""".""","""true""",32.0,,41628482.0,1510002599.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-06 21:12:44.841022,110821.0,154.0
2017-11-08 02:16:13.038092,slurm_normal,1510107502.0,0,1236208860,mothur.align,,1.0,main_w3_handler0,3315882,17376297,False,,,,11437206,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32141316}]",,[],"""0""",""".""","""true""",32.0,,40487806.0,1510107412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-08 02:18:31.977527,110860.0,90.0
2017-11-09 10:59:04.965397,slurm_normal,1510225174.0,0,4078226,mothur.align,,1.0,main_w3_handler0,3318049,17394586,False,,,,11456407,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32190052}]",,[],"""0""",""".""","""true""",32.0,,41878332.0,1510225170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-09 10:59:40.478012,112972.0,4.0
2017-11-09 19:33:38.983815,slurm_normal,1510256111.0,0,1151594509,mothur.align,,1.0,main_w3_handler1,3308941,17401376,False,,,,11463031,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32202736}]",,[],"""0""",""".""","""true""",32.0,,41894832.0,1510256025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-09 19:35:12.596131,111190.0,86.0
2017-11-10 12:40:52.302870,slurm_normal,1510317680.0,0,176581788,mothur.align,,1.0,main_w4_handler0,3304261,17409452,False,,,,11471339,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32229300}]",,[],"""0""",""".""","""true""",32.0,,41624007.0,1510317662.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-10 12:41:28.130008,114736.0,18.0
2017-11-10 12:16:05.704418,slurm_normal,1510317775.0,0,789249539,mothur.align,,1.0,main_w3_handler1,3320025,17409338,False,,,,11471345,slurm,,132112168.0,corral-repl,,"""ea9ad94ac61011e78536005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32229080}]",,[],"""0""",""".""","""true""",32.0,,,1510317717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-10 12:42:56.962834,72172.0,58.0
2017-11-10 15:15:02.149867,slurm_normal,1510326925.0,0,176581788,mothur.align,,1.0,main_w4_handler0,3318049,17411140,False,,,,11472986,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32232224}]",,[],"""0""",""".""","""true""",32.0,,41889938.0,1510326907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-10 15:15:28.057104,112972.0,18.0
2017-11-10 17:31:49.714230,slurm_normal,1510335135.0,0,219559031,mothur.align,,1.0,main_w4_handler1,3307154,17412555,False,,,,11474404,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32234104}]",,[],"""0""",""".""","""true""",32.0,,41917246.0,1510335114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-10 17:32:20.588450,114886.0,21.0
2017-11-11 00:25:33.767527,slurm_normal,1510359959.0,0,236074403,mothur.align,,1.0,main_w4_handler1,3280801,17416487,False,,,,11478542,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32242865}]",,[],"""0""",""".""","""true""",32.0,,41923410.0,1510359937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-11 00:26:03.699191,113181.0,22.0
2018-01-11 09:51:39.007271,slurm_normal,1515668675.0,0,2449169823,mothur.align,,1.0,main_w3_handler0,3388700,18001605,False,,,,12078903,slurm,,132112168.0,corral-repl,,"""0152bfc0f6b511e7833a005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33261544}]",,[],"""0""",""".""","""true""",32.0,,,1515668492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 11:04:40.650588,72172.0,183.0
2017-11-13 19:56:43.969838,slurm_normal,1510603018.0,0,58483563,mothur.align,,1.0,main_w4_handler0,3281996,17441469,False,,,,11500239,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32289913}]",,[],"""0""",""".""","""true""",32.0,,41193079.0,1510603009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-13 19:57:00.826045,,9.0
2018-01-11 09:54:05.972374,slurm_normal,1515673254.0,0,5221436567,mothur.align,,1.0,main_w3_handler0,3388705,18001635,False,,,,12079530,slurm,,132112168.0,corral-repl,,"""59f8f6c6f6b511e79eed005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33261615}]",,[],"""0""",""".""","""true""",32.0,,,1515672863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 12:20:56.547253,72172.0,391.0
2018-01-11 12:34:49.830664,slurm_normal,1515674131.0,0,469318765,mothur.align,,1.0,main_w3_handler1,3388766,18002735,False,,,,12079673,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33263239}]",,[],"""0""","""""","""true""",32.0,,43131654.0,1515674094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 12:35:36.367903,119708.0,37.0
2018-01-11 07:59:29.814874,slurm_normal,1515678922.0,0,12353743473,mothur.align,,1.0,main_w3_handler0,3388568,18000810,False,,,,12080370,slurm,,132112168.0,corral-repl,,"""5605c2b6f6a511e7aefb005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33260262}]",,[],"""0""","""""","""true""",32.0,,,1515677984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 13:55:25.139078,113456.0,938.0
2018-01-11 08:12:44.678748,slurm_normal,1515677975.0,0,11259544777,mothur.align,,1.0,main_w4_handler0,3388606,18000948,False,,,,12080185,slurm,,132112168.0,corral-repl,,"""2fb814a4f6a711e790fa005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33260495}]",,[],"""0""","""""","""true""",32.0,,,1515677151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 13:39:38.165148,113456.0,824.0
2017-11-14 13:02:27.605262,slurm_normal,1510664557.0,0,550558,mothur.align,,1.0,main_w4_handler1,3323166,17452270,False,,,,11509978,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32305940}]",,[],"""0""",""".""","""true""",32.0,,41960222.0,1510664552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-14 13:02:39.194758,74066.0,5.0
2018-01-11 08:19:39.800388,slurm_normal,1515680509.0,0,12657367645,mothur.align,,1.0,main_w3_handler1,3388613,18001023,False,,,,12080561,slurm,,132112168.0,corral-repl,,"""262719d4f6a811e7aefb005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33260607}]",,[],"""0""","""""","""true""",32.0,,,1515679524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 14:21:53.368695,113456.0,985.0
2018-01-11 08:07:09.160549,slurm_normal,1515686752.0,0,15652153062,mothur.align,,1.0,main_w4_handler0,3388597,18000878,False,,,,12081339,slurm,,132112168.0,corral-repl,,"""661c3486f6a611e7aefb005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33260387}]",,[],"""0""","""""","""true""",32.0,,,1515685589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-11 16:05:55.588897,113456.0,1163.0
2017-11-16 06:31:39.810263,slurm_normal,1510814084.0,0,2442799176,mothur.align,,1.0,main_w4_handler0,3324258,17478228,False,,,,11535674,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32325989}]","""799F1389RPA4_S30_L001_001""",[],"""0""",""".""","""true""",32.0,,42006269.0,1510813913.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-16 06:34:51.048358,113498.0,171.0
2017-11-16 09:45:34.654285,slurm_normal,1510825594.0,0,359218123,mothur.align,,1.0,main_w3_handler0,3318340,17479215,False,,,,11536781,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32349378}]",,[],"""0""",""".""","""true""",32.0,,41242785.0,1510825565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-16 09:46:42.437375,113500.0,29.0
2017-11-16 08:26:16.373568,slurm_normal,1510820813.0,0,8509760,mothur.align,,1.0,main_w4_handler0,3318340,17478768,False,,,,11536323,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32348848}]",,[],"""0""",""".""","""true""",32.0,,41242785.0,1510820808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-16 08:27:02.461427,113500.0,5.0
2017-11-16 08:36:42.664047,slurm_normal,1510821424.0,0,8509760,mothur.align,,1.0,main_w4_handler0,3318340,17478799,False,,,,11536363,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32348848}]",,[],"""0""",""".""","""true""",32.0,,41242785.0,1510821419.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-16 08:37:15.677719,113500.0,5.0
2017-11-16 11:34:44.206150,slurm_normal,1510832277.0,0,2396142194,mothur.align,,1.0,main_w4_handler0,3324258,17480254,False,,,,11537884,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32350895}]","""799F1389RPA4_S30_L001_001""",[],"""0""",""".""","""true""",32.0,,42006269.0,1510832107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-16 11:38:11.646034,113498.0,170.0
