create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-16 01:07:33.990943,slurm_normal,1476580251.0,0,1.0,main_w4_handler0,2837731,14090560,False,,8306808.roundup,slurm,,6017111,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,true,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b509c2c4024cf29cf5'}]",1,200,png,false,yes,1,TTS,yes,TSS,32.0,,33654434,1476580229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 01:10:55.159482,51951,22.0
2016-10-16 01:38:43.896304,slurm_normal,1476582300.0,0,1.0,main_w4_handler1,2837731,14090611,False,,8306885.roundup,slurm,,874012,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57aa8da40ef9f2117'}]",0,,,,no,1,TTS,yes,TSS,32.0,,33654434,1476582283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 01:45:04.293799,51951,17.0
2016-10-16 01:49:48.540689,slurm_normal,1476582771.0,0,1.0,main_w4_handler0,2837731,14090646,False,,8306913.roundup,slurm,,874012,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57aa8da40ef9f2117'}]",1,200,png,false,yes,1,TTS,yes,TSS,32.0,,33654434,1476582756.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 01:52:53.733472,51951,15.0
2017-02-21 03:56:56.431026,slurm_normal,1487649561.0,0,1.0,main_w4_handler1,2677832,15092099,False,,9247119.roundup,slurm,,110860,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 26841512}]",1,200,png,false,yes,0,,no,,32.0,,35577942,1487649546.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2017-02-21 03:59:25.169085,40922,15.0
2016-10-16 22:39:13.728878,slurm_normal,1476658113.0,0,1.0,main_w4_handler0,2776915,14093884,False,,8309702.roundup,slurm,,29359420,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/danRer10.len""","""danRer10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf6d157ff1940794'}]",0,,,,no,0,,no,,32.0,,31745742,1476658082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 22:48:35.498890,65128,31.0
2016-10-16 20:07:14.940464,slurm_normal,1476648628.0,0,1.0,main_w4_handler1,2856899,14093303,False,,8309229.roundup,slurm,,449,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3638c8c132b363c'}]",0,,,,no,0,,no,,32.0,,33738245,1476648611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 20:10:30.812103,92286,17.0
2016-10-16 20:35:35.057943,slurm_normal,1476650329.0,0,1.0,main_w4_handler1,2856899,14093431,False,,8309317.roundup,slurm,,866,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52d3d3326efe48594'}]",0,,,,no,0,,no,,32.0,,33738245,1476650314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 20:38:50.837780,92286,15.0
2016-10-16 21:11:08.251537,slurm_normal,1476652457.0,0,1.0,main_w3_handler1,2856899,14093591,False,,8309423.roundup,slurm,,325,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53562d175604e990b'}]",0,,,,no,0,,no,,32.0,,33738245,1476652444.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 21:14:18.840321,92286,13.0
2016-10-16 22:09:48.272392,slurm_normal,1476656040.0,0,1.0,main_w3_handler1,2776915,14093823,False,,8309643.roundup,slurm,,1678591,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/danRer10.len""","""danRer10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51b4712721669ba8a'}]",0,,,,no,0,,no,,32.0,,31745742,1476656022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 22:14:02.026160,65128,18.0
2016-10-16 21:38:29.848547,slurm_normal,1476654114.0,0,1.0,main_w3_handler0,2856899,14093764,False,,8309585.roundup,slurm,,974,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,5,,fill,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bcc04ef85f18526f'}]",1,200,png,false,yes,0,,no,,32.0,,33738245,1476654098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 21:41:56.476518,92286,16.0
