bgzip,bgzip_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bgzip,parameters.bgzip.values,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1422135,bgzip,,,2017-06-04 19:51:39.020625,slurm_normal,1496605913.0,0.0,,1.0,main_w4_handler1,2991328,16010358,False,,8768905,interval,10103477.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29885052}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29885018}]",32.0,,36584128,1496605908.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-06-04 19:51:55.242820,92765.0,5.0
77692,bgzip,,,2014-09-29 10:03:01.012609,roundup_single,1411984991.0,0.0,,1.0,main_w1_handler0,1936765,7892271,False,,692184,interval,1872918,slurm,,132112264.0,corral-repl,,17082007,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",15784353,,32.0,,16931568,1411984989.0,ok,1023992.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-09-29 10:03:12.983143,3131.0,2.0
510935,bgzip,,,2017-03-16 14:44:55.484166,slurm_normal,1489675512.0,0.0,,1.0,main_w4_handler1,3031277,15314133,False,,2280516,interval,9455756.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28788199}]","""/galaxy-repl/main/files/019/223/dataset_19223556.dat""","""PAO1_chr""",,"[{'src': 'hda', 'id': 28787034}]",32.0,,36660248,1489675503.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-03-16 14:45:17.827662,102197.0,9.0
226,bgzip,,,2015-04-02 15:42:29.353921,slurm_normal,1427989367.0,0.0,,1.0,main_w2_handler1,2201854,9125247,False,,382,chrint,3410213.roundup,slurm,,132112168.0,corral-repl,,19124653,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19124638,,32.0,,21176682,1427989364.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-04-02 15:42:49.587099,59462.0,3.0
474,bgzip,,,2017-02-06 09:04:16.459828,slurm_normal,1486371863.0,0.0,,1.0,main_w3_handler0,2983146,14958201,False,,1407,interval,9115693.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28223069}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28221904}]",32.0,,35090770,1486371860.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-02-06 09:04:26.154957,2108.0,3.0
36231,bgzip,,,2015-07-26 21:52:00.737005,slurm_normal,1437947549.0,0.0,,1.0,main_w1_handler2,2384440,10000881,False,,82078,interval,4283485.roundup,slurm,,132112168.0,corral-repl,,20570821,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",20529108,,32.0,,24303296,1437947545.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-07-26 21:52:34.896327,66646.0,4.0
13615637,bgzip,,,2014-11-11 06:51:10.505267,rodeo_normal,1415688683.0,0.0,,1.0,main_w2_handler1,1504208,8141460,False,,108360533,interval,176222.rodeo,slurm,,16332532.0,corral-repl,,17494133,,"""/galaxy-repl/main/psufiles/005/541/dataset_5541384.dat""","""oyster_v9_90""",17494128,,2.0,,18460647,1415688677.0,ok,0.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-11-11 06:51:28.255962,29354.0,6.0
4538540,bgzip,,,2015-01-31 18:56:03.914049,rodeo_normal,1422730587.0,0.0,,1.0,main_w1_handler0,2189958,8643698,False,,79368248,interval,2606055.roundup,slurm,,132112168.0,corral-repl,,18360196,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",18359981,,32.0,,20762478,1422730584.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-01-31 18:56:29.220291,53064.0,3.0
30302,bgzip,,,2015-10-06 19:16:53.330561,slurm_normal,1444160168.0,0.0,,1.0,main_w1_handler2,1844004,10512966,False,,128157,interval,4788272.roundup,slurm,,132112168.0,corral-repl,,21420452,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21420363,,32.0,,24961013,1444160164.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 19:36:10.969580,46626.0,4.0
387,bgzip,,,2014-12-01 16:13:40.760088,rodeo_normal,1417450438.0,0.0,,1.0,main_w2_handler1,1715561,8282023,False,,1227,interval,2152634.roundup,slurm,,132112264.0,corral-repl,,17730431,,"""/galaxy-repl/main/files/007/116/dataset_7116420.dat""","""Myostatin_Miseq_Custom""",17730397,,32.0,,19839939,1417450435.0,ok,1023992.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-12-01 16:14:00.945265,41354.0,3.0
1984053,bgzip,,,2017-08-29 04:37:54.424094,slurm_normal,1503981484.0,0.0,,1.0,main_w4_handler0,3232294,16679153,False,,7160908,interval,10751248.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 31011103}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31004503}]",32.0,,40097742,1503981480.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-08-29 04:38:06.181099,110526.0,4.0
33532,bgzip,26872.0,len,2014-11-21 19:06:47.445509,rodeo_normal,1416596818.0,0.0,,1.0,main_w1_handler0,2125910,8223774,False,,111665,interval,288965.rodeo,slurm,,16332532.0,corral-repl,,17639849,,"""/galaxy-repl/main/files/009/741/dataset_9741915.dat""","""?""",17639305,,2.0,,19647429,1416596814.0,ok,0.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-11-21 19:07:05.382498,56291.0,4.0
1483,bgzip,38.0,len,2015-03-24 16:28:17.026521,rodeo_normal,1427214764.0,0.0,,1.0,main_w2_handler0,2228531,9025257,False,,7206,interval,3310309.roundup,slurm,,132112168.0,corral-repl,,18976895,,"""/galaxy-repl/main/files/010/775/dataset_10775408.dat""","""000913.3""",18743096,,32.0,,21300860,1427214746.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-03-24 16:32:53.227450,59786.0,18.0
10416,bgzip,,,2015-12-20 00:53:59.789724,slurm_normal,1450572872.0,0.0,,1.0,main_w1_handler2,2526738,11256237,False,,48000,interval,5533026.roundup,slurm,,132112168.0,corral-repl,,22561828,,"""/galaxy-repl/main/files/013/195/dataset_13195165.dat""","""Arabidopsis_v1""",22561720,,32.0,,26731686,1450572868.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-12-20 00:54:40.803136,73455.0,4.0
84742,bgzip,,,2015-10-06 19:17:16.808113,slurm_normal,1444159665.0,0.0,,1.0,main_w1_handler2,1844004,10512972,False,,360058,interval,4788146.roundup,slurm,,132112168.0,corral-repl,,21420445,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21420371,,32.0,,24961013,1444159646.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 19:27:48.217467,46626.0,19.0
58293,bgzip,,,2015-10-06 19:17:37.823629,slurm_normal,1444160299.0,0.0,,1.0,main_w2_handler1,1844004,10512976,False,,246348,interval,4788302.roundup,slurm,,132112168.0,corral-repl,,21420450,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21420364,,32.0,,24961013,1444160295.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 19:38:23.288647,46626.0,4.0
12900,bgzip,,,2015-07-07 16:20:57.652235,slurm_normal,1436286094.0,0.0,,1.0,main_w2_handler1,2366295,9805129,False,,31676,interval,4105680.roundup,slurm,,132112168.0,corral-repl,,20251902,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20250539,,32.0,,24008046,1436286085.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-07-07 16:21:38.366402,65674.0,9.0
33113,bgzip,,,2015-10-06 18:47:05.856174,slurm_normal,1444157460.0,0.0,,1.0,main_w1_handler2,1844004,10512472,False,,122975,interval,4787696.roundup,slurm,,132112168.0,corral-repl,,21419880,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",21418779,,32.0,,24961013,1444157450.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-10-06 18:51:04.009019,46626.0,10.0
4187,bgzip,,,2014-09-29 07:39:47.092785,roundup_single,1411976403.0,0.0,,1.0,main_w1_handler0,2065408,7891470,False,,12876,interval,1872269,slurm,,132112264.0,corral-repl,,17080387,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",17036955,,32.0,,17210786,1411976401.0,ok,1023992.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-09-29 07:40:05.077227,4252.0,2.0
7893,bgzip,,,2014-11-17 16:54:26.489104,rodeo_normal,1416243281.0,0.0,,1.0,main_w2_handler0,2001736,8185619,False,,38398,interval,234603.rodeo,slurm,,16332532.0,corral-repl,,17575757,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16266714,,2.0,,19559606,1416243275.0,ok,0.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-11-17 16:54:47.910427,28385.0,6.0
373,bgzip,,,2014-11-10 10:01:23.453633,rodeo_normal,1415613693.0,0.0,,1.0,main_w2_handler1,2112251,8134480,False,,727,interval,166478.rodeo,slurm,,8059880.0,corral-repl,,17480451,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17480429,,1.0,,18434941,1415613689.0,ok,835576.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-11-10 10:01:36.693612,55638.0,4.0
