create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.l,parameters.addition.r,parameters.addition.w,parameters.bed,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.nooverlaps,parameters.number,parameters.original,parameters.strandB,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-20 17:03:34.647732,slurm_normal,1469034386.0,0,1.0,main_w2_handler1,2771367,13453763,False,,47817,bed,1018119,bed,7667762.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,1000000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:06:33.300660,77870.0,10.0
2016-07-20 17:03:29.494913,slurm_normal,1469034368.0,0,1.0,main_w1_handler0,2771367,13453758,False,,47817,bed,1018119,bed,7667758.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,1,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:06:10.516539,77870.0,4.0
2016-07-20 17:03:30.763281,slurm_normal,1469034372.0,0,1.0,main_w1_handler0,2771367,13453759,False,,47817,bed,1018119,bed,7667759.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:06:14.932628,77870.0,5.0
2016-07-20 17:03:33.986109,slurm_normal,1469034462.0,0,1.0,main_w2_handler0,2771367,13453762,False,,47817,bed,1018119,bed,7667761.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,500000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:07:45.514216,77870.0,6.0
2016-07-20 17:03:31.303357,slurm_normal,1469034394.0,0,1.0,main_w1_handler1,2771367,13453760,False,,47817,bed,1018119,bed,7667765.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,10000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:06:36.658881,77870.0,10.0
2016-07-20 17:03:32.002958,slurm_normal,1469034530.0,0,1.0,main_w1_handler1,2771367,13453761,False,,47817,bed,1018119,bed,7667766.roundup,slurm,,132112168.0,corral-repl,,"""dce942fc4e9b11e6805c005056a51846""",0,window,,,100000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c059ed0f4a290f82'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a6cc2fe87db4252'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469034385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 17:08:57.492260,77870.0,145.0
2016-09-23 12:57:23.722509,slurm_normal,1474635507.0,0,1.0,main_w3_handler0,2826273,13925095,False,,5363866,bed,280,bed,8147343.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,100,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b587dded461c92c9c8'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b539ba7a645ad6bafe'}]","""false""","""false""","""true""","""""",32.0,,33097278.0,1474635501.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-09-23 12:58:33.729584,16906.0,6.0
2016-09-23 13:57:15.211209,slurm_normal,1474639241.0,0,1.0,main_w3_handler0,2504773,13925611,False,,1548062,bed,861722,bed,8148011.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,1,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51221e139906b74a3'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54b9393bfbf89c54c'}]","""false""","""false""","""false""","""""",32.0,,33123869.0,1474639185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-09-23 14:00:44.060266,73359.0,56.0
2016-07-20 12:10:42.634337,slurm_normal,1469016897.0,0,1.0,main_w1_handler1,2771069,13451714,False,,47817,bed,5229096,bed,7665582.roundup,slurm,,132112168.0,corral-repl,,"""f79934504e7211e6afa4005056a52a46""",0,window,,,1,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9bc416cffffe99e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469016892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 12:14:59.754657,77870.0,5.0
2016-07-20 12:10:44.513313,slurm_normal,1469016899.0,0,1.0,main_w2_handler0,2771069,13451716,False,,47817,bed,5229096,bed,7665583.roundup,slurm,,132112168.0,corral-repl,,"""f79934504e7211e6afa4005056a52a46""",0,window,,,5000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9bc416cffffe99e'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469016895.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 12:15:01.431380,77870.0,4.0
