chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage_cap,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.minimum_base_quality,parameters.minimum_mapping_quality,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-02 11:47:53.534549,slurm_normal_16gb,1456919472.0,0,1.0,main_w1_handler2,2601192,11990942,False,,173290467,sam,6221167.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23597053,,,"""20""","""20""",1,23369175,,history,"""LENIENT""",32.0,60311570.0,fasta,,28417368.0,1456919396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-02 11:51:20.197176,78693,76.0
,,2016-03-02 11:47:53.945507,slurm_normal_16gb,1456919617.0,0,1.0,main_w1_handler0,2601192,11990943,False,,58834006,sam,6221191.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23597054,,,"""20""","""20""",1,23369175,,history,"""LENIENT""",32.0,60311570.0,fasta,,28417368.0,1456919498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-02 11:53:44.120640,78693,119.0
,,2016-03-02 11:47:54.495932,slurm_normal_16gb,1456919518.0,0,1.0,main_w1_handler2,2601192,11990944,False,,48653293,sam,6221192.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23597057,,,"""20""","""20""",1,23369175,,history,"""LENIENT""",32.0,60311570.0,fasta,,28417368.0,1456919498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-02 11:52:02.282649,78693,20.0
38.0,len,2016-03-07 22:10:42.543375,slurm_normal_16gb,1457389266.0,0,1.0,main_w2_handler1,2513771,12061997,False,,187844111,bam,6284283.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/013/387/dataset_13387156.dat""","""250""","""?""",23727672,,,"""20""","""20""",1,22224625,,history,"""LENIENT""",32.0,9989.0,fasta,,28362318.0,1457389230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-07 22:21:08.221889,46602,36.0
38.0,len,2016-03-07 22:11:41.664319,slurm_normal_16gb,1457389868.0,0,1.0,main_w1_handler0,2513771,12062002,False,,46566075,bam,6284356.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/013/387/dataset_13387156.dat""","""250""","""?""",23727784,,,"""20""","""20""",1,23727276,,history,"""LENIENT""",32.0,9989.0,fasta,,28362318.0,1457389855.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-07 22:31:10.249302,46602,13.0
,,2017-04-07 13:43:09.507896,slurm_normal,1491573138.0,0,1.0,main_w3_handler0,2978039,15520228,False,,3120132761,bam,9646865.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""250""","""dm3""",,"[{'src': 'hda', 'id': 29108310}]",,"""20""","""20""",0,dm3,,cached,"""LENIENT""",32.0,,,,37059738.0,1491572592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2017-04-07 13:55:07.005290,98932,546.0
,,2016-07-06 12:34:13.458348,slurm_normal_16gb,1467809242.0,0,1.0,main_w2_handler0,2758874,13343633,False,,84536883,bam,7552500.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""250""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f92bfcebfa2f053'}]",,"""20""","""20""",0,hg_g1k_v37,,cached,"""LENIENT""",32.0,,,,31303762.0,1467808518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-07-06 12:47:28.673441,28216,724.0
,,2016-07-06 17:11:46.269257,slurm_normal_16gb,1467825216.0,0,1.0,main_w1_handler0,2759266,13345721,False,,8772732,bam,7554780.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b1f86e58574c385'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e8cc483b22cf5b7'}]",history,"""LENIENT""",32.0,17817144.0,fasta,,31311695.0,1467825153.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-07-06 17:13:43.121285,87059,63.0
,,2016-07-08 02:27:13.705093,slurm_normal_16gb,1467945667.0,0,1.0,main_w2_handler1,2760592,13358150,False,,218634021,sam,7568050.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/panTro4.len""","""250""","""panTro4""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5111ef4dca05778ba'}]",,"""20""","""20""",0,panTro4,,cached,"""LENIENT""",32.0,,,,31335054.0,1467944907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-07-08 02:41:09.689222,87118,760.0
859230.0,len,2016-10-17 23:22:30.407419,slurm_normal,1476746671.0,0,1.0,main_w3_handler1,2736511,14103156,False,,335077381,bam,8318153.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5676fbc80c0bad7b5'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be65cf752de7d7cd'}]",history,"""LENIENT""",32.0,17139.0,fasta,,33770306.0,1476746588.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-17 23:24:36.318059,85997,83.0
,,2016-03-28 23:16:19.125766,slurm_normal_16gb,1459207044.0,0,1.0,main_w1_handler2,2646047,12265461,False,,387087171,bam,6475671.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/31.len""","""250""","""31""",24009793,,,"""20""","""20""",1,24009481,,history,"""LENIENT""",32.0,5754012.0,fasta,,29183972.0,1459206994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-28 23:17:26.086523,70316,50.0
,,2017-04-07 15:48:46.386625,slurm_normal,1491580646.0,0,1.0,main_w4_handler1,2978039,15522074,False,,3242476549,bam,9648570.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""250""","""dm3""",,"[{'src': 'hda', 'id': 29120266}]",,"""20""","""20""",0,dm3,,cached,"""LENIENT""",32.0,,,,37059738.0,1491580132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2017-04-07 15:57:27.987397,98932,514.0
,,2016-10-19 09:44:28.300617,slurm_normal,1476870312.0,0,1.0,main_w4_handler1,2699298,14116435,False,,912364367,bam,8330355.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""300""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2cccc7dfacb557a'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508803677fef2c70c'}]",history,"""LENIENT""",32.0,5517925.0,fasta,,33787760.0,1476870276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-19 09:45:13.816383,84107,36.0
,,2016-06-01 09:15:42.854678,slurm_normal_16gb,1464772704.0,0,1.0,main_w2_handler1,2714675,13038255,False,,229050480,bam,7218568.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bb40a4b0038fcfd'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b04736af68a7858'}]",history,"""LENIENT""",32.0,6270261.0,fasta,,29463422.0,1464772571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-01 09:18:27.165872,75878,133.0
,,2016-06-02 15:25:28.797639,slurm_normal_16gb,1464882086.0,0,1.0,main_w2_handler0,2717146,13050569,False,,3139596389,bam,7236530.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b535e550293afcd7ca'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ea1aed38c26b05b'}]",history,"""LENIENT""",32.0,2102361699.0,fasta,,30534696.0,1464881159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-02 15:41:29.863197,84831,927.0
36.0,len,2016-10-20 03:25:02.716487,slurm_normal,1476933944.0,0,1.0,main_w3_handler1,2736511,14125018,False,,157836443,bam,8339667.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/528/dataset_17528144.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5427328bc40c21a86'}]","""FT3852_S1_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be65cf752de7d7cd'}]",history,"""LENIENT""",32.0,17139.0,fasta,,33770306.0,1476933908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-20 03:25:45.845372,85997,36.0
36.0,len,2016-10-20 03:25:03.171122,slurm_normal,1476933959.0,0,1.0,main_w3_handler0,2736511,14125019,False,,624824947,bam,8339668.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/528/dataset_17528144.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3792916ce6661c7'}]","""FT3860_S2_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be65cf752de7d7cd'}]",history,"""LENIENT""",32.0,17139.0,fasta,,33770306.0,1476933908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-20 03:26:02.780960,85997,51.0
36.0,len,2016-10-20 03:25:03.662039,slurm_normal,1476933960.0,0,1.0,main_w3_handler0,2736511,14125020,False,,366818180,bam,8339669.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/528/dataset_17528144.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce092a6c2aaa2439'}]","""FT3920_S4_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be65cf752de7d7cd'}]",history,"""LENIENT""",32.0,17139.0,fasta,,33770306.0,1476933929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-20 03:26:03.091323,85997,31.0
36.0,len,2016-10-20 03:25:02.105146,slurm_normal,1476934018.0,0,1.0,main_w4_handler1,2736511,14125017,False,,416538306,bam,8339666.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/528/dataset_17528144.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595332d0917aa3c6b'}]","""FT3653_S3_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be65cf752de7d7cd'}]",history,"""LENIENT""",32.0,17139.0,fasta,,33770306.0,1476933904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-20 03:27:00.559226,85997,114.0
,,2016-06-15 22:33:49.556562,slurm_normal_16gb,1466030428.0,0,1.0,main_w1_handler0,2736511,13176016,False,,517498110,bam,7360042.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1c88b6c48a99830'}]","""Bowtie2 on data 15, data 92, and data 91: aligned reads (sorted BAM)""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466030048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-15 22:40:32.939340,85997,380.0
,,2016-06-15 22:33:49.940652,slurm_normal_16gb,1466030540.0,0,1.0,main_w1_handler1,2736511,13176017,False,,583323180,bam,7360063.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57f3ae1842f1ea4bb'}]","""Bowtie2 on data 15, data 80, and data 79: aligned reads (sorted BAM)""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466030129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-15 22:42:23.365941,85997,411.0
,,2016-06-15 22:33:50.862858,slurm_normal_16gb,1466031129.0,0,1.0,main_w2_handler1,2736511,13176019,False,,228719590,bam,7360274.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a8f79453a074584'}]","""Bowtie2 on data 15, data 84, and data 83: aligned reads (sorted BAM)""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466030830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-15 22:52:13.593935,85997,299.0
,,2016-06-15 22:33:50.319220,slurm_normal_16gb,1466031136.0,0,1.0,main_w2_handler1,2736511,13176018,False,,867659426,bam,7360213.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae606393e885ee62'}]","""Bowtie2 on data 15, data 88, and data 87: aligned reads (sorted BAM)""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466030568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-15 22:52:20.173798,85997,568.0
,,2016-06-16 03:45:32.031202,slurm_normal_16gb,1466049472.0,0,1.0,main_w1_handler1,2736511,13179230,False,,2100584214,bam,7363720.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eacbf9949c337d4d'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466048950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-16 03:57:54.479153,85997,522.0
,,2016-08-01 04:33:55.478584,slurm_normal_16gb,1470040518.0,0,1.0,main_w1_handler0,2717113,13547107,False,,2567627787,bam,7759066.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""250""","""rn6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4143f0510deeb98'}]",,"""20""","""20""",0,rn6,,cached,"""LENIENT""",32.0,,,,30983209.0,1470026067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-08-01 08:35:19.011475,50398,14451.0
,,2016-08-11 02:58:06.251553,slurm_normal_16gb,1470884462.0,0,1.0,main_w1_handler1,2742167,13640800,False,,254102670,bam,7855328.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd9e29e17bf1ab19'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d546d33d4024a5fb'}]",history,"""LENIENT""",32.0,4696033.0,fasta,,32140128.0,1470884401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-08-11 03:01:03.942818,86264,61.0
428327.0,len,2016-10-24 11:19:33.880522,slurm_normal,1477308051.0,0,1.0,main_w3_handler0,2850634,14157334,False,,168143890,bam,8368285.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/017/331/dataset_17331942.dat""","""250""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f4c2699c37fce9d'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50119c9a71c68fd0f'}]",history,"""LENIENT""",32.0,29436600.0,fasta,,33869798.0,1477308011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-10-24 11:20:52.647847,91998,40.0
,,2016-11-08 19:26:55.267236,slurm_normal,1478640265.0,0,1.0,main_w3_handler1,2876260,14288033,False,,66356066,bam,8496420.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4b3a592ac86bc76'}]",,"""20""","""20""",0,hg19,,cached,"""LENIENT""",32.0,,,,34007988.0,1478639109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-11-08 21:24:29.202516,92427,1156.0
,,2016-11-08 22:26:11.159046,slurm_normal,1478645739.0,0,1.0,main_w3_handler0,2736511,14289407,False,,725673923,bam,8497494.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/melUnd1.len""","""250""","""melUnd1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524e2ac8c0d85778f'}]","""FT3860_S2_L001__001""","""20""","""20""",0,melUnd1,,cached,"""LENIENT""",32.0,,,,33770306.0,1478645080.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-11-08 22:55:42.757745,85997,659.0
