chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-04-07 14:46:36.190343,slurm_normal,1428418025.0,0,1.0,main_w1_handler1,2262284,9159263,False,,3441191.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174286,32.0,,21326421,1428418022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:47:07.598923,52171.0,272365,vcf,3.0
,,2015-04-07 14:38:33.377757,slurm_normal,1428417545.0,0,1.0,main_w2_handler0,2262241,9158883,False,,3441047.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174325,32.0,,22292354,1428417542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:39:09.407881,59853.0,272365,vcf,3.0
,,2015-04-07 14:49:15.282748,slurm_normal,1428418218.0,0,1.0,main_w2_handler0,2262264,9159353,False,,3441233.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",19174493,32.0,,22292515,1428418202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:50:29.991762,59559.0,272365,vcf,16.0
,,2015-04-07 14:48:05.475780,slurm_normal,1428418194.0,0,1.0,main_w2_handler0,2262269,9159319,False,,3441210.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174511,32.0,,22293147,1428418177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:50:00.243071,59881.0,272365,vcf,17.0
,,2015-04-07 14:52:37.829697,slurm_normal,1428418385.0,0,1.0,main_w2_handler0,2262280,9159506,False,,3441290.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174499,32.0,,22292685,1428418382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:53:11.381299,59872.0,272365,vcf,3.0
,,2015-04-07 14:38:33.065575,slurm_normal,1428417635.0,0,1.0,main_w1_handler0,2261722,9158882,False,,3441073.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174181,32.0,,22292302,1428417632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:40:37.107523,59850.0,272365,vcf,3.0
,,2015-04-07 14:42:45.523050,slurm_normal,1428417795.0,0,1.0,main_w1_handler0,2209653,9159017,False,,3441124.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19Haps.len""","""hg19Haps""",19174505,32.0,,22292686,1428417791.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:43:19.441279,59788.0,272365,vcf,4.0
,,2015-04-07 14:50:54.594177,slurm_normal,1428418274.0,0,1.0,main_w2_handler1,2212225,9159420,False,,3441258.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19174562,32.0,,22292837,1428418270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:51:20.175526,59879.0,272365,vcf,4.0
,,2015-04-07 14:49:01.277092,slurm_normal,1428418176.0,0,1.0,main_w1_handler0,2262284,9159343,False,,3441223.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174286,32.0,,21326421,1428418172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:49:42.632217,52171.0,272365,vcf,4.0
,,2015-04-07 14:51:09.395011,slurm_normal,1428418295.0,0,1.0,main_w1_handler0,2212225,9159439,False,,3441263.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19174562,32.0,,22292837,1428418292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:51:38.726774,59879.0,272365,vcf,3.0
