chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.header,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-26 13:53:02.657700,slurm_normal,1461678856.0,0,1.0,main_w2_handler0,2665041,12623390,False,,495140107,bed,6826788.roundup,slurm,,132112168.0,corral-repl,,,"[{""__index__"": 0, ""operation"": ""sum"", ""col"": ""1""}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b541bda895a75aae6a'}]",,"""""",32.0,,29661133.0,1461678793.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-04-26 13:54:19.109521,82288.0,63.0
,,2016-01-31 18:58:16.117446,slurm_normal,1454266709.0,0,1.0,main_w1_handler2,2570541,11649344,False,,10411424,bed,5910211.roundup,slurm,,132112168.0,corral-repl,,,"[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""6""}, {""__index__"": 1, ""operation"": ""distinct"", ""col"": ""13""}, {""__index__"": 2, ""operation"": ""distinct"", ""col"": ""14""}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""False""",23105693,,,"""-s""",32.0,,27148950.0,1454266705.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-31 18:58:31.701000,54005.0,4.0
,,2016-01-31 18:46:16.883228,slurm_normal,1454265995.0,0,1.0,main_w2_handler1,2570541,11649323,False,,10411424,bed,5910152.roundup,slurm,,132112168.0,corral-repl,,,"[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""6""}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","""False""",23105693,,,"""-s""",32.0,,27148950.0,1454265990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-31 18:46:39.154727,54005.0,5.0
,,2016-02-01 06:01:22.773274,slurm_normal,1454306501.0,0,1.0,main_w1_handler1,2578073,11653952,False,,294947,bed,5914144.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""True""",23111116,,,"""""",32.0,,27761177.0,1454306497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 06:01:44.335552,,4.0
,,2016-02-01 05:51:49.668862,slurm_normal,1454305926.0,0,1.0,main_w1_handler2,2578073,11653918,False,,294947,bed,5914061.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""False""",23111116,,,"""""",32.0,,27761177.0,1454305920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 05:52:10.146927,,6.0
,,2016-02-01 05:55:18.615879,slurm_normal,1454306133.0,0,1.0,main_w1_handler2,2578073,11653948,False,,236528,bed,5914106.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""False""",23111126,,,"""""",32.0,,27761177.0,1454306129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 05:55:36.506898,,4.0
,,2016-02-01 05:56:52.288658,slurm_normal,1454306226.0,0,1.0,main_w1_handler1,2578073,11653950,False,,236528,bed,5914123.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","""False""",23111156,,,"""""",32.0,,27761177.0,1454306222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 05:57:11.790358,,4.0
,,2016-02-01 06:03:42.207312,slurm_normal,1454306650.0,0,1.0,main_w1_handler0,2578073,11653956,False,,294947,bed,5914166.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""True""",23111116,,,"""""",32.0,,27761177.0,1454306647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 06:04:21.052427,,3.0
,,2016-02-01 07:05:38.859086,slurm_normal,1454310354.0,0,1.0,main_w2_handler0,2578073,11654050,False,,294947,bed,5914579.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""True""",23111116,,,"""""",32.0,,27761177.0,1454310350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-02-01 07:06:02.911345,,4.0
,,2016-06-17 08:14:04.931451,slurm_normal,1466151263.0,0,1.0,main_w2_handler1,2740460,13191068,False,,1582626,bed,7375813.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ccc838addb885bc1'}]",,"""-s""",32.0,,30895939.0,1466151259.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 08:14:26.092346,,4.0
