create_time,destination_id,end_epoch,exit_code,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.header,parameters.adv.matepairDist,parameters.adv.minMapq,parameters.adv.primary,parameters.adv.region,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-27 11:04:53.776755,slurm_normal,1477567072.0,0,,,1.0,main_w3_handler1,2802419,14189503,False,,8401944.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2243594,,accession_number,"""bam""",32.0,,33899445,1477566325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-27 11:17:56.355448,57553.0,747.0
2016-10-27 11:05:47.180179,slurm_normal,1477567031.0,0,,,1.0,main_w4_handler0,2802419,14189518,False,,8401956.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR2243594,,accession_number,"""bam""",32.0,,33899445,1477566402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-27 11:17:16.631605,57553.0,629.0
2016-10-28 08:13:07.310966,slurm_normal,1477642623.0,0,,,1.0,main_w3_handler1,2871547,14198109,False,,8409806.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR070431,,accession_number,"""sam""",32.0,,33944971,1477642425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-28 08:17:06.195352,93196.0,198.0
2016-10-28 08:19:18.655252,slurm_normal,1477643100.0,0,,,1.0,main_w4_handler0,2871547,14198139,False,,8409831.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR070423,,accession_number,"""sam""",32.0,,33944971,1477642800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-28 08:25:03.431597,93196.0,300.0
2016-10-28 08:19:01.613176,slurm_normal,1477643525.0,0,,,1.0,main_w4_handler0,2871547,14198136,False,,8409829.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR070422,,accession_number,"""sam""",32.0,,33944971,1477642782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-28 08:32:07.776433,93196.0,743.0
2016-10-28 08:18:39.547277,slurm_normal,1477644831.0,0,,,1.0,main_w4_handler0,2871547,14198135,False,,8409826.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR100283,,accession_number,"""sam""",32.0,,33944971,1477642764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-28 08:53:57.863413,93196.0,2067.0
2016-11-01 14:39:12.704300,slurm_normal,1478011761.0,0,,,1.0,main_w4_handler0,2871148,14225205,False,,8435197.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR502937,,accession_number,"""bam""",32.0,,33913539,1478011183.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-11-01 14:49:25.914844,46530.0,578.0
2016-11-01 14:38:00.145139,slurm_normal,1478011339.0,0,,,1.0,main_w4_handler0,2871148,14225166,False,,8435156.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR502902,,accession_number,"""bam""",32.0,,33913539,1478011116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-11-01 14:42:24.020130,46530.0,223.0
2016-11-01 14:38:52.465669,slurm_normal,1478011693.0,0,,,1.0,main_w4_handler0,2871148,14225194,False,,8435184.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR502935,,accession_number,"""bam""",32.0,,33913539,1478011164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-11-01 14:48:16.400994,46530.0,529.0
2016-11-01 14:39:02.535014,slurm_normal,1478011803.0,0,,,1.0,main_w4_handler0,2871148,14225201,False,,8435194.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR502936,,accession_number,"""bam""",32.0,,33913539,1478011180.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-11-01 14:50:06.931876,46530.0,623.0
