chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_collection1,input_collection1_filetype,input_collection2,input_collection2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_type.__current_case__,parameters.input_type.input_collection.values,parameters.input_type.input_type_selector,parameters.input_type.read1.values,parameters.input_type.read2.values,parameters.minOverlap,parameters.pctMaxDiff,parameters.splitChar,parameters.stitchLengthReport,processor_count,read1,read1_filetype,read2,read2_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-17 12:00:42.163828,slurm_normal,1513512060.0,0,,1.0,main_w3_handler1,3341152,17829599,False,,,,,,11902809,slurm,,132112168.0,corral-repl,,"""e46e5f0ae32111e7b2e1005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714086}]","[{'src': 'hda', 'id': 32714088}]","""4""","""10.0""",""" ""","""false""",32.0,39797378.0,fastqsanger,39810510.0,fastqsanger,,,1513512052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 12:01:03.454995,117327.0,8.0
,,2017-12-17 12:06:59.537365,slurm_normal,1513512440.0,0,,1.0,main_w3_handler0,3341152,17829624,False,,,,,,11902842,slurm,,132112168.0,corral-repl,,"""c670bf92e32211e7b376005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714089}]","[{'src': 'hda', 'id': 32714090}]","""4""","""10.0""",""" ""","""false""",32.0,9812464.0,fastqsanger,9789118.0,fastqsanger,,,1513512435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 12:07:25.393472,117327.0,5.0
,,2017-12-17 12:16:14.717979,slurm_normal,1513512992.0,0,,1.0,main_w3_handler1,3341152,17829662,False,,,,,,11902899,slurm,,132112168.0,corral-repl,,"""116705aae32411e7913f005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714095}]","[{'src': 'hda', 'id': 32714097}]","""4""","""10.0""",""" ""","""false""",32.0,13355166.0,fastqsanger,13306008.0,fastqsanger,,,1513512986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 12:16:36.608253,117327.0,6.0
,,2018-03-02 16:09:56.128527,slurm_normal,1520007014.0,0,7680.0,1.0,main_w3_handler0,3449345,18583148,False,,,,,,12677909,slurm,,132112168.0,corral-repl,,"""242617081e3411e8bd85005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch11.len""","""hg38Patch11""",0,,paired,"[{'src': 'hda', 'id': 34168627}]","[{'src': 'hda', 'id': 34168654}]","""10""","""8.0""",""" ""","""false""",32.0,80128844.0,fastqsanger,80128844.0,fastqsanger,,,1520007003.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2018-03-02 16:10:22.432550,64295.0,11.0
,,2017-12-18 16:22:13.846413,slurm_normal,1513614153.0,0,,1.0,main_w3_handler0,3080356,17839370,False,,,,,,11913635,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986479}]","[{'src': 'hda', 'id': 32986422}]","""6""","""8.0""",""" ""","""false""",32.0,77638388.0,fastqsanger,77787124.0,fastqsanger,,41168800.0,1513614141.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:22:36.112078,80368.0,12.0
,,2017-12-18 11:44:24.797941,slurm_normal,1513597506.0,0,,1.0,main_w3_handler0,3327546,17836538,False,,,,,,11910422,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32794600}]","[{'src': 'hda', 'id': 32794606}]","""6""","""8.0""",""" ""","""false""",32.0,285399133.0,fastqsanger,285746145.0,fastqsanger,,42151032.0,1513597474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 11:45:07.960638,116837.0,32.0
,,2017-12-18 16:25:58.303743,slurm_normal,1513614383.0,0,,1.0,main_w4_handler1,3080356,17839479,False,,,,,,11913695,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986243}]","[{'src': 'hda', 'id': 32986235}]","""6""","""8.0""",""" ""","""false""",32.0,64413746.0,fastqsanger,64539354.0,fastqsanger,,41168800.0,1513614369.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:26:26.167110,80368.0,14.0
,,2017-12-18 11:52:22.266289,slurm_normal,1513598021.0,0,,1.0,main_w4_handler0,3327546,17836604,False,,,,,,11910487,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32794603}]","[{'src': 'hda', 'id': 32794605}]","""6""","""8.0""",""" ""","""false""",32.0,641612791.0,fastqsanger,642475665.0,fastqsanger,,42151032.0,1513597955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 11:53:44.428208,116837.0,66.0
,,2017-12-18 12:02:35.229130,slurm_normal,1513598597.0,0,,1.0,main_w3_handler0,3327546,17836686,False,,,,,,11910576,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32794607}]","[{'src': 'hda', 'id': 32794608}]","""6""","""8.0""",""" ""","""false""",32.0,281876881.0,fastqsanger,282260251.0,fastqsanger,,42151032.0,1513598565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 12:03:20.311188,116837.0,32.0
,,2017-12-18 16:25:58.952255,slurm_normal,1513614381.0,0,,1.0,main_w3_handler1,3080356,17839480,False,,,,,,11913696,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986252}]","[{'src': 'hda', 'id': 32986245}]","""6""","""8.0""",""" ""","""false""",32.0,67170473.0,fastqsanger,67301587.0,fastqsanger,,41168800.0,1513614369.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:26:22.886316,80368.0,12.0
,,2017-12-18 14:25:37.487844,slurm_normal,1513607212.0,0,,1.0,main_w3_handler1,3327546,17837852,False,,,,,,11911875,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32794603}]","[{'src': 'hda', 'id': 32794605}]","""6""","""8.0""",""" ""","""false""",32.0,641612791.0,fastqsanger,642475665.0,fastqsanger,,42151032.0,1513607147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 14:26:55.609151,116837.0,65.0
,,2017-12-18 14:34:05.010735,slurm_normal,1513607689.0,0,,1.0,main_w3_handler0,3327546,17837897,False,,,,,,11911925,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32794607}]","[{'src': 'hda', 'id': 32794608}]","""6""","""8.0""",""" ""","""false""",32.0,281876881.0,fastqsanger,282260251.0,fastqsanger,,42151032.0,1513607657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 14:34:51.460076,116837.0,32.0
,,2017-12-18 16:22:13.558896,slurm_normal,1513614160.0,0,,1.0,main_w4_handler0,3080356,17839369,False,,,,,,11913638,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986306}]","[{'src': 'hda', 'id': 32986301}]","""6""","""8.0""",""" ""","""false""",32.0,72699948.0,fastqsanger,72834286.0,fastqsanger,,41168800.0,1513614148.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:22:47.572333,80368.0,12.0
,,2017-12-18 16:22:13.272387,slurm_normal,1513614157.0,0,,1.0,main_w4_handler0,3080356,17839368,False,,,,,,11913637,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986278}]","[{'src': 'hda', 'id': 32986274}]","""6""","""8.0""",""" ""","""false""",32.0,47994443.0,fastqsanger,48084043.0,fastqsanger,,41168800.0,1513614148.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:22:43.459231,80368.0,9.0
,,2017-12-18 16:25:59.200561,slurm_normal,1513614384.0,0,,1.0,main_w3_handler1,3080356,17839481,False,,,,,,11913697,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32986266}]","[{'src': 'hda', 'id': 32986260}]","""6""","""8.0""",""" ""","""false""",32.0,73771069.0,fastqsanger,73919327.0,fastqsanger,,41168800.0,1513614369.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-18 16:26:26.658217,80368.0,15.0
,,2017-12-20 11:32:19.739607,slurm_normal,1513769552.0,0,,1.0,main_w3_handler1,3341152,17858108,False,,,,,,11930846,slurm,,132112168.0,corral-repl,,"""6ef22b80e57911e7a29b005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714102}]","[{'src': 'hda', 'id': 32714103}]","""4""","""10.0""",""" ""","""false""",32.0,8162170.0,fastqsanger,8146868.0,fastqsanger,,,1513769548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-20 11:32:34.826250,117327.0,4.0
,,2017-12-20 11:49:33.176431,slurm_normal,1513770591.0,0,,1.0,main_w3_handler1,3341152,17858188,False,,,,,,11930928,slurm,,132112168.0,corral-repl,,"""d6ecd38ce57b11e78d4d005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714106}]","[{'src': 'hda', 'id': 32714107}]","""4""","""10.0""",""" ""","""false""",32.0,35985024.0,fastqsanger,36011920.0,fastqsanger,,,1513770583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-20 11:49:53.590744,117327.0,8.0
,,2017-12-20 12:18:36.260197,slurm_normal,1513772456.0,0,,1.0,main_w3_handler1,3371551,17858501,False,,,,,,11931226,slurm,,132112168.0,corral-repl,,"""e5f485d8e57f11e7a21f005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 33017676}]","[{'src': 'hda', 'id': 33017829}]","""6""","""8.0""",""" ""","""false""",32.0,1101240350.0,fastqsanger,1101240350.0,fastqsanger,,,1513772326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-20 12:20:59.386266,114798.0,130.0
