chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-11 04:56:06.029827,slurm_normal,1428728214.0,0,,1.0,main_w2_handler1,2266593,9200092,False,,49549,interval,2182207,interval,3482498.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235683,,,19235676,,32.0,,22392620.0,1428728209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:56:55.715713,60169.0,5.0
,,2015-04-11 05:36:15.156839,slurm_normal,1428730715.0,0,,1.0,main_w2_handler0,2266719,9200219,False,,1279073,interval,836677,interval,3482643.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235833,,,19235830,,32.0,,22392620.0,1428730709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:38:36.997099,60169.0,6.0
,,2015-04-11 05:36:06.927023,slurm_normal,1428730611.0,0,,1.0,main_w2_handler1,2266719,9200201,False,,103376,interval,1242270,interval,3482624.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235813,,,19235809,,32.0,,22392620.0,1428730606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:36:53.930304,60169.0,5.0
,,2015-04-11 04:56:05.620466,slurm_normal,1428728229.0,0,,1.0,main_w1_handler1,2266593,9200091,False,,1134989,interval,2287946,interval,3482500.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235682,,,19235675,,32.0,,22392620.0,1428728223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:57:10.399273,60169.0,6.0
,,2015-04-11 04:56:06.874769,slurm_normal,1428728245.0,0,,1.0,main_w1_handler1,2266593,9200094,False,,1473146,interval,2182207,interval,3482503.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235686,,,19235676,,32.0,,22392620.0,1428728238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:57:26.137836,60169.0,7.0
,,2015-04-11 04:56:12.786672,slurm_normal,1428728328.0,0,,1.0,main_w1_handler1,2266593,9200107,False,,2109683,interval,993531,interval,3482520.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235699,,,19235696,,32.0,,22392620.0,1428728321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:58:50.467331,60169.0,7.0
,,2015-04-11 04:56:04.823432,slurm_normal,1428728199.0,0,,1.0,main_w2_handler1,2266593,9200089,False,,103376,interval,2287946,interval,3482495.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235679,,,19235675,,32.0,,22392620.0,1428728193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:56:41.127398,60169.0,6.0
,,2015-04-11 05:36:08.394984,slurm_normal,1428730626.0,0,,1.0,main_w2_handler0,2266719,9200204,False,,49174,interval,1411419,interval,3482627.roundup,slurm,,132112168.0,corral-repl,,"""a4d7afd8e00c11e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235817,,,19235810,,32.0,,22392620.0,1428730621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 05:37:08.782644,60169.0,5.0
,,2015-04-11 04:56:10.931955,slurm_normal,1428728307.0,0,,1.0,main_w1_handler0,2266593,9200104,False,,1721747,interval,989450,interval,3482517.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235685,,,19235695,,32.0,,22392620.0,1428728300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:58:28.487009,60169.0,7.0
,,2015-04-11 04:56:04.407647,slurm_normal,1428728194.0,0,,1.0,main_w2_handler0,2266593,9200088,False,,38537,interval,2287946,interval,3482494.roundup,slurm,,132112168.0,corral-repl,,"""0d011974e00711e4bec9005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235678,,,19235675,,32.0,,22392620.0,1428728189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 04:56:37.917024,60169.0,5.0
