create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-26 21:36:29.963999,slurm_normal,1519681055.0,0,7680.0,1.0,main_w3_handler1,3320392,18528266,False,,34262,bed,12624414,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34083558}]","""""",32.0,,44175929.0,1519681015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 21:37:37.752646,115950.0,40.0
2018-02-27 13:46:08.645078,slurm_normal,1519739200.0,0,7680.0,1.0,main_w3_handler1,3320392,18535219,False,,1187,bed,12631767,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34095416}]","""""",32.0,,44196607.0,1519739196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 13:46:43.428497,115950.0,4.0
2018-02-27 13:42:10.164173,slurm_normal,1519738945.0,0,7680.0,1.0,main_w4_handler1,3320392,18535162,False,,6407,bed,12631716,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34093984}]","""""",32.0,,44196607.0,1519738942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 13:42:28.242818,115950.0,3.0
2018-02-27 13:57:27.589960,slurm_normal,1519739867.0,0,7680.0,1.0,main_w4_handler1,2936266,18535349,False,,14651184,bed,12631880,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34095646}]","""""",32.0,,42997850.0,1519739857.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 13:57:48.742842,68782.0,10.0
2018-02-27 17:37:07.322221,slurm_normal,1519753054.0,0,7680.0,1.0,main_w3_handler1,3445015,18538173,False,,392168626,bed,12634738,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34100230}]","""""",32.0,,43927299.0,1519753035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 17:37:35.020341,,19.0
2018-02-27 21:25:26.982326,slurm_normal,1519766742.0,0,7680.0,1.0,main_w3_handler1,3388197,18540543,False,,55392,bed,12636973,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34104089}]","""""",32.0,,43945109.0,1519766737.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 21:25:46.676385,115477.0,5.0
2018-02-27 22:06:20.100207,slurm_normal,1519769193.0,0,7680.0,1.0,main_w3_handler0,3382556,18541201,False,,1055666,bed,12637456,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34104980}]","""""",32.0,,43231806.0,1519769189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 22:06:34.765335,62828.0,4.0
2018-02-27 22:06:56.408571,slurm_normal,1519769230.0,0,7680.0,1.0,main_w4_handler1,3382556,18541204,False,,2937646,bed,12637468,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34105006}]","""""",32.0,,43231806.0,1519769224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-27 22:07:12.601939,62828.0,6.0
2018-02-28 05:48:27.084836,slurm_normal,1519796922.0,0,7680.0,1.0,main_w3_handler0,3313949,18544253,False,,45280,bed,12640748,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34109848}]","""""",32.0,,43945109.0,1519796919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-28 05:48:45.663421,115477.0,3.0
2018-02-28 09:27:26.794823,slurm_normal,1519810162.0,0,7680.0,1.0,main_w4_handler0,3445859,18545466,False,,16900833,bed,12642127,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34111922}]","""""",32.0,,44219223.0,1519810151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-28 09:29:24.453780,,11.0
