create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.keep_dup_options.user_keepdup,parameters.pvalue,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-04 18:57:52.691642,slurm_normal,1454613936.0,0,1.0,main_w2_handler1,2583925,11712571,False,9977526820,bam,,5970338.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23169813,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454612294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 19:25:49.530327,57381,1642.0
2016-02-04 20:40:43.319672,slurm_normal,1454619390.0,0,1.0,main_w1_handler1,2568621,11713204,False,2131669305,bam,,5971065.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23188562,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454619096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:56:33.481327,57113,294.0
2016-02-04 20:40:32.201212,slurm_normal,1454618693.0,0,1.0,main_w1_handler2,2568621,11713196,False,1423200799,bam,,5970993.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188552,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618460.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:44:56.411065,57113,233.0
2016-02-04 20:40:41.750564,slurm_normal,1454619077.0,0,1.0,main_w1_handler2,2568621,11713202,False,1925308145,bam,,5971023.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188558,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618746.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:51:23.599455,57113,331.0
2016-02-04 20:40:36.832242,slurm_normal,1454618880.0,0,1.0,main_w1_handler2,2568621,11713198,False,1844492579,bam,,5970995.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188554,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:48:08.334348,57113,412.0
2016-02-04 20:40:35.739224,slurm_normal,1454618737.0,0,1.0,main_w2_handler1,2568621,11713197,False,1791926668,bam,,5970994.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188553,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:45:41.535934,57113,275.0
2016-02-04 20:40:41.262736,slurm_normal,1454618999.0,0,1.0,main_w1_handler1,2568621,11713201,False,1713160680,bam,,5971015.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188557,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:50:08.343039,57113,290.0
2016-02-04 20:40:39.392503,slurm_normal,1454619352.0,0,1.0,main_w2_handler0,2568621,11713200,False,2054905930,bam,,5971052.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23188556,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454619022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:55:57.788108,57113,330.0
2016-02-04 20:40:42.818490,slurm_normal,1454619390.0,0,1.0,main_w1_handler2,2568621,11713203,False,3031518974,bam,,5971034.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23188560,1,1,,"""1e-5""","""-1.0""",32.0,,26268664,1454618899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 20:56:36.663862,57113,491.0
2016-02-05 06:02:56.255088,slurm_normal,1454652501.0,0,1.0,main_w1_handler2,2588232,11715579,False,1963619039,bam,,5973368.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,2451960000,,23192839,1,1,,"""1e-5""","""-1.0""",32.0,,28091241,1454652192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-05 06:08:24.181269,71249,309.0
