bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.histogram,parameters.plotTitle,parameters.samplesLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
4318968190,4318968190,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-22 02:24:01.264123,slurm_multi,1485052339.0,0,6.0,main_w4_handler2,2955340,14838200,False,,8998606,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27926559}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""true""","""1. siC NoT""","""""",32.0,,35421683,1485052259.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-22 02:32:20.578760,73725,80.0
4672050887,4672050887,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-22 02:35:59.228749,slurm_multi,1485053171.0,0,6.0,main_w3_handler2,2955340,14838236,False,,8998633,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27926560}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""true""","""2. siC CDG""","""""",32.0,,35421683,1485053016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-22 02:46:12.652132,73725,155.0
4024081180,4024081180,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-22 02:58:25.069488,slurm_multi,1485054296.0,0,6.0,main_w4_handler2,2955340,14838317,False,,8998711,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27926562}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""true""","""3. siN NoT""","""""",32.0,,35421683,1485054220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-22 03:04:57.996836,73725,76.0
4906848100,4906848100,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-22 02:59:04.540908,slurm_multi,1485054631.0,0,6.0,main_w4_handler2,2955340,14838321,False,,8998725,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27926563}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""true""","""4 siN CDG""","""""",32.0,,35421683,1485054553.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-22 03:10:33.318649,73725,78.0
1226280788,1226280788,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-03-24 19:54:02.942369,slurm_multi,1490386510.0,0,6.0,main_w3_handler2,3037606,15390946,False,,9526993,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 28879632}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","""Pair End fragment size""","""PEfrag""",32.0,,35276608,1490386470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-03-24 20:15:12.203710,61202,40.0
1883062639,1883062639,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-02-23 15:14:46.499079,slurm_multi,1487863199.0,0,6.0,main_w3_handler2,3006501,15119239,False,,9273420,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28469369}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""","""""",32.0,,36246319,1487863048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-23 15:20:01.067310,66222,151.0
27216917,27216917,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-31 21:45:08.093796,slurm_multi,1485900245.0,0,6.0,main_w3_handler2,2846125,14918252,False,,9073900,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27818948}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""Caki2NullRep2-chrM-removed""","""""",32.0,,35063487,1485899689.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-31 22:04:07.391598,14835,556.0
156146213,156146213,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-31 21:46:20.027281,slurm_multi,1485900454.0,0,6.0,main_w4_handler2,2846125,14918256,False,,9073932,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27818913}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""Caki2P-rep2-chrMremoved""","""""",32.0,,35063487,1485900355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-31 22:07:35.470730,14835,99.0
3175414878,3175414878,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-02-03 18:20:53.813885,slurm_multi,1486148599.0,0,6.0,main_w4_handler2,2956227,14945773,False,,9103516,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 28001880}]","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""","""true""","""""","""""",32.0,,34488366,1486148548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-03 19:03:21.389990,36816,51.0
13407538,13407538,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-02-07 14:55:00.848799,slurm_multi,1486479426.0,0,6.0,main_w3_handler2,2985417,14972934,False,,9130537,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28247915}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","""""","""""",32.0,,35864675,1486479409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-07 14:57:09.396820,1260,17.0
1282994314,1282994314,,,,,,,,,,,,,,,bam,1263349782.0,bam,1241313924.0,bam,,,,,,,,,,,,,bam,,,2017-02-16 10:02:46.936387,slurm_multi,1487239850.0,0,6.0,main_w4_handler2,2776915,15054993,False,,9210635,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28375020}, {'src': 'hda', 'id': 28375034}, {'src': 'hda', 'id': 28375724}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""false""","""nzgl samples""","""10Rad21_1 10Rad21_2 10Input""",32.0,,36076920,1487239663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-16 10:10:52.521118,65128,187.0
2430692112,2430692112,,,,,,,,,,,,,,,bam,2521864050.0,bam,1631691910.0,bam,,,,,,,,,,,,,bam,,,2017-02-16 10:23:19.217880,slurm_multi,1487240880.0,0,6.0,main_w4_handler2,2776915,15055505,False,,9211070,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28102195}, {'src': 'hda', 'id': 28102196}, {'src': 'hda', 'id': 28190785}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""""","""""",32.0,,36076920,1487240805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-16 10:28:08.580120,65128,75.0
3491781723,3491781723,,,,,,,,,,,,,,,bam,3827280361.0,bam,4212052803.0,bam,,,,,,,,,,,,,bam,,,2017-02-17 22:19:37.555959,slurm_multi,1487370307.0,0,6.0,main_w3_handler2,2776915,15071369,False,,9226798,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28393399}, {'src': 'hda', 'id': 28393428}, {'src': 'hda', 'id': 28393447}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""""","""""",32.0,,36076920,1487370046.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-17 22:25:09.199800,65128,261.0
3491781723,3491781723,,,,,,,,,,,,,,,bam,3827280361.0,bam,4212052803.0,bam,,,,,,,,,,,,,bam,,,2017-02-17 22:58:54.920969,slurm_multi,1487373129.0,0,6.0,main_w3_handler2,2776915,15071520,False,,9226962,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28393399}, {'src': 'hda', 'id': 28393428}, {'src': 'hda', 'id': 28393447}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""""","""10_Rad21_1 10_Input_1 10_Input_2""",32.0,,36076920,1487373012.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-17 23:12:11.752956,65128,117.0
625489076,625489076,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,20.0,len,2017-02-19 11:50:40.505042,slurm_multi,1487505206.0,0,6.0,main_w3_handler2,2990943,15078575,False,,9234127,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28362510}]","""/galaxy-repl/main/files/018/798/dataset_18798652.dat""","""?""","""false""","""crRNA length""","""""",32.0,,36062410,1487505193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-19 11:53:27.432155,99889,13.0
1649298830,1649298830,,,,,,,,,,,,,,,bam,1704085488.0,bam,2397097360.0,bam,2898997403.0,bam,,,,,,,,,,,bam,,,2017-02-19 20:57:40.221674,slurm_multi,1487538341.0,0,6.0,main_w4_handler2,2776915,15080701,False,,9236106,slurm,,132111800.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 28419332}, {'src': 'hda', 'id': 28419352}, {'src': 'hda', 'id': 28419360}, {'src': 'hda', 'id': 28419365}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""""","""""",32.0,,35748526,1487538279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-19 21:05:44.325086,65128,62.0
1649298830,1649298830,,,,,,,,,,,,,,,bam,1704085488.0,bam,2397097360.0,bam,2898997403.0,bam,,,,,,,,,,,bam,,,2017-02-19 20:48:31.674136,slurm_multi,1487537774.0,0,6.0,main_w4_handler2,2776915,15080634,False,,9236045,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28419332}, {'src': 'hda', 'id': 28419352}, {'src': 'hda', 'id': 28419360}, {'src': 'hda', 'id': 28419365}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""""","""""",32.0,,35748526,1487537657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-19 20:56:16.632403,65128,117.0
1649298830,1649298830,,,,,,,,,,,,,,,bam,1704085488.0,bam,2397097360.0,bam,2898997403.0,bam,,,,,,,,,,,bam,,,2017-02-19 21:09:34.656635,slurm_multi,1487538932.0,0,6.0,main_w4_handler2,2776915,15080779,False,,9236147,slurm,,132111800.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 28419332}, {'src': 'hda', 'id': 28419352}, {'src': 'hda', 'id': 28419360}, {'src': 'hda', 'id': 28419365}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""true""","""Fragment length distribution 2.5 hpf samples""","""2.5hpf_Rad21_2 2.5hpf_Rad21_1 2.5hpf_Input_2 2.5hpf_Input_1 """,32.0,,35748526,1487538870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-02-19 21:15:34.510648,65128,62.0
89599303,89599303,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-03-10 11:42:34.948866,slurm_multi,1489146993.0,0,6.0,main_w3_handler2,3010183,15261941,False,,9408131,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28706488}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","""""","""""",32.0,,36361605,1489146509.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-03-10 11:56:34.638681,91187,484.0
