chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,guide_gff,guide_gff_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.guide.__current_case__,parameters.guide.guide_gff.values,parameters.guide.input_estimation,parameters.guide.output_ballgown,parameters.guide.use_guide,parameters.input_bam.values,parameters.input_bam|__identifier__,parameters.option_set.__current_case__,parameters.option_set.abundance_estimation,parameters.option_set.bdist,parameters.option_set.bundle_fraction,parameters.option_set.disable_trimming,parameters.option_set.fraction,parameters.option_set.min_anchor_cov,parameters.option_set.min_anchor_len,parameters.option_set.min_bundle_cov,parameters.option_set.min_tlen,parameters.option_set.multi_mapping,parameters.option_set.name_prefix,parameters.option_set.omit_sequences,parameters.option_set.options,parameters.option_set.sensitive,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-01-10 09:45:25.763254,slurm_multi,1484041591.0,0,,6.0,,,main_w3_handler2,2931971,14722459,False,,30899442,bam,8891166,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767296}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:33.035378,80465,7.0
,,2017-01-10 09:45:27.642453,slurm_multi,1484041570.0,0,,6.0,,,main_w4_handler2,2931971,14722464,False,,67337579,bam,8891159,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767301}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:11.207738,80465,5.0
,,2017-01-10 09:45:28.095249,slurm_multi,1484041576.0,0,,6.0,,,main_w4_handler2,2931971,14722465,False,,26216240,bam,8891161,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767302}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041572.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:17.229180,80465,4.0
,,2017-01-10 09:45:28.518596,slurm_multi,1484041592.0,0,,6.0,,,main_w4_handler2,2931971,14722466,False,,88298278,bam,8891165,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767303}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:33.420685,80465,8.0
,,2017-01-10 09:45:26.469971,slurm_multi,1484041603.0,0,,6.0,,,main_w3_handler2,2931971,14722461,False,,12903283,bam,8891169,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767298}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:44.373780,80465,6.0
,,2017-01-10 09:45:27.262779,slurm_multi,1484041654.0,0,,6.0,,,main_w3_handler2,2931971,14722463,False,,16205238,bam,8891178,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767300}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041648.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:47:36.096489,80465,6.0
,,2017-01-10 09:31:29.834710,slurm_multi,1484042279.0,0,,6.0,1175571066.0,gtf,main_w3_handler2,2948592,14722388,False,,14347436610,bam,8891094,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,"[{'src': 'hda', 'id': 27856402}]",false,false,yes,"[{'src': 'hda', 'id': 27856777}]",,0,,,,,,,,,,,,,default,,32.0,,35275199.0,1484040735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:58:00.849279,47497,1544.0
,,2017-01-10 09:31:50.952621,slurm_multi,1484043946.0,0,,6.0,1175571066.0,gtf,main_w4_handler2,2948592,14722390,False,,15218327529,bam,8891206,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,"[{'src': 'hda', 'id': 27856402}]",false,false,yes,"[{'src': 'hda', 'id': 27856778}]",,0,,,,,,,,,,,,,default,,32.0,,35275199.0,1484042283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 10:25:49.787316,47497,1663.0
,,2017-01-10 10:37:11.114613,slurm_multi,1484044638.0,0,,6.0,,,main_w4_handler2,2931971,14722705,False,,16205238,bam,8891379,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767300}]",,1,true,10,0.95,false,0.1,1,10,2,200,true,STRG,,advanced,false,32.0,,34931652.0,1484044634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 10:37:19.222285,80465,4.0
,,2017-01-10 10:45:26.211301,slurm_multi,1484045136.0,0,,6.0,,,main_w3_handler2,2945918,14722752,False,,219430,bam,8891425,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27864658}]",,0,,,,,,,,,,,,,default,,32.0,,35082505.0,1484045130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 10:45:38.355935,91355,6.0
,,2017-03-19 11:55:55.252991,slurm_multi,1489926426.0,0,,6.0,1255571849.0,gtf,main_w3_handler2,3035092,15335458,False,,3533501980,bam,9475695,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822491}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489926242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 12:27:09.057176,86671,184.0
,,2017-03-19 11:55:51.180278,slurm_multi,1489927981.0,0,,6.0,1255571849.0,gtf,main_w4_handler2,3035092,15335452,False,,3657504791,bam,9475739,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822485}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489927789.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 12:53:03.120309,86671,192.0
,,2017-03-19 11:55:51.958079,slurm_multi,1489928552.0,0,,6.0,1255571849.0,gtf,main_w4_handler2,3035092,15335453,False,,4141912175,bam,9475768,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822486}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489928343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 13:02:34.716508,86671,209.0
,,2017-03-19 11:55:53.843923,slurm_multi,1489925905.0,0,,6.0,1255571849.0,gtf,main_w3_handler2,3035092,15335456,False,,2027733966,bam,9475688,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822489}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489925763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 12:18:30.039737,86671,142.0
,,2017-03-19 11:55:57.725841,slurm_multi,1489927433.0,0,,6.0,1255571849.0,gtf,main_w3_handler2,3035092,15335462,False,,4142415332,bam,9475720,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822495}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489927223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 12:43:55.163900,86671,210.0
,,2017-03-19 11:55:52.530306,slurm_multi,1489929046.0,0,,6.0,1255571849.0,gtf,main_w4_handler2,3035092,15335454,False,,2888957465,bam,9475798,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,"[{'src': 'hda', 'id': 28822388}]",true,false,yes,"[{'src': 'hda', 'id': 28822487}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,35129209.0,1489928869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-03-19 13:10:48.714930,86671,177.0
