chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.barcode_tag,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-05-12 09:23:01.334101,slurm_normal_16gb,1463045387.0,0,,1.0,main_w2_handler0,2703384,12865771,False,,31047049,bam,7066474.roundup,slurm,,132112168.0,corral-repl,,"""1457ecd4182311e6a78e005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b506fa60748b1ec9'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29987818.0,1463045290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-12 09:29:51.079459,83695.0,97.0
,,2016-05-10 19:27:59.383991,slurm_normal_16gb,1462938872.0,0,,1.0,main_w1_handler2,2701080,12847820,False,,31054767,bam,7052080.roundup,slurm,,132112168.0,corral-repl,,"""48632a4616e511e6a03e005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4683ac2e9890d71'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462938754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-11 03:54:34.917202,79897.0,118.0
,,2016-05-11 07:01:44.755369,slurm_normal_16gb,1462951649.0,0,,1.0,main_w1_handler0,2701818,12852742,False,,31055080,bam,7053296.roundup,slurm,,132112168.0,corral-repl,,"""30661758174611e68d05005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54c973e7f5e83bdc4'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462951554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-11 07:27:32.167768,79897.0,95.0
,,2016-05-11 09:14:55.465477,slurm_normal_16gb,1462959608.0,0,,1.0,main_w1_handler1,2701968,12853511,False,,31048012,bam,7054192.roundup,slurm,,132112168.0,corral-repl,,"""c143d852175811e6accd005056a52a46""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56dc38798a1d59b33'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30092287.0,1462959527.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-11 09:40:11.168359,82445.0,81.0
,,2016-05-12 10:53:26.098278,slurm_normal_16gb,1463051013.0,0,,1.0,main_w2_handler0,2703384,12866842,False,,31101862,bam,7067792.roundup,slurm,,132112168.0,corral-repl,,"""b6b495ca182f11e6b8c3005056a52a46""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fdcd2ed95094cd6a'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29987818.0,1463050861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-12 11:03:36.621354,83695.0,152.0
,,2016-07-01 04:52:51.432393,slurm_normal_16gb,1467348894.0,0,,1.0,main_w1_handler0,2754674,13302486,False,,30533825,bam,7504319.roundup,slurm,,132112168.0,corral-repl,,,"""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b517fa78c0b19ae012'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,31214889.0,1467348799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-07-01 04:54:57.839001,85829.0,95.0
,,2016-03-19 19:12:38.966685,slurm_normal_16gb,1458415879.0,0,,1.0,main_w1_handler0,2639656,12194779,False,,31047048,bam,6408097.roundup,slurm,,132112168.0,corral-repl,,"""8676525cee0611e5aea8005056a52a46""","""True""",,"""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",23929021,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",32.0,,29078540.0,1458415747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-03-19 19:31:21.932274,76722.0,132.0
,,2016-03-19 20:51:31.751473,slurm_normal_16gb,1458423648.0,0,,1.0,main_w1_handler1,2639704,12195412,False,,31047049,bam,6408967.roundup,slurm,,132112168.0,corral-repl,,"""57a54bc8ee1411e5bf4d005056a52a46""","""True""",,"""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",23929827,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",32.0,,29078540.0,1458423546.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-03-19 21:40:51.541274,76722.0,102.0
,,2016-03-19 23:07:39.378542,slurm_normal_16gb,1458431344.0,0,,1.0,main_w1_handler1,2639758,12195764,False,,31047047,bam,6409739.roundup,slurm,,132112168.0,corral-repl,,"""5c221e84ee2711e5b659005056a52a46""","""True""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",23930303,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",32.0,,29081616.0,1458431188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-03-19 23:49:06.734345,76722.0,156.0
,,2016-07-01 09:03:30.977201,slurm_normal_16gb,1467364267.0,0,,1.0,main_w2_handler0,2754817,13304028,False,,5662733,bam,7505880.roundup,slurm,,132112168.0,corral-repl,,,"""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f9804d2be8648db8'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""LENIENT""",32.0,,30608186.0,1467364203.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-07-01 09:11:12.140949,85458.0,64.0
