chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_contig_length_discordance,parameters.allow_incomplete_dict_concordance,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-09-05 14:56:11.273375,slurm_normal,1504624530.0,0,,1.0,main_w4_handler1,3243025,16737952,False,,239997146,bam,10807362.roundup,slurm,,132112168.0,corral-repl,,"""583c3426924a11e79619005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31111427}]",1,,,,"[{'src': 'hda', 'id': 31110768}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504624349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-05 15:15:34.575650,80563.0,181.0
,,2017-09-07 14:25:47.950174,slurm_normal,1504795855.0,0,,1.0,main_w3_handler1,3245310,16762880,False,,247197481,bam,10829994.roundup,slurm,,132112168.0,corral-repl,,"""5d9a233093d811e787c0005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31145860}]",1,,,,"[{'src': 'hda', 'id': 31141664}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504795680.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-07 14:54:18.922567,80563.0,175.0
,,2017-09-11 09:57:04.800745,slurm_normal,1505124972.0,0,,1.0,main_w4_handler0,3248869,16785931,False,,241402403,bam,10854489.roundup,slurm,,132112168.0,corral-repl,,"""82026dca96d711e79416005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31181330}]",1,,,,"[{'src': 'hda', 'id': 31181162}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505124843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-11 10:16:17.024941,80563.0,129.0
,,2017-09-11 11:47:26.227412,slurm_normal,1505131589.0,0,,1.0,main_w3_handler0,3248892,16786549,False,,269407301,bam,10855039.roundup,slurm,,132112168.0,corral-repl,,"""f42cfa0a96e611e7a130005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31182172}]",1,,,,"[{'src': 'hda', 'id': 31181417}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505131448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-11 12:06:32.653946,80563.0,141.0
,,2017-09-13 15:03:47.883970,slurm_normal,1505318611.0,0,,1.0,main_w3_handler1,3251753,16807019,False,,46664476,bam,10876516.roundup,slurm,,132112168.0,corral-repl,,"""b4888edc989411e7a83a005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31215751}]",1,,,,"[{'src': 'hda', 'id': 31215561}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505318522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-13 16:03:34.898365,80563.0,89.0
,,2017-09-14 12:03:47.907988,slurm_normal,1505393656.0,0,,1.0,main_w3_handler0,3252884,16817356,False,,85893373,bam,10887328.roundup,slurm,,132112168.0,corral-repl,,"""b3841294994411e7a3b5005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31231161}]",1,,,,"[{'src': 'hda', 'id': 31231139}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505393539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-14 12:56:44.000809,80563.0,117.0
,,2017-09-19 08:56:46.879037,slurm_normal,1505814177.0,0,,1.0,main_w4_handler1,3259020,16863365,False,,60476101,bam,10931006.roundup,slurm,,132112168.0,corral-repl,,"""7359e7ac9d1811e79852005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31303776}]",1,,,,"[{'src': 'hda', 'id': 31303722}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505814064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-19 09:42:59.440609,80563.0,113.0
,,2017-09-19 08:58:28.352072,slurm_normal,1505815479.0,0,,1.0,main_w3_handler0,3259013,16863405,False,,57195403,bam,10931281.roundup,slurm,,132112168.0,corral-repl,,"""b00214f49d1811e786a2005056ba2773""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31303838}]",1,,,,"[{'src': 'hda', 'id': 31303683}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505815378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-19 10:04:41.573077,80563.0,101.0
,,2017-09-20 12:31:06.658332,slurm_normal,1505912801.0,0,,1.0,main_w4_handler1,3241933,16875074,False,,28352552,bam,10940731.roundup,slurm,,132112168.0,corral-repl,,"""7e2c4eb29dff11e78333005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31321933}]",1,,,,"[{'src': 'hda', 'id': 31321887}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505912738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-20 13:06:42.534768,56382.0,63.0
,,2017-09-20 14:23:07.952441,slurm_normal,1505987774.0,0,,1.0,main_w3_handler0,3260576,16876452,False,,32574706,bam,10954654.roundup,slurm,,132112168.0,corral-repl,,"""160cf10a9e0f11e789b4005056ba55fb""","""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""31344854""",,1,,,,"[{'src': 'hda', 'id': 31323945}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1505987672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-21 09:56:26.222403,56382.0,102.0
