annot,annot_filetype,create_time,destination_id,end_epoch,exit_code,files_0|input,files_0|input_filetype,files_1|input,files_1|input_filetype,files_2|input,files_2|input_filetype,files_3|input,files_3|input_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_operon,input_operon_filetype,input_ref,input_ref_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annot.values,parameters.chromInfo,parameters.dbkey,parameters.files,parameters.files_0|input|__identifier__,parameters.gene_selection,parameters.input_operon.values,parameters.input_ref.values,parameters.input_size,parameters.min_contig,parameters.threshold_contig,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-08-30 17:14:17.363134,slurm_normal,1504142844.0,0,113366595,fasta,,,,,,,,1.0,main_w4_handler0,3236792,16696123,False,,,,,,10772086.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048069}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40141314.0,1504142812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 01:27:29.669960,110714.0,32.0
56810641.0,tabular,2017-08-30 17:14:01.374166,slurm_normal,1504144137.0,0,113686482,fasta,,,,,,,,1.0,main_w4_handler0,2704142,16696117,False,,,,,,10772175.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 27866682}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048057}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40162411.0,1504144114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 01:49:01.542132,46771.0,23.0
,,2017-08-30 17:14:04.988822,slurm_normal,1504143764.0,0,113153885,fasta,,,,,,,,1.0,main_w3_handler1,1943820,16696118,False,,,,,,10772155.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048065}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,40062828.0,1504143742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 01:42:48.747434,50187.0,22.0
,,2017-08-30 17:16:03.534202,slurm_normal,1504155561.0,0,113537030,fasta,,,,,,,,1.0,main_w4_handler0,3230150,16696154,False,,,,,,10772877.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048222}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40141938.0,1504155537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 04:59:26.467574,110442.0,24.0
,,2017-08-30 17:14:12.791975,slurm_normal,1504155426.0,0,113485274,fasta,,,,,,,,1.0,main_w3_handler0,3236783,16696121,False,,,,,,10772868.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048063}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40140899.0,1504155389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 04:57:09.028326,110712.0,37.0
,,2017-08-30 17:14:12.064804,slurm_normal,1504160182.0,0,107735995,fasta,,,,,,,,1.0,main_w3_handler0,1943824,16696120,False,,,,,,10773055.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048060}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40140706.0,1504160147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-31 06:16:25.169954,50188.0,35.0
,,2017-09-03 00:02:00.486069,slurm_normal,1504396944.0,4,202038,fasta,,,,,,,,1.0,main_w3_handler0,3230800,16720586,False,,,,,,10791699.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31086399}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,40025484.0,1504396928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-09-03 00:02:27.217358,,16.0
,,2017-10-03 15:17:11.097951,slurm_normal,1507043891.0,0,4031553,fasta,,,,,,,,1.0,main_w4_handler0,3274230,17011437,False,,,,,,11066658.roundup,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31538942}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,41019686.0,1507043872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-10-03 15:18:33.566209,112694.0,19.0
14400334.0,fasta,2017-10-03 15:55:14.078300,slurm_normal,1507046145.0,0,14419501,fasta,,,,,,,,1.0,main_w3_handler0,3091808,17011949,False,,,,,,11067089.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 31485346}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31480775}]}}]",,"""prokaryotes""",,,"""6000000""","""500""","""0,1000""",32.0,,39752128.0,1507046133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-10-03 15:55:50.483960,104897.0,12.0
,,2017-10-03 16:09:37.194483,slurm_normal,1507047027.0,0,127442414,fasta,,,,,,,,1.0,main_w4_handler0,3271860,17012110,False,,,,,,11067274.roundup,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31493418}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,41003468.0,1507046991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-10-03 16:10:44.442488,112549.0,36.0
