create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.index,parameters.genomeSource.index.__class__,parameters.genomeSource.index.value,parameters.genomeSource.ownFile,parameters.genomeSource.refGenomeSource,parameters.input_file,parameters.mingenomefrac,parameters.out_prefix,parameters.windowsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-12-08 00:44:59.548217,rodeo_normal,1417999520.0,0,1.0,main_w1_handler0,1836988,8367578,False,,292530453,sam,493573.rodeo,slurm,,8059880.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/20079.len""","""20079""",0,eschColi_K12_DH10B,,,,default,17858811,"""1e-05""","""Short Read GC Bias Metrics""","""100""",1.0,,19934508,1417999503.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-12-08 00:45:22.871727,46373.0,17.0
2014-11-02 17:14:13.921277,rodeo_normal,1414948475.0,0,1.0,main_w2_handler0,2087804,8085955,False,,64475409,bam,111532.rodeo,slurm,,16332532.0,corral-repl,4618565.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,17404084.0,history,17404082,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,17647765,1414948461.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-02 17:14:39.199678,,14.0
2015-01-09 01:15:43.478506,rodeo_normal,1420766299.0,0,1.0,main_w2_handler1,2163996,8518948,False,,262996270,bam,723452.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19female,,,,default,18163412,"""1e-05""","""Short Read GC Bias Metrics""","""100""",2.0,,20391053,1420766162.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-01-09 01:18:22.528772,58011.0,137.0
2014-09-30 10:40:40.410412,roundup_single,1412073725.0,0,1.0,main_w2_handler0,2070837,7899658,False,,2138431469,bam,1880250,slurm,,132112264.0,corral-repl,5390598.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,17094608.0,history,17094592,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17032033,1412073650.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-09-30 10:42:06.907704,39042.0,75.0
2014-09-30 10:55:17.595964,roundup_single,1412074607.0,0,1.0,main_w2_handler1,2070837,7899685,False,,2138431469,bam,1880278,slurm,,132112264.0,corral-repl,5679100.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,17094673.0,history,17094592,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17032033,1412074531.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-09-30 10:56:48.533681,39042.0,76.0
2014-12-11 06:12:03.742152,rodeo_normal,1418278389.0,0,1.0,main_w2_handler0,1836988,8394519,False,,88852821,bam,532178.rodeo,slurm,,16332532.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/20079.len""","""20079""",0,eschColi_K12_DH10B,,,,default,17902313,"""1e-05""","""EC32_1500bp30ng_GCbiase""","""100""",2.0,,19950334,1418278374.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-12-11 06:13:13.851470,46373.0,15.0
2014-10-07 12:50:18.672583,roundup_single,1412686235.0,0,1.0,main_w1_handler1,2077873,7941037,False,,1517581,sam,1918981,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",0,eschColi_K12,,,,default,17160889,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17280221,1412686231.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-07 12:50:36.978968,,4.0
2014-10-07 21:29:41.189348,roundup_single,1412717469.0,0,1.0,main_w1_handler0,2048053,7944150,False,,9800806,bam,1921715,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17156390,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17450703,1412717390.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-07 21:31:10.744619,52455.0,79.0
2014-10-07 21:29:54.600552,roundup_single,1412717531.0,0,1.0,main_w2_handler0,2077886,7944151,False,,30419722,bam,1921717,slurm,,132112264.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,mm10,,,,default,17164753,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17450703,1412717409.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-07 21:32:14.492910,52455.0,122.0
2014-10-08 11:21:50.835952,roundup_single,1412767325.0,0,1.0,main_w1_handler0,2077873,7946806,False,,493305,bam,1924509,slurm,,132112068.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",0,eschColi_K12,,,,default,17169759,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17280221,1412767319.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-10-08 11:22:07.089083,,6.0
