corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3384995,deeptools_coverage_matrix,2016-05-09 13:46:04.923096,slurm_normal,1462801610.0,0,1.0,main_w1_handler1,2697306,12832150,False,,7033107.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e4ca71dcc16235b'}]","""hg38""","""png""","""false""","""ARID1A and BRG1""",32.0,,30102823,1462801593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-09 13:46:51.921516,82005.0,17.0
3472603,deeptools_coverage_matrix,2016-05-09 13:47:00.734381,slurm_normal,1462801667.0,0,1.0,main_w1_handler2,2697306,12832158,False,,7033122.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4413e011ceb19fd'}]","""hg38""","""png""","""false""","""ARID1A and PARP1""",32.0,,30102823,1462801659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-09 13:47:50.146264,82005.0,8.0
2899858,deeptools_coverage_matrix,2016-03-22 19:39:07.154297,slurm_normal,1458681647.0,0,1.0,main_w2_handler1,2608002,12230086,False,,6444925.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",23983306,,"""hg19""","""png""","""False""","""NELF-Pol2-Input PCA""",32.0,,28747253,1458681631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-22 21:20:51.214000,55649.0,16.0
1967668,deeptools_coverage_matrix,2016-05-24 19:15:29.436299,slurm_normal,1464119551.0,0,1.0,main_w2_handler1,2716748,12977296,False,,7164654.roundup,slurm,,132112168.0,corral-repl,,"""ce8b9cf821e311e68284005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5599374c5fe83ea32'}]","""hg19""","""png""","""false""","""""",32.0,,29445865,1464119521.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-24 19:53:05.593564,81993.0,30.0
40901764,deeptools_coverage_matrix,2016-04-02 13:14:39.982502,slurm_normal,1459603958.0,0,1.0,main_w2_handler0,2652776,12320046,False,,6526988.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",24115662,,"""mm10""","""eps""","""False""","""""",32.0,,28021890,1459603939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-04-02 13:32:41.195047,42951.0,19.0
11779496,deeptools_coverage_matrix,2016-03-31 13:28:44.703493,slurm_normal,1459431562.0,0,1.0,main_w1_handler0,2652459,12299616,False,,6507661.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",24085747,,"""?""","""png""","""False""","""""",32.0,,29328095,1459431354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 13:39:29.523014,81710.0,208.0
34390722,deeptools_coverage_matrix,2016-03-31 09:37:10.505962,slurm_normal,1459432933.0,0,1.0,main_w1_handler2,2502735,12296836,False,,6504511.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",24080892,,"""hg19""","""png""","""False""","""""",32.0,,28747253,1459417047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 14:02:15.896934,55649.0,15886.0
12527986,deeptools_coverage_matrix,2016-03-31 14:23:17.683690,slurm_normal,1459435890.0,0,1.0,main_w1_handler0,2502735,12300308,False,,6508225.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",24082059,,"""hg19""","""png""","""False""","""""",32.0,,28747253,1459434687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 14:51:39.103518,55649.0,1203.0
18337826,deeptools_coverage_matrix,2016-03-31 14:23:31.591075,slurm_normal,1459434723.0,0,1.0,main_w1_handler0,2502735,12300311,False,,6508226.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",24083015,,"""hg19""","""png""","""False""","""""",32.0,,28747253,1459434687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 14:32:09.952025,55649.0,36.0
19488259,deeptools_coverage_matrix,2016-03-31 14:06:02.440901,slurm_normal,1459434538.0,0,1.0,main_w2_handler0,2652459,12299976,False,,6508187.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",24086207,,"""mm9""","""png""","""False""","""""",32.0,,29328095,1459434287.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-03-31 14:29:14.893596,81710.0,251.0
