count,count_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,otu,otu_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.basis,parameters.chromInfo,parameters.count.values,parameters.cutoff,parameters.dbkey,parameters.label,parameters.name.values,parameters.otu.values,parameters.persample,parameters.probs,parameters.reftax.__current_case__,parameters.reftax.source2,parameters.reftax.sum.values,parameters.reftax.taxonomy.values,parameters.tax.__current_case__,parameters.tax.source,parameters.tax.taxonomy.values,processor_count,runner_name,session_id,start_epoch,state,sum,sum_filetype,swaptotal,taxonomy,taxonomy_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
370515.0,mothur.count_table,2017-10-27 07:09:51.040756,slurm_normal,1509088431.0,0,,1.0,main_w3_handler0,3295999,17237055,False,,11297734,slurm,,132112168.0,,,corral-repl,1117763,mothur.list,,"""d0fa4650bae511e79b6c005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810515}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918862}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810524}]",32.0,,,1509088425.0,ok,,,1023996.0,967171,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:15:17.872108,72172,6.0
32464.0,mothur.count_table,2017-10-27 07:21:36.522026,slurm_normal,1509089004.0,0,,1.0,main_w3_handler0,3296003,17237108,False,,11297784,slurm,,132112168.0,,,corral-repl,97453,mothur.list,,"""72375cd2bae711e79fc3005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810664}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918996}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810674}]",32.0,,,1509088998.0,ok,,,1023996.0,82875,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:24:00.955216,72172,6.0
5454.0,mothur.count_table,2017-10-27 07:23:50.904603,slurm_normal,1509089134.0,0,,1.0,main_w4_handler1,3296007,17237124,False,,11297797,slurm,,132112168.0,,,corral-repl,16298,mothur.list,,"""c278297ebae711e7a0b1005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810792}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31919046}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810801}]",32.0,,,1509089128.0,ok,,,1023996.0,13656,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:25:43.230184,72172,6.0
29596.0,mothur.count_table,2017-10-27 07:20:48.529134,slurm_normal,1509088944.0,0,,1.0,main_w4_handler1,3296002,17237099,False,,11297777,slurm,,132112168.0,,,corral-repl,60235,mothur.list,,"""4fcbbc1abae711e79589005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810608}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918968}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810617}]",32.0,,,1509088938.0,ok,,,1023996.0,75608,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:22:30.934615,72172,6.0
3474.0,mothur.count_table,2017-10-27 07:23:02.776179,slurm_normal,1509089076.0,0,,1.0,main_w4_handler1,3296005,17237118,False,,11297791,slurm,,132112168.0,,,corral-repl,7009,mothur.list,,"""a3d25620bae711e7bc1e005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810725}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31919025}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810735}]",32.0,,,1509089071.0,ok,,,1023996.0,8687,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:24:41.338660,72172,5.0
44354.0,mothur.count_table,2017-10-30 16:32:45.712730,slurm_normal,1509381234.0,0,,1.0,main_w4_handler1,3304442,17266621,False,,11325727,slurm,,132112168.0,,,corral-repl,327224,mothur.list,,,"""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31967727}]","""60""","""?""","[""0.03""]",,"[{'src': 'hda', 'id': 31967842}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31967728}]",32.0,,39677360.0,1509381227.0,ok,,,1023996.0,117085,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-30 16:34:22.821125,654,7.0
465961.0,mothur.count_table,2017-11-01 09:05:54.567410,slurm_normal,1509527252.0,0,,1.0,main_w3_handler1,3302101,17283506,False,,11344791,slurm,,132112168.0,,,corral-repl,1405356,mothur.list,,"""d904bd7ebee311e78f91005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31998354}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31998749}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31998618}]",32.0,,,1509527245.0,ok,,,1023996.0,1215908,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-11-01 09:07:55.548275,72172,7.0
433170.0,mothur.count_table,2017-11-01 09:56:01.298086,slurm_normal,1509530379.0,0,,1.0,main_w4_handler1,3302099,17283847,False,,11345152,slurm,,132112168.0,,,corral-repl,1308280,mothur.list,,"""dbaffb22beea11e7853a005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31998946}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31999307}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31998963}]",32.0,,,1509530373.0,ok,,,1023996.0,1138772,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-11-01 09:59:44.081310,72172,6.0
3545.0,mothur.count_table,2017-11-01 11:09:07.879454,slurm_normal,1509534613.0,0,,1.0,main_w4_handler0,3306806,17284288,False,,11345708,slurm,,132112168.0,,,corral-repl,14008,mothur.list,,"""0f30b9b4bef511e7a493005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31999399}]","""60""","""?""",,,"[{'src': 'hda', 'id': 32000134}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31999408}]",32.0,,,1509534608.0,ok,,,1023996.0,9312,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-11-01 11:10:21.003673,72172,5.0
440512.0,mothur.count_table,2017-11-01 11:10:13.232387,slurm_normal,1509534696.0,0,,1.0,main_w3_handler0,3302094,17284293,False,,11345715,slurm,,132112168.0,,,corral-repl,1330559,mothur.list,,"""3610ffc6bef511e7853a005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31999048}]","""60""","""?""",,,"[{'src': 'hda', 'id': 32000145}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31999054}]",32.0,,,1509534690.0,ok,,,1023996.0,1155562,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-11-01 11:11:54.296725,72172,6.0
