chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.keep_sscs,parameters.min_reads,parameters.qual_format,parameters.qual_thres,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-20 20:44:57.691274,slurm_normal,1466455515.0,0,1.0,main_w2_handler0,2743471,13215385,False,,3665496,tabular,7400033.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ecbcfeb2bc5cbe3a'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:19.983461,86313.0,4.0
,,2016-06-20 20:45:00.356313,slurm_normal,1466455524.0,0,1.0,main_w2_handler0,2743471,13215389,False,,2652812,tabular,7400035.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd6f65635b339665'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:29.193920,86313.0,13.0
,,2016-06-20 20:44:59.390756,slurm_normal,1466455515.0,0,1.0,main_w1_handler1,2743471,13215387,False,,3987616,tabular,7400034.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b510f32844f26c6337'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:18.574935,86313.0,4.0
,,2016-06-20 20:44:57.063413,slurm_normal,1466455524.0,0,1.0,main_w1_handler1,2743471,13215384,False,,2559134,tabular,7400032.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ec538e754502e08'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:28.437179,86313.0,18.0
,,2016-06-20 20:44:58.576296,slurm_normal,1466455530.0,0,1.0,main_w2_handler1,2743471,13215386,False,,3252524,tabular,7400041.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5944bfd681a3a52e9'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:33.700386,86313.0,4.0
,,2016-06-20 20:45:17.138897,slurm_normal,1466455574.0,0,1.0,main_w2_handler1,2743471,13215417,False,,2590830,tabular,7400059.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508be04962f055d39'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:46:16.034038,86313.0,6.0
,,2016-06-20 20:45:01.063518,slurm_normal,1466455524.0,0,1.0,main_w2_handler0,2743471,13215390,False,,3643748,tabular,7400038.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5584dd95561e380ce'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:29.174951,86313.0,4.0
,,2016-06-20 20:45:11.068298,slurm_normal,1466455548.0,0,1.0,main_w1_handler0,2743471,13215404,False,,3620036,tabular,7400050.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55ce5b690906d9fe5'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455541.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:52.573080,86313.0,7.0
,,2016-06-20 20:45:08.114742,slurm_normal,1466455536.0,0,1.0,main_w1_handler0,2743471,13215398,False,,3503564,tabular,7400044.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5047be33ebdcdaf00'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:40.537583,86313.0,7.0
,,2016-06-20 20:45:04.196276,slurm_normal,1466455545.0,0,1.0,main_w2_handler1,2743471,13215392,False,,3194238,tabular,7400049.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c9d9ec0213324ef1'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455541.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:47.509423,86313.0,4.0
