create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile_control,infile_control_filetype,infile_treatment,infile_treatment_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bdgcmp_options.__current_case__,parameters.bdgcmp_options.bdgcmp_options_selector,parameters.bdgcmp_options.pseudocount,parameters.chromInfo,parameters.dbkey,parameters.infile_control.values,parameters.infile_treatment.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-09 16:36:10.692023,slurm_normal,1510245824.0,0,,1.0,main_w4_handler0,3307182,17399237,False,922621713,bedgraph,673402699,bedgraph,,11460696,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005187}]","[{'src': 'hda', 'id': 32005991}]",32.0,,41648362.0,1510245582.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-09 16:43:55.384605,59928.0,242.0
2017-11-10 17:50:45.713285,slurm_normal,1510336779.0,0,,1.0,main_w3_handler0,3307182,17412838,False,1179637253,bedgraph,1036824640,bedgraph,,11474740,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005994}]","[{'src': 'hda', 'id': 32005177}]",32.0,,41648362.0,1510336449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:59:40.783724,59928.0,330.0
2017-11-10 17:48:27.238053,slurm_normal,1510336534.0,0,,1.0,main_w3_handler1,3307182,17412798,False,1335227737,bedgraph,1386588593,bedgraph,,11474642,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005178}]","[{'src': 'hda', 'id': 32005992}]",32.0,,41648362.0,1510336110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:55:34.755809,59928.0,424.0
2017-11-10 17:48:50.023005,slurm_normal,1510336508.0,0,,1.0,main_w3_handler0,3307182,17412803,False,1149318011,bedgraph,1115040191,bedgraph,,11474649,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005176}]","[{'src': 'hda', 'id': 32005993}]",32.0,,41648362.0,1510336132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:55:11.896550,59928.0,376.0
2017-11-10 17:49:47.098372,slurm_normal,1510336576.0,0,,1.0,main_w4_handler1,3307182,17412812,False,876192031,bedgraph,1531015342,bedgraph,,11474663,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005990}]","[{'src': 'hda', 'id': 32005995}]",32.0,,41648362.0,1510336197.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:56:21.445585,59928.0,379.0
2017-11-10 17:48:06.967487,slurm_normal,1510336437.0,0,,1.0,main_w4_handler1,3307182,17412790,False,1079725097,bedgraph,921711368,bedgraph,,11474638,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005989}]","[{'src': 'hda', 'id': 32005997}]",32.0,,41648362.0,1510336100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:54:04.677163,59928.0,337.0
2017-11-10 17:50:13.071906,slurm_normal,1510336787.0,0,,1.0,main_w3_handler1,3307182,17412818,False,673402699,bedgraph,922621713,bedgraph,,11474770,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005991}]","[{'src': 'hda', 'id': 32005187}]",32.0,,41648362.0,1510336536.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 17:59:49.525004,59928.0,251.0
2017-11-10 17:52:35.453760,slurm_normal,1510336859.0,0,,1.0,main_w4_handler0,3307182,17412861,False,1115040191,bedgraph,1149318011,bedgraph,,11474763,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005993}]","[{'src': 'hda', 'id': 32005176}]",32.0,,41648362.0,1510336516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 18:01:04.752522,59928.0,343.0
2017-11-10 17:51:14.434404,slurm_normal,1510336928.0,0,,1.0,main_w3_handler1,3307182,17412842,False,921711368,bedgraph,1079725097,bedgraph,,11474782,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005997}]","[{'src': 'hda', 'id': 32005989}]",32.0,,41648362.0,1510336583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 18:02:11.951369,59928.0,345.0
2017-11-10 17:52:03.737268,slurm_normal,1510337234.0,0,,1.0,main_w3_handler1,3307182,17412851,False,1386588593,bedgraph,1335227737,bedgraph,,11474842,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005992}]","[{'src': 'hda', 'id': 32005178}]",32.0,,41648362.0,1510336785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 18:07:15.227467,59928.0,449.0
2017-11-10 18:00:59.308532,slurm_normal,1510344160.0,0,,1.0,main_w3_handler1,3275834,17412983,False,2642730873,bedgraph,5044782628,bedgraph,,11474857,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31665445}]","[{'src': 'hda', 'id': 31665444}]",32.0,,40334493.0,1510336861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-10 20:03:03.986743,91117.0,7299.0
2017-11-13 17:10:59.709576,slurm_normal,1510593437.0,0,,1.0,main_w4_handler0,2922150,17439865,False,426636993,bedgraph,1731927367,bedgraph,,11498530,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29252165}]","[{'src': 'hda', 'id': 29252164}]",32.0,,41648724.0,1510593062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-13 17:17:18.328677,46988.0,375.0
2017-11-13 17:12:11.307102,slurm_normal,1510593459.0,0,,1.0,main_w4_handler0,2922150,17439868,False,390268523,bedgraph,1507236683,bedgraph,,11498533,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29252062}]","[{'src': 'hda', 'id': 29252061}]",32.0,,41648724.0,1510593134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-13 17:17:40.750400,46988.0,325.0
2017-11-27 16:14:49.636848,slurm_normal,1511800481.0,0,,1.0,main_w3_handler1,3326580,17606255,False,3060308773,bedgraph,1022944104,bedgraph,,11665726,slurm,,132112168.0,corral-repl,,,0,FE,0.0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32454307}]","[{'src': 'hda', 'id': 32454306}]",32.0,,42022705.0,1511799333.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-27 16:34:46.959408,116348.0,1148.0
2017-11-27 16:15:21.188671,slurm_normal,1511800096.0,0,,1.0,main_w3_handler0,3326580,17606293,False,1665118479,bedgraph,957599889,bedgraph,,11665728,slurm,,132112168.0,corral-repl,,,0,FE,0.0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32454359}]","[{'src': 'hda', 'id': 32454358}]",32.0,,42022705.0,1511799335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-27 16:28:20.554230,116348.0,761.0
2018-01-14 02:19:19.319314,slurm_normal,1515896895.0,0,,1.0,main_w4_handler0,1934684,18028773,False,2631392338,bedgraph,607138815,bedgraph,,12106022,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33304339}]","[{'src': 'hda', 'id': 33304346}]",32.0,,43187322.0,1515896363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-14 02:28:17.210353,46725.0,532.0
2018-01-15 14:49:54.018378,slurm_normal,1516027839.0,0,,1.0,main_w4_handler1,3316534,18039524,False,143888941,bedgraph,146803410,bedgraph,,12116654,slurm,,132112168.0,corral-repl,,,4,qpois,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","[{'src': 'hda', 'id': 32153942}]","[{'src': 'hda', 'id': 32153937}]",32.0,,43165287.0,1516027811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-15 14:50:40.976740,71567.0,28.0
2018-01-15 14:52:54.741301,slurm_normal,1516028017.0,0,,1.0,main_w4_handler0,3316534,18039550,False,143888941,bedgraph,146559439,bedgraph,,12116661,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","[{'src': 'hda', 'id': 32153942}]","[{'src': 'hda', 'id': 32153938}]",32.0,,43165287.0,1516027977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-15 14:53:39.651495,71567.0,40.0
2018-01-15 14:49:19.209037,slurm_normal,1516027810.0,0,,1.0,main_w3_handler0,3316534,18039519,False,143888941,bedgraph,142824292,bedgraph,,12116645,slurm,,132112168.0,corral-repl,,,0,FE,1.0,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","[{'src': 'hda', 'id': 32153942}]","[{'src': 'hda', 'id': 32153939}]",32.0,,43165287.0,1516027770.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-15 14:50:11.878472,71567.0,40.0
2018-01-15 14:49:55.291352,slurm_normal,1516027850.0,0,,1.0,main_w4_handler1,3316534,18039526,False,143888941,bedgraph,142824292,bedgraph,,12116655,slurm,,132112168.0,corral-repl,,,4,qpois,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","[{'src': 'hda', 'id': 32153942}]","[{'src': 'hda', 'id': 32153939}]",32.0,,43165287.0,1516027818.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-15 14:50:51.719273,71567.0,32.0
2018-01-15 14:49:18.025385,slurm_normal,1516027805.0,0,,1.0,main_w3_handler1,3316534,18039517,False,143888941,bedgraph,146803410,bedgraph,,12116646,slurm,,132112168.0,corral-repl,,,0,FE,1.0,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","[{'src': 'hda', 'id': 32153942}]","[{'src': 'hda', 'id': 32153937}]",32.0,,43165287.0,1516027765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-15 14:50:09.054061,71567.0,40.0
