	fastq_input1	fastq_input11	fastq_input11_filetype	fastq_input12	fastq_input12_filetype	fastq_input1_filetype	fastq_input2	fastq_input2_filetype	parameters.analysis_type.algorithmic_options.algorithmic_options_selector	parameters.analysis_type.analysis_type_selector	parameters.analysis_type.io_options.io_options_selector	parameters.analysis_type.scoring_options.A	parameters.analysis_type.scoring_options.B	parameters.analysis_type.scoring_options.E	parameters.analysis_type.scoring_options.O	parameters.analysis_type.scoring_options.U	parameters.analysis_type.scoring_options.scoring_options_selector	parameters.fastq_input.fastq_input_selector	parameters.reference_source.index_a	parameters.reference_source.ref_file	parameters.rg.rg_selector	ref_file	ref_file_filetype	runtime
1279	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	18.0
1280	489863727.0		none		none	uncompressed	490147727.0	uncompressed		illumina								paired		hg19	set		none	296.0
1281	49687928.0		none		none	uncompressed	49674430.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	12.0
1282	6489717.0		none		none	uncompressed	6489717.0	uncompressed		illumina								paired		hg38	do_not_set		none	9.0
1283	5567294.0		none		none	uncompressed	5567294.0	uncompressed		illumina								paired		hg38	do_not_set		none	145.0
1284	72762550.0		none		none	uncompressed	65695870.0	uncompressed		illumina								paired		hg19	do_not_set		none	47.0
1285	2308402894.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1868.0
1286	7053217748.0		none		none	uncompressed		none		pacbio								single	auto		do_not_set	6245.0	uncompressed	1500.0
1287	8100797421.0		none		none	uncompressed	7827009293.0	uncompressed		illumina								paired		hg38	set_picard		none	2675.0
1288	7407953038.0		none		none	uncompressed	7133923914.0	uncompressed		illumina								paired		hg38	set_picard		none	2486.0
1289	209604469.0		none		none	uncompressed	208371351.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	33.0
1290	25038460.0		none		none	uncompressed	25038460.0	uncompressed		illumina								paired		hg19	do_not_set		none	163.0
1291	2006705194.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1687.0
1292	1630289790.0		none		none	uncompressed		none		illumina								single		hg38	do_not_set		none	1960.0
1293	1620887206.0		none		none	uncompressed		none		illumina								single		hg38	do_not_set		none	1905.0
1294	26274336.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	193200.0	uncompressed	7.0
1295	883283409.0		none		none	uncompressed	999172809.0	uncompressed		illumina								paired		hg38	set		none	603.0
1296	911199698.0		none		none	uncompressed	1030751738.0	uncompressed		illumina								paired		hg38	set		none	455.0
1297	363581177.0		none		none	uncompressed	411283751.0	uncompressed		illumina								paired		hg38	set		none	235.0
1298	731232816.0		none		none	uncompressed	827172240.0	uncompressed		illumina								paired		hg38	set		none	387.0
1299	582403774.0		none		none	uncompressed	658817212.0	uncompressed		illumina								paired		hg38	set		none	340.0
1300	1487331112.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	1224.0
1301	550375000.0		none		none	uncompressed	622586032.0	uncompressed		illumina								paired		hg38	set		none	329.0
1302	574746.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	71.0
1303	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	33.0
1304	229927087.0		none		none	uncompressed	260094097.0	uncompressed		illumina								paired		hg38	set		none	132.0
1305	325120186.0		none		none	uncompressed	367776910.0	uncompressed		illumina								paired		hg38	set		none	147.0
1306	3251715581.0		none		none	uncompressed	3251715581.0	uncompressed		illumina								paired	auto		do_not_set	12310392.0	uncompressed	929.0
1307	316648074.0		none		none	uncompressed	358193190.0	uncompressed		illumina								paired		hg38	set		none	180.0
1308	2013835115.0		none		none	uncompressed	2278055297.0	uncompressed		illumina								paired		hg38	set		none	596.0
1309	357346845.0		none		none	uncompressed	404231625.0	uncompressed		illumina								paired		hg38	set		none	204.0
1310	569876898.0		none		none	uncompressed	644646342.0	uncompressed		illumina								paired		hg38	set		none	382.0
1311		109960669.0	uncompressed	104120557.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	43.0
