create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_11,input_11_filetype,input_12,input_12_filetype,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.align_mode.score_min_loc,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.input_options.int_quals,parameters.analysis_type.input_options.qupto,parameters.analysis_type.input_options.qv_encoding,parameters.analysis_type.input_options.skip,parameters.analysis_type.input_options.solexa_quals,parameters.analysis_type.input_options.trim3,parameters.analysis_type.input_options.trim5,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.non_deterministic,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.other_options.seed,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.input_1,parameters.library.input_2,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.read_group.__current_case__,parameters.read_group.read_group_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file,parameters.reference_genome.source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-29 18:21:18.765496,slurm_multi,,main_w2_handler2,2286031,9361870,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26259769.0,,,,,fastqsanger,,,3698258,slurm,,corral-repl,4444271.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/rhizEtli_CFN_42.len""","""rhizEtli_CFN_42""",0,19499164,,,,,,,,,,,,single,False,1,no,1,,19512412.0,history,,22757989,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-04-29 18:23:00.332386,37607,101.56689
2015-12-05 14:09:33.957888,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11095679,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7822570.0,,,,,fastqsanger,,,5353143,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317312,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-05 14:10:46.093642,68062,72.135754
2015-12-05 14:30:49.996582,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11095787,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7822570.0,,,,,fastqsanger,,,5353353,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317312,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-05 14:31:26.504170,68062,36.507588000000005
2015-10-25 00:00:53.795700,slurm_multi_dynamic_walltime,,main_w2_handler2,2162278,10719250,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14657932642.0,,,,,fastqsanger,,,4981261,slurm,,corral-repl,392401631.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21724711,,,,,,,,,,,,single,False,1,no,1,,21726260.0,history,,25869002,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-10-25 00:21:17.685378,57816,1223.889678
2015-12-05 14:05:08.716996,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11095672,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7886009.0,,,,,fastqsanger,,,5353120,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317310,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-05 14:10:21.222258,68062,312.505262
2015-09-07 04:31:02.758950,slurm_multi_dynamic_walltime,,main_w2_handler2,2429139,10269339,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",322065654.0,,,,,fastqsanger,,,4555694,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,21025823,,,,,,,,,,,,single,True,1,no,1,,21015728.0,history,,25045925,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-07 05:26:21.931576,68199,3319.172626
2015-09-03 03:05:18.830086,slurm_multi_dynamic_walltime,,main_w2_handler2,2419453,10248861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",335602279.0,,,,,fastqsanger,,,4535727,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,1,,,1.0,,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,0.0,no,1.0,no,1.0,no,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,20983512,,,,,,,,,,,,single,True,1,no,1,,20979783.0,history,,24994049,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-03 03:52:57.543904,68199,2858.713818
2015-05-19 19:51:30.385923,slurm_multi_dynamic_walltime,,main_w2_handler2,2101557,9498723,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",372222714.0,,,,,fastqsanger,,,3820298,slurm,,corral-repl,277661302.0,fasta,,0,no,,"""678f0eb0fe6011e4aaae005056a52a46""",1,18,1,0.0,1.0,local,,"G,20,8",yes,15,4,"S,1,0.5",False,"L,0,0.15",False,False,False,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/main/files/009/583/dataset_9583907.dat""","""P3-PEST_chr7""",0,17370254,,,,,,,,,,,,single,False,1,no,1,,19130179.0,history,,22577919,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-05-19 21:50:50.834804,53939,7160.448881
2015-04-29 18:25:01.548774,slurm_multi,,main_w2_handler2,2286031,9361896,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26259769.0,,,,,fastqsanger,,,3698294,slurm,,corral-repl,4444271.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/rhizEtli_CFN_42.len""","""rhizEtli_CFN_42""",0,19499164,,,,,,,,,,,,single,False,1,no,1,,19512412.0,history,,22757989,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-04-29 18:25:45.355517,37607,43.806743000000004
2015-04-30 17:47:23.095328,slurm_multi_dynamic_walltime,,main_w2_handler2,2286031,9370146,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26259769.0,,,,,fastqsanger,,,3706104,slurm,,corral-repl,4444271.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/rhizEtli_CFN_42.len""","""rhizEtli_CFN_42""",0,19499164,,,,,,,,,,,,single,False,1,no,1,,19512412.0,history,,22757989,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-04-30 17:49:28.838929,37607,125.74360100000001
2015-10-30 16:06:27.521546,slurm_multi_dynamic_walltime,,main_w2_handler2,1372215,10774125,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3499515287.0,,,,,fastqsanger,3499515287.0,fastqsanger,5032319,slurm,,corral-repl,,,,0,no,,,1,20,0,0.0,0.0,end-to-end,"L,-0.6,-0.6",,yes,15,4,"S,1,0.50",False,"L,0,0.15",False,False,False,full,20,3,0.0,yes,1.0,no,,,,,,,,1.0,,no,,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,21721254,21721257.0,0,500,0.0,False,--fr,False,False,False,False,yes,paired,True,1,no,0,hg19,,indexed,,25915693,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-10-30 17:31:22.488322,32813,5094.966776
2015-10-25 00:00:50.718803,slurm_multi_dynamic_walltime,,main_w2_handler2,2162278,10719248,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14657932642.0,,,,,fastqsanger,,,4981259,slurm,,corral-repl,507413778.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21724711,,,,,,,,,,,,single,False,1,no,1,,21726258.0,history,,25869002,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-10-25 00:22:03.088152,57816,1272.369349
2016-01-08 04:32:13.950621,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11412725,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7886009.0,,,,,fastqsanger,,,5679079,slurm,,corral-repl,3624599.0,fasta,,0,no,,,1,22,0,0.0,0.0,end-to-end,"L,-0.6,-0.6",,yes,15,4,"S,1,1.15",False,"L,0,0.15",False,False,False,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,0.0,no,1.0,no,1.0,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317310,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2016-01-08 04:37:35.413886,68062,321.46326500000004
2015-11-25 09:51:03.120642,slurm_multi_dynamic_walltime,,main_w2_handler2,2518461,11002117,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,3148236806.0,fastqsanger,3153730762.0,fastqsanger,,,,5261308,slurm,,corral-repl,23651643464.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,hdca:9896,,,,1.0,,,,,,,no,paired_collection,False,1,no,1,,22155011.0,history,,24876659,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-11-25 10:27:52.649137,21426,2209.528495
2015-09-07 03:21:36.247996,slurm_multi_dynamic_walltime,,main_w2_handler2,2429139,10269144,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",322065654.0,,,,,fastqsanger,,,4555570,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,21025823,,,,,,,,,,,,single,False,1,no,1,,21015728.0,history,,25045925,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-07 04:12:25.004945,68199,3048.756949
2015-11-25 10:46:19.397579,slurm_multi_dynamic_walltime,,main_w2_handler2,2518461,11002418,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,2682374948.0,fastqsanger,2684842412.0,fastqsanger,,,,5261485,slurm,,corral-repl,23651643464.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,hdca:9895,,,,1.0,,,,,,,no,paired_collection,False,1,no,1,,22155011.0,history,,24876659,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-11-25 11:01:00.557356,21426,881.1597770000001
2015-09-22 15:58:17.883502,slurm_multi_dynamic_walltime,,main_w2_handler2,2447377,10382808,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",55228755.0,,,,,fastqsanger,,,4663987,slurm,,corral-repl,,,,0,no,,,1,20,0,0.0,1.0,local,,"G,20,8",yes,50,4,"S,1,0.5",False,"L,0,0.15",True,False,False,full,15,2,0.0,yes,1.0,no,,,,,,,,0.0,False,yes,0,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21207757,,,,,,,,,,,,single,True,1,no,0,hg19,,indexed,,25104197,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-22 16:11:12.038646,68374,774.1551440000001
2015-12-10 09:16:43.315072,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11137544,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7886009.0,,,,,fastqsanger,,,5405603,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317310,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-10 09:19:46.328257,68062,183.01318500000002
2015-09-07 03:22:22.369798,slurm_multi_dynamic_walltime,,main_w2_handler2,2429139,10269145,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",322065654.0,,,,,fastqsanger,,,4555571,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,21025823,,,,,,,,,,,,single,True,1,no,1,,21015728.0,history,,25045925,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-07 04:12:58.711272,68199,3036.3414740000003
2015-09-17 13:44:11.275647,slurm_multi_dynamic_walltime,,main_w2_handler2,2436666,10344216,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18394811834.0,,,,,fastqsanger,,,4627399,slurm,,corral-repl,20383617786.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21090209,,,,,,,,,,,,single,True,1,no,1,,21147673.0,history,,25109879,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-17 13:57:37.166301,51591,805.890654
