create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorList,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-12 08:22:40.355438,slurm_normal,,main_w3_handler0,3102668,15822809,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9925441.roundup,slurm,,43591243,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29554432}]",0,,,,,no,,37874260,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-05-12 14:56:35.253436,105462,23634.897998
2018-02-21 16:11:11.176961,slurm_normal,,main_w4_handler1,3251344,18466286,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12560153,slurm,,329135057,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu_r'],,25.0,7.5,black,false,,peak centre,,,yes,descend,region_length,,0.0,2.0,none,,,no,"plot, heatmap and colorbar",,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33981135}]",0,,,,,no,,44058300,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-02-21 16:16:15.143182,111397,303.966221
2017-10-03 18:30:29.028372,slurm_normal,,main_w4_handler1,2294490,17013485,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11070152.roundup,slurm,,216112779,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 31542859}]",0,,,,,no,,41024931,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-10-03 20:35:41.012943,63154,7511.984571000001
2017-12-06 12:12:11.645355,slurm_normal,,main_w3_handler0,3351944,17717080,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11782537,slurm,,59879530,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32762882}]",1,300,png,false,false,yes,,42446693,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-06 12:18:40.812935,21426,389.16758000000004
2017-05-15 02:42:31.043892,slurm_normal,,main_w4_handler1,2637453,15834311,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9935585.roundup,slurm,,195402116,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29594749}]",0,,,,,no,,37943084,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-05-15 02:44:22.157097,80859,111.11320500000001
2018-02-26 09:19:05.694430,slurm_normal,,main_w4_handler0,3251344,18520319,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12616438,slurm,,151678866,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu_r'],,25.0,7.5,black,false,,peak centre,,,yes,descend,region_length,,0.0,2.0,none,,,no,"plot, heatmap and colorbar",,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34032184}]",0,,,,,no,,44058300,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-02-26 09:22:31.508655,111397,205.81422500000002
2017-07-25 21:26:22.507411,slurm_normal,,main_w3_handler1,3199602,16418170,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10483373.roundup,slurm,,100936094,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30610014}]",1,200,png,false,false,yes,,39495989,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-07-25 21:28:48.066888,109240,145.55947700000002
2017-10-26 11:31:52.933432,slurm_normal,,main_w4_handler0,2400273,17225649,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11287717,slurm,,126750509,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31897069}]",0,,,,,no,,41416008,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-10-26 12:29:12.840863,67372,3439.907431
2017-07-17 01:55:28.447027,slurm_normal,,main_w4_handler1,3185089,16356352,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10420045.roundup,slurm,,4664171,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,3,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 30510084}]",0,,,,,no,,39348067,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-07-17 02:00:04.845532,99256,276.398505
2017-08-15 01:55:02.379241,slurm_normal,,main_w3_handler0,3212941,16581910,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10653299.roundup,slurm,,6270139,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,10,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30875240}]",0,,,,,no,,39713923,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-15 02:00:15.331132,109775,312.95189100000005
