chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-06 16:59:49.067303,slurm_normal_16gb,,main_w2_handler1,2532596,11395329,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",587412065,bam,5663037.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",22375728,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26669533,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-01-06 17:05:20.174045,61539.0,331.106742
,,2015-12-10 22:31:25.344293,slurm_normal_16gb,,main_w1_handler1,2532596,11145564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",587412065,bam,5414976.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",22375728,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26669533,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-10 22:35:59.547042,61539.0,274.20274900000004
,,2015-03-04 12:21:49.755544,rodeo_normal,,main_w2_handler0,2226554,8862126,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11890723,bam,3008411.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",18727482,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""SILENT""",,21576570,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-03-04 12:22:16.754671,60515.0,26.999127
,,2016-04-03 20:18:08.766452,slurm_normal_16gb,,main_w1_handler2,2656141,12327333,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",758869115,bam,6534409.roundup,slurm,,corral-repl,,"""27ecba8af9d911e5a417005056a51846""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""SNP Output 2.1"", ""__index__"": 0}]","""hg38""","""SUM_OF_BASE_QUALITIES""",24126731,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,28299853,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-04-03 21:44:23.059687,78369.0,5174.293235
,,2015-07-08 15:47:24.024568,slurm_normal_16gb,,main_w1_handler2,2360106,9814396,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8148512236,bam,4114564.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""",[],"""Arabidopsis_thaliana_TAIR10""","""SUM_OF_BASE_QUALITIES""",20200266,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,24048822,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-07-08 16:06:35.458447,65459.0,1151.4338790000002
,,2015-12-12 21:08:45.124660,slurm_normal_16gb,,main_w2_handler0,2532596,11164749,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",577752084,bam,5434352.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",22375727,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26669533,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-12 21:15:02.685230,61539.0,377.56057000000004
,,2015-11-25 13:40:04.226933,slurm_normal_16gb,,main_w2_handler0,2460744,11004076,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",942678489,bam,5263041.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/main/files/012/706/dataset_12706550.dat""",[],"""_v1""","""SUM_OF_BASE_QUALITIES""",21943870,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,25526770,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-11-25 13:46:15.501817,70534.0,371.27488400000004
,,2015-12-13 10:32:59.027786,slurm_normal_16gb,,main_w2_handler0,2532105,11165991,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",572689821,bam,5435560.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/dm3.len""",[],"""dm3""","""SUM_OF_BASE_QUALITIES""",22427635,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""SILENT""",,26770469,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-13 10:38:57.694537,74984.0,358.66675100000003
,,2015-04-20 15:04:17.895435,slurm_normal_16gb,,main_w2_handler1,2272423,9279150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1408026112,bam,3580470.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",[],"""hg_g1k_v37""","""SUM_OF_BASE_QUALITIES""",19335754,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,22594504,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-04-20 15:18:46.896605,62317.0,869.00117
,,2015-11-16 18:37:50.087936,slurm_normal_16gb,,main_w2_handler0,2508649,10916960,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",570662919,bam,5170120.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm10.len""",[],"""mm10""","""SUM_OF_BASE_QUALITIES""",22023613,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26303660,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-11-16 18:46:32.803094,,522.7151580000001
