create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.description_length,parameters.fastq_input.__current_case__,parameters.fastq_input.fastq_input1,parameters.fastq_input.fastq_input1.values,parameters.fastq_input.fastq_input2,parameters.fastq_input.fastq_input2.values,parameters.fastq_input.fastq_input_selector,parameters.fastq_input.filter_chimeras.__current_case__,parameters.fastq_input.filter_chimeras.abundance_cutoff,parameters.fastq_input.filter_chimeras.abundance_ratio,parameters.fastq_input.filter_chimeras.dissimilarity_control,parameters.fastq_input.filter_chimeras.filter_chimeras_selector,parameters.fastq_input.filter_chimeras.min_chimeric_length,parameters.match_length,parameters.mismatches_allowed,parameters.prefix_length,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-17 03:05:06.038311,slurm_normal,,10649461481,fasta,,,main_w4_handler1,2997589,15063361,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9218830.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28392683}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,36074625,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-02-17 03:05:59.000690,100275.0,52.962379000000006
2016-07-25 01:33:34.922297,slurm_normal,,345939972,fasta,,,main_w1_handler0,2769555,13481512,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7697419.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59035f80d06794f4f'}]",,,single,0.0,1,1,1,true,30,"""false""","""0.05""","""0""",,31559762,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-07-25 02:10:18.090687,87521.0,2203.1683900000003
2016-01-13 10:09:25.236106,slurm_normal,,5073060884,fastqsanger,,,main_w1_handler1,2563388,11489792,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5754215.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/equCab2.len""","""equCab2""","""0""",1,22870042.0,,,,single,1.0,,,,false,,"""True""","""""","""0""",,27378567,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-01-13 10:12:16.689183,41762.0,171.453077
2016-07-11 19:36:22.412631,slurm_normal,,9217220156,fastqsanger,,,main_w1_handler1,2742245,13377499,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7588577.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""0""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578ab4d7a0e7014c6'}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,30312897,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-07-11 19:37:52.700435,44999.0,90.28780400000001
2016-11-16 06:34:24.253418,slurm_normal,,5492190471,fasta,,,main_w3_handler0,2763699,14351188,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8557168.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c06d4296e2f68b9'}]",,,single,0.0,1,1,1,true,30,"""true""","""""","""0""",,34272779,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-11-16 07:04:44.716401,5035.0,1820.4629830000001
2018-01-18 17:28:14.916714,slurm_normal,,7806561960,fastqsanger,7806561960.0,fastqsanger,main_w3_handler0,3352993,18074135,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12152707,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 32729715}]",,"[{'src': 'hda', 'id': 32741946}]",paired,,,,,,,"""true""","""2.0""","""0""",,43246750,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2018-01-18 17:29:27.922160,114709.0,73.005446
2017-01-19 01:44:19.175259,slurm_normal,,31147972126,fastqsanger,,,main_w4_handler0,2959258,14806291,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8969502.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""",1,,"[{'src': 'hda', 'id': 27968610}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,35444484,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-01-19 01:45:25.032687,59970.0,65.857428
2016-07-21 07:01:58.486197,slurm_normal,,497286695,fasta,,,main_w1_handler0,2769555,13459266,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7673538.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4ae7f8304c4e2cb'}]",,,single,0.0,1,1,1,true,30,"""false""","""0.05""","""0""",,31559762,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-07-21 07:07:29.994974,87521.0,331.508777
2016-10-14 09:10:15.514552,slurm_normal,,3488561140,fastqsanger,3421772792.0,fastqsanger,main_w4_handler0,2853420,14080465,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8296946.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b530597d8504f6b479'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5681eb7130ae792e1'}]",paired,,,,,,,"""false""","""""","""0""",,33653031,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-10-14 09:12:24.270066,92154.0,128.755514
2016-01-13 09:59:26.244112,slurm_normal,,9131626884,fastqsanger,,,main_w2_handler0,2563388,11489752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5754015.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/equCab2.len""","""equCab2""","""0""",1,22870046.0,,,,single,1.0,,,,false,,"""True""","""""","""0""",,27378567,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-01-13 10:00:52.996613,41762.0,86.75250100000001
