create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field1.__class__,parameters.field1.value,parameters.field2,parameters.field2.__class__,parameters.field2.value,parameters.fill_empty_columns.__current_case__,parameters.fill_empty_columns.fill_empty_columns_switch,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.partial,parameters.unmatched,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-27 16:44:10.131632,slurm_normal_16gb,,main_w1_handler2,2418655,10211390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11680254847,tabular,11284457725,tabular,4481811.roundup,slurm,,corral-repl,,"""d2c2f0de4cda11e5ac6e005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20927799,,20927798,,"""""","""""",,24306351,error,join1,2.0.2,,2015-08-27 18:19:12.986455,46374,5702.854823000001
2015-09-01 18:55:31.634687,slurm_normal_16gb,,main_w2_handler0,2425426,10239411,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11680254847,tabular,11284457725,tabular,4520186.roundup,slurm,,corral-repl,,"""fd4b73f450da11e580ad005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20976758,,20976757,,"""""","""""",,24306351,error,join1,2.0.2,,2015-09-01 20:47:53.127672,46374,6741.492985000001
2014-12-24 12:30:31.994249,rodeo_normal,,main_w2_handler1,1913223,8463901,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",413,tabular,4942994172,interval,633573.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,no_fill,18061875,,18047673,,"""-p""","""-u""",,20053988,error,join1,2.0.2,,2014-12-24 12:35:58.487794,23526,326.49354500000004
2015-08-27 16:44:10.970588,slurm_normal_16gb,,main_w1_handler1,2418655,10211391,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11930778312,tabular,11533152795,tabular,4481835.roundup,slurm,,corral-repl,,"""d2c2f0de4cda11e5ac6e005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20927801,,20927800,,"""""","""""",,24306351,error,join1,2.0.2,,2015-08-27 18:23:19.094511,46374,5948.123923
2015-09-01 14:22:21.827391,slurm_normal_16gb,,main_w2_handler1,2418655,10236946,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11930778312,tabular,11533152795,tabular,4517918.roundup,slurm,,corral-repl,,"""d354c54e50b411e5af2d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20973329,,20973328,,"""""","""""",,24306351,error,join1,2.0.2,,2015-09-01 16:26:07.079248,46374,7425.251857
2015-06-15 17:51:31.464100,slurm_normal_16gb,,main_w1_handler2,2319831,9655997,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24252946620,sam,24393582266,sam,3966681.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""1""",,,0,no_fill,19956247,,19956244,,"""""","""""",,23645185,error,join1,2.0.2,,2015-06-15 17:58:22.946585,51511,411.48248500000005
2015-08-26 14:08:29.103684,slurm_normal_16gb,,main_w2_handler0,2418655,10204201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11680254847,tabular,11284457725,tabular,4474933.roundup,slurm,,corral-repl,,"""e6a1f35a4bfb11e5ad62005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20915251,,20915250,,"""""","""""",,24306351,error,join1,2.0.2,,2015-08-26 16:45:18.616856,46374,9409.513172
2015-06-16 12:51:21.116240,slurm_normal_16gb,,main_w2_handler1,2319831,9663466,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",24252946620,sam,24393582266,sam,3972939.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""1""",,,0,no_fill,19956247,,19956244,,"""""","""""",,23656150,error,join1,2.0.2,,2015-06-16 12:57:44.601691,51511,383.485451
2014-12-24 12:20:19.925939,rodeo_normal,,main_w2_handler1,1913223,8463864,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",413,tabular,4942994172,interval,2371731.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,no_fill,18061875,,18047673,,"""-p""","""-u""",,20053988,error,join1,2.0.2,,2014-12-24 12:22:39.209955,23526,139.284016
2014-12-24 14:50:39.117003,rodeo_normal,,main_w2_handler1,1913223,8464159,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",413,tabular,3477446986,interval,633971.rodeo,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,no_fill,18061875,,15692830,,"""-p""","""-u""",,20053988,error,join1,2.0.2,,2014-12-24 14:54:14.960746,23526,215.84374300000002
