candidate,candidate_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
634287,fasta,2017-04-22 00:02:49.761632,slurm_normal,,main_w3_handler0,3082534,15648406,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9765828.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29315068}]","[{'src': 'hda', 'id': 29314816}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37486914,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-22 00:06:33.474778,101716.0,223.71314600000002
180658,fasta,2017-05-03 16:43:58.837936,slurm_normal,,main_w4_handler0,2946172,15737632,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9847311.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29454046}]","[{'src': 'hda', 'id': 29453996}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37738076,error,3309953,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-03 16:44:25.589982,82702.0,26.752046
47334,fasta,2017-05-22 10:27:45.675874,slurm_normal,,main_w3_handler0,1845131,15905023,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10003362.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29714158}]","[{'src': 'hda', 'id': 29714177}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,yes,0.5,0,no,0,8,kmer,,37926913,error,830476,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-22 10:28:33.675904,26231.0,48.00003
661819679,fasta,2017-03-20 07:31:11.963584,slurm_normal,,main_w3_handler0,3037790,15340462,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9480016.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28831769}]","[{'src': 'hda', 'id': 28831872}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36715994,error,747397400,mothur.align,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-20 07:32:04.036955,,52.073371
23138145,fasta,2017-03-16 00:20:32.060176,slurm_normal,,main_w4_handler1,3029962,15308176,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9450442.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28742297}]","[{'src': 'hda', 'id': 28777726}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-16 00:21:37.157402,28561.0,65.097226
142,fasta,2017-03-06 23:36:26.597724,slurm_normal,,main_w4_handler1,2738568,15224728,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9373291.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 25417745}]","[{'src': 'hda', 'id': 28646017}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,35320081,error,5526769,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-07 02:14:47.357920,78661.0,9500.760196000001
4541583,fasta,2017-05-30 04:41:58.726814,slurm_normal,,main_w4_handler1,3050219,15964416,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10061210.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29811417}]","[{'src': 'hda', 'id': 29811418}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37086505,error,4864,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-30 04:42:26.938042,103511.0,28.211228000000002
166888817,fasta,2017-04-27 22:17:55.581472,slurm_normal,,main_w3_handler0,3041699,15696368,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9809392.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29178429}]","[{'src': 'hda', 'id': 29107895}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37027002,error,39036435,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-27 22:18:33.522722,86414.0,37.941250000000004
158207655,fasta,2017-04-18 11:50:32.973391,slurm_normal,,main_w3_handler1,3077160,15613252,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9732047.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29256167}]","[{'src': 'hda', 'id': 29258001}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37330514,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-18 11:54:54.978925,80831.0,262.005534
4541583,fasta,2017-05-30 04:43:14.777092,slurm_normal,,main_w3_handler1,3050219,15964417,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10061211.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29811417}]","[{'src': 'hda', 'id': 29811418}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37086505,error,4864,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-30 04:43:45.069802,103511.0,30.292710000000003
23203754,fasta,2017-03-15 20:03:47.903097,slurm_normal,,main_w4_handler0,3029962,15306439,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9448622.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28742297}]","[{'src': 'hda', 'id': 28773358}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-15 20:08:15.519394,28561.0,267.61629700000003
72401680,fasta,2017-04-22 18:31:34.440635,slurm_normal,,main_w4_handler1,895333,15651601,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9768457.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28747247}]","[{'src': 'hda', 'id': 28531960}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,1,,suffix,,37497764,error,12013,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-22 18:39:08.020625,20563.0,453.57999
164928112,fasta,2017-04-18 11:50:30.463506,slurm_normal,,main_w3_handler0,3077160,15613249,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9732043.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29256167}]","[{'src': 'hda', 'id': 29257992}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37330514,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-18 11:54:46.251800,80831.0,255.788294
849813602,fasta,2017-04-10 19:04:56.347832,slurm_normal,,main_w3_handler1,2976716,15545256,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9669874.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28156926}]","[{'src': 'hda', 'id': 28156905}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,35320081,error,179106,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-10 19:05:29.579993,78661.0,33.232161000000005
30,fasta,2017-05-03 16:42:56.721950,slurm_normal,,main_w3_handler1,2946172,15737605,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9847300.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29453995}]","[{'src': 'hda', 'id': 29453786}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37738076,error,28586537,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-03 16:43:42.329561,82702.0,45.607611000000006
39011914,fasta,2017-03-20 17:23:34.028193,slurm_normal,,main_w4_handler1,1609768,15345828,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9485100.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28740489}]","[{'src': 'hda', 'id': 28563027}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-20 17:24:47.782310,28561.0,73.75411700000001
849813602,fasta,2017-04-10 19:05:40.243562,slurm_normal,,main_w4_handler0,2976716,15545263,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9669897.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28866951}]","[{'src': 'hda', 'id': 28156905}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,35320081,error,503,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-10 19:07:01.525614,78661.0,81.28205200000001
177963785,fasta,2017-04-18 11:50:32.022566,slurm_normal,,main_w3_handler0,3077160,15613251,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9732045.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29256167}]","[{'src': 'hda', 'id': 29257998}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37330514,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-18 11:55:45.710987,80831.0,313.688421
