create_time,destination_id,exit_code,forward_input,forward_input_filetype,handler,history_id,id,imported,info,input_sequences,input_sequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.input_sequences|__identifier__,parameters.kraken_database,parameters.only_classified_output,parameters.quick_operation.__current_case__,parameters.quick_operation.min_hits,parameters.quick_operation.quick,parameters.single_paired.__current_case__,parameters.single_paired.check_names,parameters.single_paired.forward_input.values,parameters.single_paired.input_sequences.values,parameters.single_paired.reverse_input.values,parameters.single_paired.single_paired_selector,parameters.split_reads,reverse_input,reverse_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-16 15:23:11.114030,slurm_multi,,2157742099.0,fastq,main_w3_handler2,3145524,16117201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,10199489,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,true,"[{'src': 'hda', 'id': 30049877}]",,"[{'src': 'hda', 'id': 30050504}]",yes,"""true""",1622405355.0,fastq,,38530078,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-06-16 22:00:31.783928,107360,23840.669898
2017-01-25 18:06:18.609960,slurm_normal,,508305002.0,fastq,main_w4_handler1,2960510,14869337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9028624.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 27985119}]",,"[{'src': 'hda', 'id': 27985150}]",yes,"""false""",514166858.0,fastq,,34604446,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-01-26 00:49:19.489701,3758,24180.879741
2017-07-13 22:22:12.183582,slurm_multi,,,,main_w3_handler2,3189308,16339200,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1634149564.0,fastq,10405088,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 30484169}]",,no,"""false""",,,,39297143,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-07-14 06:40:28.801664,108846,29896.618082
2017-04-05 20:28:38.163031,slurm_multi,,12230176770.0,fastq,main_w4_handler2,3059726,15499516,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9626907,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""true""",1,,no,1,false,"[{'src': 'hda', 'id': 29089491}]",,"[{'src': 'hda', 'id': 29089492}]",yes,"""false""",11527771582.0,fastq,,37136555,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-04-06 00:39:18.813483,79386,15040.650452000002
2017-02-03 15:06:22.027844,slurm_multi,,159267022.0,fastq,main_w3_handler2,2969939,14943955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9111025,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 28169009}]",,"[{'src': 'hda', 'id': 28169010}]",yes,"""false""",159618380.0,fastq,,35539152,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-02-05 10:43:06.476371,32220,157004.448527
2017-02-02 01:34:14.066424,reserved_multi,,1694553941.0,fastq,main_w3_handler2,2978438,14929174,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9085862.roundup,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""true""",0,1,yes,1,false,"[{'src': 'hda', 'id': 28174682}]",,"[{'src': 'hda', 'id': 28174683}]",yes,"""false""",1738594085.0,fastq,,34652796,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-02-02 03:26:17.608159,5254,6723.541735000001
2017-02-09 11:06:18.861554,slurm_multi,,,,main_w3_handler2,2937157,14993848,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",827586407.0,fastqsanger,9149889,slurm,,corral-repl,,1.0,yes,slurm_multi,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 28004334}]",,no,"""false""",,,,35402671,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-02-09 13:36:12.408468,88083,8993.546914
2017-07-28 22:45:37.443769,slurm_multi,,,,main_w4_handler2,3205807,16453526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1634149564.0,fastqsanger,10522793,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""true""",0,1,yes,2,,,"[{'src': 'hda', 'id': 30666670}]",,no,"""false""",,,,39408830,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-07-30 02:02:23.660444,5254,98206.216675
2017-07-14 14:11:51.881697,slurm_multi,,,,main_w4_handler2,3192376,16345496,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1104664784.0,fastqsanger,10411032,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 30483948}]",,no,"""false""",,,,38114439,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-07-15 05:50:39.060824,91993,56327.179127
2017-07-14 02:51:03.279128,slurm_multi,,,,main_w4_handler2,3189308,16340822,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2068956430.0,txt,10408231,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 30484382}]",,no,"""false""",,,,39300853,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-07-14 09:42:46.794499,108846,24703.515371
