create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.chromInfo,parameters.dbkey,parameters.do_normalization,parameters.effective_length_correction,parameters.input,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.use_ref,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-11 16:43:42.691171,roundup_multi,,main_w2_handler2,2166469,8528799,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",151043798,bam,2452008,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178277,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 17:12:35.716729,57844,1733.025558
2014-12-30 11:40:57.360091,roundup_multi,,main_w2_handler2,2156822,8479130,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",43284,bam,2390475,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096614,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 12:46:14.849056,45616,3917.4889650000005
2014-12-25 13:52:34.751333,roundup_multi,,main_w2_handler2,2157726,8466796,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",400474422,bam,2375233,slurm,,corral-repl,,0.0,no,,1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18066350,"""300000""","""0.1""","""No""","""0.15""",2,,18066329.0,Use reference annotation guide,,,52437654.0,gtf,,20228973.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-25 14:09:54.975779,54195,1040.2244460000002
2014-12-17 07:27:47.652224,roundup_multi,,main_w2_handler2,2150426,8429741,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",330485658,bam,2339943,slurm,,corral-repl,,0.0,no,"""a204e69485bd11e4a509005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18000592,"""300000""","""0.1""","""No""","""0.15""",2,,17982494.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-18 05:03:43.362735,54195,77755.71051100001
2014-12-30 10:47:48.185268,roundup_multi,,main_w2_handler2,2160844,8478895,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",274461676,bam,2400679,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095039,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-01 23:55:59.039358,54195,220090.85409
2015-01-11 16:43:41.402390,roundup_multi,,main_w2_handler2,2166469,8528798,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",72871022,bam,2451992,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178270,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 17:09:27.988774,57844,1546.5863840000002
2014-12-23 08:46:37.288204,roundup_multi,,main_w2_handler2,2156822,8459667,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19560,bam,2366932,slurm,,corral-repl,,0.0,no,"""174719ce8a8011e4a1a9005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18052498,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-23 09:52:22.327018,45616,3945.0388140000005
2014-12-28 17:27:33.150132,roundup_multi,,main_w2_handler2,2159391,8474175,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",467404284,bam,2390058,slurm,,corral-repl,,0.0,no,"""758523d48eb611e49b9b005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18083373,"""300000""","""0.1""","""No""","""0.15""",2,,18078762.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 11:22:59.114629,54195,150925.964497
2014-12-30 10:47:33.669342,roundup_multi,,main_w2_handler2,2160844,8478892,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",653994593,bam,2398581,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095033,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-01 15:44:30.622710,54195,190616.95336800002
2014-12-23 08:46:35.396204,roundup_multi,,main_w2_handler2,2156822,8459666,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19560,bam,2366875,slurm,,corral-repl,,0.0,no,"""174719ce8a8011e4a1a9005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18052496,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-23 09:42:56.308088,45616,3380.911884
2014-12-30 10:47:39.415782,roundup_multi,,main_w2_handler2,2160844,8478893,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",467404283,bam,2398748,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095035,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-01 17:04:00.095211,54195,195380.679429
2015-02-23 12:27:06.507000,roundup_multi,,main_w2_handler2,2198519,8791777,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12904038046,bam,2878273,slurm,,corral-repl,,,,,0,Yes,0.0,hg38,cached,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""Yes""","""""",18479575,"""300000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,21395759.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-02-23 17:39:56.181423,49259,18769.674423
2014-12-15 11:49:22.679695,roundup_multi,,main_w2_handler2,2149360,8416748,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",330485542,bam,2323232,slurm,,corral-repl,,0.0,no,"""f6491ffa844f11e4808d005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",17956839,"""300000""","""0.1""","""No""","""0.15""",2,,17956376.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-16 07:07:58.065800,54195,69515.386105
2014-12-30 11:40:54.094274,roundup_multi,,main_w2_handler2,2156822,8479129,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",43284,bam,2390417,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096612,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 12:34:09.223176,45616,3195.1289020000004
2014-12-25 13:50:46.003439,roundup_multi,,main_w2_handler2,2157726,8466793,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",409614136,bam,2375227,slurm,,corral-repl,,0.0,no,,1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18066338,"""300000""","""0.1""","""No""","""0.15""",2,,18066329.0,Use reference annotation guide,,,52437654.0,gtf,,20228973.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-25 14:12:26.870426,54195,1300.866987
2014-12-18 07:51:59.984131,roundup_multi,,main_w2_handler2,2152597,8437877,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",330485658,bam,2348978,slurm,,corral-repl,,0.0,no,"""ade92d04868911e4a6be005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18016292,"""300000""","""0.1""","""No""","""0.15""",2,,18015977.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-19 13:30:54.743978,54195,106734.75984700001
2014-12-30 11:41:04.161639,roundup_multi,,main_w2_handler2,2156822,8479133,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",158330,bam,2390513,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096621,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 12:57:44.809057,45616,4600.6474180000005
2015-01-11 16:43:37.696489,roundup_multi,,main_w2_handler2,2166469,8528796,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2882507534,bam,2451950,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178265,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 17:03:40.503982,57844,1202.807493
