create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.indices,parameters.genomeSource.ownFile,parameters.genomeSource.ownFile.values,parameters.genomeSource.refGenomeSource,parameters.paired.__current_case__,parameters.paired.input1,parameters.paired.input1.values,parameters.paired.input2,parameters.paired.input2.values,parameters.paired.sPaired,parameters.params.__current_case__,parameters.params.disallowIndel,parameters.params.disallowLongDel,parameters.params.fracMissingAligns,parameters.params.gapExtensPenalty,parameters.params.gapOpenPenalty,parameters.params.maxEditDist,parameters.params.maxEditDistSeed,parameters.params.maxGapExtens,parameters.params.maxGapOpens,parameters.params.maxInsertSize,parameters.params.maxOccurPairing,parameters.params.mismatchPenalty,parameters.params.noIterSearch,parameters.params.outputTopN,parameters.params.outputTopNDisc,parameters.params.readGroup.__current_case__,parameters.params.readGroup.specReadGroup,parameters.params.seed,parameters.params.source_select,parameters.params.suboptAlign,parameters.suppressHeader,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-05 16:21:40.768336,slurm_multi_dynamic_walltime,,main_w3_handler2,3182781,16264485,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",799636805,fastqsanger,799636805,fastqsanger,10335797,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ce10,,,indexed,1,,"[{'src': 'hda', 'id': 30304364}]",,"[{'src': 'hda', 'id': 30304365}]",paired,1,5,16,0.04,4,11,0,2,-1,1,5000,100000,50000000,false,500,5000,1.0,no,13,full,5000,"""false""",,39115071.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2017-07-05 16:31:00.978392,26904,560.210056
2018-02-09 20:54:26.892749,slurm_multi,,main_w4_handler2,3424000,18333251,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15847540858,fastqsanger,14298995044,fastqsanger,12417676,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33779212}]",,"[{'src': 'hda', 'id': 33779213}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,43814098.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-10 08:15:30.204713,114804,40863.311964
2018-02-10 07:21:55.961453,slurm_multi,,main_w4_handler2,3424091,18336105,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",17190663682,fastqsanger,15425384746,fastqsanger,12420418,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33780257}]",,"[{'src': 'hda', 'id': 33780256}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,43821238.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-10 19:24:09.808911,115065,43333.847458000004
2016-08-30 18:23:35.102926,slurm_multi_dynamic_walltime,,main_w3_handler2,2806190,13749935,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23080718980,fastqsanger,22177103916,fastqsanger,7972881,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,/galaxy/data/hg18/bwa_index/hg18.fa,,,indexed,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576673bf224bf01c8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585e34293fa999ede'}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,32065860.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-08-31 13:31:12.924504,73652,68857.821578
2017-12-02 22:26:59.872125,slurm_multi,,main_w3_handler2,3345765,17678185,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",54047279448,fastqsanger,51629707906,fastqsanger,11740777,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,bosTau7,,,indexed,1,,"[{'src': 'hda', 'id': 32635554}]",,"[{'src': 'hda', 'id': 32635556}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,42340604.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2017-12-03 18:02:29.567865,117570,70529.69574000001
2018-02-16 20:44:14.627698,slurm_multi,,main_w4_handler2,3424076,18415956,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15033431606,fastqsanger,13452053802,fastqsanger,12502234,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33905995}]",,"[{'src': 'hda', 'id': 33905996}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,43962743.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-17 09:38:01.746549,121221,46427.118851
2016-11-25 09:40:21.912280,slurm_multi_dynamic_walltime,,main_w4_handler2,2908029,14429108,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1573011255,fastq,1572811067,fastq,8630734,slurm,,corral-repl,3199905909.0,fasta,,0,no,,"""2c998a9eb2f311e6a5f3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,,,"[{'src': 'hda', 'id': 27406782}]",history,1,,"[{'src': 'hda', 'id': 27406769}]",,"[{'src': 'hda', 'id': 27406774}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-11-25 11:17:35.807613,82468,5833.895333
2018-02-16 19:15:25.009409,slurm_multi,,main_w3_handler2,3432123,18414758,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",13452053802,fastqsanger,15033431606,fastqsanger,12501103,slurm,,corral-repl,,,,0,no,,"""ba4011d6134d11e8a6a9005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 33904430}]",,"[{'src': 'hda', 'id': 33904431}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-02-17 07:27:27.876793,121222,43922.867384000005
2018-03-01 03:36:36.542118,slurm_multi,,main_w3_handler2,3424088,18558995,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15033431606,fastqsanger,13452053802,fastqsanger,12655642,slurm,,corral-repl,,,,0,no,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,/galaxy/data/hg19/bwa_index/hg19.fa,,,indexed,1,,"[{'src': 'hda', 'id': 34134450}]",,"[{'src': 'hda', 'id': 34134451}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,44247568.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2018-03-01 14:33:06.948163,115072,39390.406045
2016-09-01 12:12:05.679746,slurm_multi_dynamic_walltime,,main_w4_handler2,2806190,13761805,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",23080718980,fastqsanger,22177103916,fastqsanger,7983258,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,/galaxy/data/hg18/bwa_index/hg18.fa,,,indexed,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576673bf224bf01c8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b585e34293fa999ede'}]",paired,0,,,,,,,,,,,,,,,,,,,pre_set,,"""false""",,32091340.0,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3,1.2.3,,2016-09-01 23:53:55.110628,73652,42109.430882
