create_time,destination_id,exit_code,handler,history_id,id,imported,in_sam,in_sam_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.in_sam,parameters.in_sam.values,parameters.m,parameters.n,parameters.saveDiscarded,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-06 15:19:56.622454,slurm_normal,,main_w2_handler0,2556580,11393224,False,7100560748,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5662407.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22760373,,"""0""","""0""","""False""",,27233195.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-01-06 15:25:12.929842,36150,316.307388
2018-02-06 20:28:30.497125,slurm_normal,,main_w3_handler1,3224107,18277588,False,12819548305,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12360081,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33702288}]","""2""","""1""","""false""",,43556227.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2018-02-06 20:30:07.202083,110281,96.704958
2018-02-06 20:28:32.108161,slurm_normal,,main_w4_handler1,3224107,18277591,False,12269605038,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12360079,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33702291}]","""2""","""1""","""false""",,43556227.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2018-02-06 20:30:05.809414,110281,93.70125300000001
2016-04-23 17:55:04.635761,slurm_normal,,main_w1_handler2,2677202,12582897,False,1645993984,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6785429.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e5c5c9f9dfce0155'}]","""0""","""0""","""false""",,29767257.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-04-23 17:55:51.869654,83013,47.233893
2017-07-12 22:11:01.435505,slurm_normal,,main_w3_handler1,3190831,16325730,False,6108000825,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10392253.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30464344}]","""20""","""20""","""false""",,39253735.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-07-12 22:11:32.323083,107884,30.887578
2016-05-02 17:24:41.220887,slurm_normal,,main_w2_handler0,2677202,12735663,False,6336084411,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6934832.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c8555652dba8cd9'}]","""0""","""0""","""false""",,29979069.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-05-02 17:27:00.418157,83013,139.19727
2016-01-24 00:14:21.117171,slurm_normal,,main_w1_handler1,2388832,11587967,False,8933386364,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5853457.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23008161,,"""1""","""1""","""False""",,27687475.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-01-24 00:14:51.158641,66844,30.04147
2016-04-26 03:59:34.314758,slurm_normal,,main_w1_handler2,2678183,12618856,False,10360490116,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6820868.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576bd9fd814f9e705'}]","""2""","""2""","""false""",,29724811.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-04-26 04:00:35.693835,83057,61.379077
2018-02-06 20:28:31.631353,slurm_normal,,main_w4_handler0,3224107,18277590,False,12819461132,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12360077,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33702290}]","""2""","""1""","""false""",,43556227.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2018-02-06 20:29:30.108691,110281,58.477338
2016-01-24 00:15:53.896549,slurm_normal,,main_w1_handler0,2388832,11587985,False,8933386364,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5853469.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23008161,,"""4""","""4""","""False""",,27687475.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-01-24 00:16:21.380763,66844,27.484214
2016-04-26 03:59:33.880675,slurm_normal,,main_w2_handler0,2678183,12618855,False,9616421935,sam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6820867.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a6028b4a86368172'}]","""2""","""2""","""false""",,29724811.0,error,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2016-04-26 04:00:29.306161,83057,55.42548600000001
