chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cmd,parameters.dbkey,parameters.input,parameters.min_avg_qual,parameters.min_coverage,parameters.min_freq_for_hom,parameters.min_supporting_reads,parameters.min_var_freq,parameters.p_value,parameters.sample_names,parameters.strand_filter,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-10 14:55:16.486902,rodeo_normal,,main_w1_handler1,2231582,8908601,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6426480630,pileup,3094842.roundup,slurm,,corral-repl,,"""7007ec18c73511e49082005056a51846""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""mpileup2snp""","""hg_g1k_v37""",18804839,"""20""","""15""","""0.85""","""8""","""0.001""","""0.995""","""""","""yes""",,21692632,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-10 17:19:54.587396,39888.0,8678.100494
,,2015-03-18 00:41:34.143430,rodeo_normal,,main_w2_handler1,2088031,8973711,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",553142852,pileup,3213290.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""mpileup2indel""","""?""",18893705,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""""","""no""",,21724403,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-18 00:44:41.866427,54908.0,187.72299700000002
,,2015-02-18 20:34:15.819669,rodeo_normal,,main_w2_handler0,2209463,8759112,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",92012143,pileup,2818560.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18546238,"""10""","""2""","""0.75""","""2""","""0.01""","""0.75""","""78-3""","""no""",,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-18 20:36:29.008539,17286.0,133.18887
,,2015-04-06 20:15:15.558843,slurm_normal,,main_w2_handler1,2258218,9152204,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4493702143,pileup,3434913.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19163633,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""""","""no""",,22272280,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-06 20:17:14.502494,24355.0,118.943651
,,2015-01-14 19:26:19.565474,rodeo_normal,,main_w2_handler0,2171594,8547334,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4493702143,pileup,2474041.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18209146,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""""","""no""",,20498546,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-01-14 19:27:23.593664,24355.0,64.02819000000001
,,2015-02-05 18:58:43.038633,rodeo_normal,,main_w2_handler0,2190966,8671306,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20558971707,pileup,2657595.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2cns""","""hg19""",18360055,"""20""","""8""","""0.75""","""3""","""0.25""","""0.99""","""""","""no""",,20935221,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-05 19:01:27.137312,57703.0,164.098679
,,2015-03-11 18:57:46.496859,rodeo_normal,,main_w1_handler0,2233198,8918870,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1392888072,pileup,3112928.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/synePCC6.len""","""mpileup2snp""","""synePCC6""",18807601,"""10""","""60""","""0.75""","""60""","""0.01""","""0.99""","""""","""no""",,21730955,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-11 19:00:58.928271,57365.0,192.43141200000002
,,2015-04-20 12:21:31.785058,slurm_normal,,main_w1_handler1,2248643,9275799,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1562621644,pileup,3574411.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",19218573,"""20""","""8""","""0.75""","""200""","""0.005""","""0.05""","""""","""no""",,22593943,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-04-20 12:24:26.009609,26979.0,174.22455100000002
,,2015-02-19 06:36:26.609418,rodeo_normal,,main_w2_handler1,2211788,8763166,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",359123816,pileup,2825646.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""mpileup2snp""","""hg19""",18567496,"""15""","""8""","""0.75""","""2""","""0.01""","""0.99""","""""","""no""",,21311543,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-02-19 06:38:21.091982,15172.0,114.48256400000001
,,2015-03-18 19:05:35.298219,rodeo_normal,,main_w2_handler0,2175431,8980964,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5300493798,pileup,3226958.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""mpileup2snp""","""?""",18886109,"""15""","""50""","""0.05""","""10""","""0.2""","""0.5""","""""","""no""",,20547674,error,toolshed.g2.bx.psu.edu/repos/devteam/varscan_version_2/varscan/0.1,0.1,,2015-03-18 19:08:51.927299,30030.0,196.62908000000002
