create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_options.__current_case__,parameters.adv_options.adv_options_input,parameters.adv_options.adv_options_selector,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.isect_union,parameters.loci,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.vcf_input1,parameters.vcf_input2,parameters.window_size,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,vcf_input1,vcf_input1_filetype,vcf_input2,vcf_input2_filetype,runtime
2015-12-16 02:29:34.248598,slurm_normal,,main_w1_handler2,2527273,11193425,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5462883.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,22308485,22466885,"""30""",,,,26796033,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-12-16 02:31:06.327079,68101.0,7842941125,vcf,478549,vcf,92.07848100000001
2015-11-20 15:26:36.290089,slurm_normal,,main_w1_handler0,2486531,10961772,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5222797.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,21766857,21765638,"""30""",,,,26368426,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-11-20 15:28:01.173698,68101.0,7572857398,vcf,1109512,vcf,84.883609
2016-04-10 22:57:59.486911,slurm_normal,,main_w1_handler2,2661264,12412084,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6611828.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24246605,24246622,"""30""",,,,29474336,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 22:59:22.185107,81765.0,1436348156,vcf,1364711,vcf,82.69819600000001
2016-04-11 00:46:56.995838,slurm_normal,,main_w2_handler0,2664587,12412626,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6612619.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24246431,24246538,"""30""",,,,29536263,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-11 00:48:14.389630,82253.0,1436348156,vcf,1364711,vcf,77.393792
2015-10-03 17:52:37.460682,slurm_normal,,main_w1_handler0,2454532,10496235,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4772091.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-u""","""False""",0,hg19,cached,21388641,21388686,"""30""",,,,25303587,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-10-03 17:53:56.318383,67231.0,7572857398,vcf,40445,vcf,78.857701
2016-04-10 23:09:14.056586,slurm_normal,,main_w1_handler1,2662559,12412133,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6611927.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,Araly1,cached,24246433,24246534,"""30""",,,,29499153,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 23:10:37.587990,82155.0,1436348156,vcf,1364711,vcf,83.53140400000001
2016-04-11 00:41:53.591741,slurm_normal,,main_w1_handler0,2664587,12412596,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6612565.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24246431,24246538,"""30""",,,,29536263,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-11 00:43:05.684231,82253.0,1436348156,vcf,1364711,vcf,72.09249
2016-03-16 07:42:12.381802,slurm_normal,,main_w1_handler1,2629753,12150387,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6368750.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""False""","""-i""","""True""",0,Arabidopsis_thaliana_TAIR10,cached,23839418,23839414,"""30""",,,,28907708,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-03-16 07:46:31.663493,68454.0,15716433390,vcf,13819474499,vcf,259.281691
2015-12-16 02:26:39.287708,slurm_normal,,main_w1_handler0,2527273,11193417,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5462854.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,22308485,22463046,"""30""",,,,26796033,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-12-16 02:28:07.328687,68101.0,7842941125,vcf,641822,vcf,88.04097900000001
2016-04-09 01:27:55.963823,slurm_normal,,main_w2_handler1,2663001,12397320,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6595443.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24224775,24224732,"""30""",,,,29510985,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-09 01:28:58.061937,82178.0,1436348156,vcf,1364711,vcf,62.098114
2015-10-21 14:43:23.646576,slurm_normal,,main_w1_handler2,2478902,10674731,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4936642.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""False""","""-i""","""False""",1,21646697,history,21648465,21648480,"""30""",4708053.0,fasta,,25801394,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-10-21 14:44:40.997047,,411392837,vcf,410562604,vcf,77.350471
2016-02-22 21:37:22.137263,slurm_normal,,main_w1_handler2,2529170,11903506,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6142048.roundup,slurm,,corral-repl,,0,"-t ""vcfvcf-intersect-result""",True,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""-i""","""False""",0,hg19,cached,22311650,23462040,"""30""",,,,26595185,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-02-22 21:40:32.038293,50040.0,272483226,vcf,272483247,vcf,189.90103000000002
2015-09-02 13:25:49.851132,slurm_normal,,main_w1_handler1,2371852,10243958,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4528090.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,20977932,20977788,"""30""",,,,24085869,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-09-02 13:27:06.170108,50040.0,358368613,vcf,549080648,vcf,76.318976
2016-04-10 23:02:50.246352,slurm_normal,,main_w1_handler1,2662559,12412099,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6611857.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24246433,24246534,"""30""",,,,29499153,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 23:04:09.043698,82155.0,1436348156,vcf,1364711,vcf,78.797346
2016-02-24 20:17:06.925539,slurm_normal,,main_w1_handler2,2598342,11932302,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6161119.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""","""-i""","""False""",1,23427636,history,23502972,23427030,"""30""",3151425857.0,fasta,,28355421,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-02-24 20:22:10.867196,78529.0,268384770,vcf,260837660,vcf,303.941657
2015-10-21 14:43:55.091426,slurm_normal,,main_w2_handler1,2478902,10674738,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4936667.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","""False""","""-i""","""False""",1,21646697,history,21648465,21648481,"""30""",4708053.0,fasta,,25801394,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-10-21 14:45:32.974246,,411392837,vcf,414946582,vcf,97.88282000000001
2015-12-16 02:28:43.660408,slurm_normal,,main_w2_handler1,2527273,11193422,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5462874.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,cached,22308485,22466328,"""30""",,,,26796033,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2015-12-16 02:30:04.977146,68101.0,7842941125,vcf,518289,vcf,81.316738
2016-04-10 00:31:36.641829,slurm_normal,,main_w2_handler1,2663738,12404741,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6604960.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""False""","""-i""","""False""",0,hg_g1k_v37,cached,24236245,24236067,"""30""",,,,29523666,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-04-10 00:32:52.012035,82208.0,1436348156,vcf,1364711,vcf,75.37020600000001
2016-02-06 04:37:17.300272,slurm_normal,,main_w1_handler2,2590528,11727401,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5984081.roundup,slurm,,corral-repl,,1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""-i""","""False""",0,hg19,cached,23210446,23211852,"""30""",,,,26858255,error,toolshed.g2.bx.psu.edu/repos/devteam/vcfvcfintersect/vcfvcfintersect/0.0.3,0.0.3,,2016-02-06 04:38:39.544991,4244.0,379668653,vcf,816644114,vcf,82.244719
